Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Barquesentó Ramos;230000;NIC;1930;1930;1990;1990;2;5;513;1;0;5;0;L230000;1930;1939;1960;x
Caraval Antonio;230001;NIC;1930;1930;1938;1990;1;4;1;1;0;2;0;L230001;1930;1941;1960;x
Carrión McDonough;230002;NIC;1945;1990;1990;1990;3;3;32;0;0;4;0;L230002;1945;1960;1960;x
Corovél Kirsch;230003;NIC;1938;1941;1990;1990;2;4;0;1;0;4;0;L230003;1938;1946;1960;x
Estrasa y Juan;230004;NIC;1939;1943;1946;1990;2;4;16;3;0;5;0;L230004;1939;1960;1960;x
Garcia Zaldana;230005;NIC;1939;1990;1990;1990;3;3;0;0;0;4;0;L230005;1939;1960;1960;x
Halleslevens Acevedo;230006;NIC;1943;1946;1990;1990;3;4;128;1;0;4;0;L230006;1943;1960;1960;x
Monterrey;230007;NIC;1939;1990;1990;1990;3;3;128;0;0;4;0;L230007;1939;1943;1960;x
Niño Miranda;230008;NIC;1945;1990;1990;1990;3;3;256;0;0;5;0;L230008;1945;1960;1960;x
Reyes Palomino;230009;NIC;1938;1942;1990;1990;2;3;2;1;0;5;0;L230009;1938;1960;1960;x
Rivas Cuadra;230010;NIC;1942;1944;1990;1990;2;3;0;1;0;5;0;L230010;1942;1960;1960;x
Roque Garcia;230011;NIC;1944;1990;1990;1990;3;3;0;0;0;4;0;L230011;1944;1960;1960;x
Salvatierra Rivera;230012;NIC;1944;1990;1990;1990;3;3;64;0;0;3;0;L230012;1944;1960;1960;x
Solar y Hermansillo;230013;NIC;1930;1930;1990;1990;2;5;516;1;0;4;0;L230013;1930;1942;1960;x
Somoza;230014;NIC;1930;1930;1930;1930;0;2;0;0;0;5;0;L230014;1930;1960;1960;x
Flores Mendienta;230015;NIC;1939;1941;1990;1990;2;3;0;1;0;5;1;L230015;1939;1960;1960;x
Niño Miranda;230016;NIC;1945;1990;1990;1990;3;3;0;0;0;5;1;L230016;1945;1960;1960;x
Somoza;230017;NIC;1930;1930;1930;1990;1;2;0;0;0;5;1;L230017;1930;1960;1960;x
Espinoza Altamirano;230018;NIC;1930;1990;1990;1990;3;3;0;0;0;4;2;L230018;1938;1945;1960;x
Garcia Zaldana;230019;NIC;1939;1990;1990;1990;3;3;0;0;0;4;2;L230019;1939;1960;1960;x
Marenco;230020;NIC;1945;1990;1990;1990;3;3;0;0;0;4;2;L230020;1945;1960;1960;x
Pereda Quintas;230021;NIC;1930;1990;1990;1990;3;3;0;0;0;4;2;L230021;1930;1942;1960;x
Rivas Cuadra;230022;NIC;1942;1944;1990;1990;2;3;0;1;0;5;2;L230022;1942;1960;1960;x
Chamorro;230024;NIC;1908;1908;1908;1932;1;3;0;2;0;5;0;949;1908;1932;1999;x
