Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adekunle;552000;NIG;1945;1990;1990;1990;3;4;256;0;0;5;0;L552000;1945;1960;1960;x
Aizlewood;552001;NIG;1939;1990;1990;1990;3;4;128;0;0;5;0;L1004;1939;1960;1960;x
Ayuiyi-Ironsi;552002;NIG;1943;1945;1990;1990;2;2;2;1;0;5;0;M552021;1943;1960;1960;x
Banjo;552003;NIG;1945;1990;1990;1990;3;3;1;0;0;5;0;L552003;1945;1960;1960;x
Banks-MacDonald;552004;NIG;1930;1939;1990;1990;2;3;576;1;0;5;0;L1021;1930;1960;1960;x
Bradshaw;552005;NIG;1942;1990;1990;1990;3;4;0;0;0;5;0;L1046;1942;1960;1960;x
de L'Isle;552006;NIG;1930;1930;1930;1990;1;4;514;1;0;5;0;L1097;1930;1945;1960;x
Dickinson;552007;NIG;1930;1940;1990;1990;2;4;544;1;0;5;0;L1104;1930;1946;1960;x
Effiong;552008;NIG;1944;1990;1990;1990;3;3;128;0;0;5;0;L552008;1944;1960;1960;x
Gowon;552009;NIG;1944;1990;1990;1990;3;4;4;1;0;5;0;M552023;1944;1960;1960;x
Haruna;552010;NIG;1944;1990;1990;1990;3;2;256;0;0;5;0;L552010;1944;1960;1960;x
Hilton-Green;552011;NIG;1930;1941;1990;1990;3;4;4;1;0;5;0;L1164;1930;1960;1960;x
Ifaguna;552012;NIG;1945;1990;1990;1990;3;2;0;0;0;5;0;L552012;1945;1960;1960;x
Nzeogwu;552013;NIG;1945;1990;1990;1990;3;2;0;0;0;5;0;L552013;1945;1960;1960;x
Ojukwu;552014;NIG;1945;1990;1990;1990;3;3;1;0;0;5;0;L552014;1945;1960;1960;x
Okadigbo;552015;NIG;1945;1990;1990;1990;3;2;0;0;0;5;0;L552015;1945;1960;1960;x
Steiner;552016;NIG;1945;1990;1990;1990;3;4;256;0;0;5;0;L552016;1945;1960;1960;x
Alula;552017;NIG;1945;1990;1990;1990;3;2;8192;0;0;5;1;M552027;1945;1960;1960;x
Burnett;552018;NIG;1930;1940;1990;1990;2;4;0;1;0;5;1;L1329;1930;1946;1960;x
Knoll;552019;NIG;1940;1990;1990;1990;3;3;1024;0;0;5;1;L552019;1940;1946;1960;x
Manners;552020;NIG;1930;1939;1945;1990;1;5;0;2;0;5;1;L1369;1930;1960;1960;x
Villanueva;552021;NIG;1942;1990;1990;1990;3;3;2048;0;0;5;1;M552028;1942;1960;1960;x
Brill;552022;NIG;1930;1940;1990;1990;3;5;16384;1;0;5;2;L1419;1930;1947;1960;x
Epinong;552023;NIG;1944;1990;1990;1990;3;2;0;0;0;5;2;L552023;1944;1960;1960;x
Fairweather;552024;NIG;1938;1990;1990;1990;3;4;0;0;0;5;2;L1439;1941;1960;1960;x
Ilishuno;552025;NIG;1945;1990;1990;1990;3;2;4096;0;0;5;2;M552029;1945;1960;1960;x
Pinto de Sousa;552026;NIG;1945;1990;1990;1990;3;4;65536;0;0;5;2;L552026;1945;1960;1960;x
Regan;552027;NIG;1930;1940;1990;1990;2;4;131072;1;0;5;2;L1472;1930;1960;1960;x
Commander;552900;NIG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;552901;NIG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;552902;NIG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;552903;NIG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;552904;NIG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;552905;NIG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
