Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aavatsmark;9600;NOR;1930;1990;1990;1990;3;4;514;1;0;5;0;L9600;1930;1939;1960;x
Beichmann;9601;NOR;1942;1945;1990;1990;3;3;1;1;0;5;0;L9601;1942;1960;1960;x
Berg;9602;NOR;1944;1990;1990;1990;3;3;128;0;0;5;0;L9602;1944;1960;1960;x
Dahl;9603;NOR;1941;1990;1990;1990;3;3;12;0;0;5;0;L9603;1941;1960;1960;x
Erichsen  B.;9604;NOR;1930;1990;1990;1990;3;3;576;1;0;5;0;L9604;1930;1960;1960;x
Erichsen  C.;9605;NOR;1930;1930;1990;1990;2;3;8;0;0;5;0;L9605;1930;1960;1960;x
Feiring;9606;NOR;1938;1990;1990;1990;3;4;0;0;0;5;0;L9606;1938;1960;1960;x
Fleischer;9607;NOR;1930;1930;1990;1990;2;6;12;3;0;5;0;L9607;1930;1960;1960;x
Graff-Wang;9608;NOR;1930;1990;1990;1990;3;5;520;0;0;5;0;L9608;1930;1941;1960;x
Gulliksen;9609;NOR;1938;1943;1990;1990;3;3;8;1;0;5;0;L9609;1938;1960;1960;x
Hansson;9610;NOR;1930;1960;1960;1960;3;3;0;0;0;5;0;L9610;1930;1960;1960;x
Hartvig-Gulliksen;9611;NOR;1930;1990;1990;1990;3;3;8;0;0;5;0;L9611;1930;1941;1960;x
Hatledal;9612;NOR;1937;1941;1990;1990;3;4;0;1;0;5;0;L9612;1937;1960;1960;x
Helset;9613;NOR;1943;1945;1990;1990;3;5;4;1;0;5;0;L9613;1943;1960;1960;x
Holtermann;9614;NOR;1939;1945;1990;1990;3;3;256;1;0;5;0;L9614;1939;1960;1960;x
Hvinden-Haug;9615;NOR;1930;1930;1990;1990;2;3;8;0;0;5;0;L9615;1930;1960;1960;x
Klingenberg;9616;NOR;1930;1990;1990;1990;3;3;32;0;0;5;0;L9616;1930;1960;1960;x
Laake;9617;NOR;1930;1930;1930;1990;1;2;520;1;0;5;0;L9617;1930;1960;1960;x
Laurantzson;9618;NOR;1930;1930;1990;1990;2;3;8;0;0;5;0;L9618;1930;1960;1960;x
Liljedal;9619;NOR;1930;1990;1990;1990;3;3;8;0;0;5;0;L9619;1930;1960;1960;x
Ljungberg;9620;NOR;1939;1944;1946;1990;2;4;2;2;0;5;0;L9620;1939;1960;1960;x
Norby;9621;NOR;1930;1990;1990;1990;3;3;8;0;0;5;0;L9621;1930;1960;1960;x
Roscher-Lund;9622;NOR;1930;1990;1990;1990;3;3;528;1;0;5;0;L9622;1930;1960;1960;x
Ruge;9623;NOR;1930;1930;1930;1990;1;5;10;2;0;5;0;L9623;1930;1960;1960;x
Spørck;9624;NOR;1930;1990;1990;1990;3;3;2;0;0;5;0;L9624;1930;1960;1960;x
Steffens;9625;NOR;1930;1930;1990;1990;2;4;8;0;0;5;0;L9625;1930;1960;1960;x
Strugstad;9626;NOR;1943;1990;1990;1990;3;4;4;0;0;5;0;L9626;1943;1960;1960;x
Sundlo;9627;NOR;1930;1990;1990;1990;3;3;0;0;0;1;0;L9627;1930;1945;1960;x
von Tangen-Hansteen;9628;NOR;1940;1943;1946;1990;2;4;0;2;0;5;0;L9628;1940;1960;1960;x
Östbye;9629;NOR;1930;1930;1990;1990;2;4;520;1;0;5;0;L9629;1930;1939;1960;x
Anderssen;9630;NOR;1930;1990;1990;1990;3;3;4608;0;0;5;1;L9630;1930;1960;1960;x
Askim;9631;NOR;1941;1990;1990;1990;3;5;0;0;0;5;1;L9631;1941;1960;1960;x
Bergensen;9632;NOR;1938;1990;1990;1990;3;3;4096;0;0;5;1;L9632;1938;1942;1960;x
Bruun;9633;NOR;1930;1990;1990;1990;3;3;0;0;0;2;1;L9633;1930;1960;1960;x
Bruusgaard;9634;NOR;1930;1990;1990;1990;3;3;0;0;0;5;1;L9634;1930;1942;1960;x
Corneliussen;9635;NOR;1930;1940;1990;1990;2;5;2048;1;0;5;1;L9635;1930;1960;1960;x
Danielssen;9636;NOR;1938;1990;1990;1990;3;3;0;0;0;5;1;L9636;1938;1960;1960;x
Diesen;9637;NOR;1930;1930;1930;1990;1;3;8192;1;0;5;1;L9637;1930;1943;1960;x
Fjeldstad;9638;NOR;1941;1990;1990;1990;3;3;0;0;0;3;1;L9638;1941;1960;1960;x
Horve;9639;NOR;1930;1990;1990;1990;3;3;0;0;0;5;1;L9639;1930;1960;1960;x
Hovdenak;9640;NOR;1939;1990;1990;1990;3;3;0;0;0;5;1;L9640;1939;1960;1960;x
Lützow-Holm;9641;NOR;1938;1944;1990;1990;3;4;2048;1;0;5;1;L9641;1938;1960;1960;x
Marthinsen;9642;NOR;1941;1990;1990;1990;3;3;0;0;0;5;1;L9642;1941;1960;1960;x
Meyer;9643;NOR;1930;1990;1990;1990;3;3;2048;0;0;5;1;L9643;1930;1960;1960;x
Riiser-Larsen;9644;NOR;1939;1942;1945;1990;2;5;0;2;0;5;1;L9644;1939;1960;1960;x
Storheil;9645;NOR;1940;1990;1990;1990;3;3;0;0;0;5;1;L9645;1940;1960;1960;x
Tank-Nielsen;9646;NOR;1930;1939;1990;1990;2;5;1024;1;0;5;1;L9646;1930;1960;1960;x
von der Lippe;9647;NOR;1930;1930;1990;1990;2;3;0;0;0;5;1;L9647;1930;1941;1960;x
Willoch;9648;NOR;1930;1990;1990;1990;3;3;0;0;0;5;1;L9648;1930;1960;1960;x
Berg;9649;NOR;1942;1990;1990;1990;3;3;0;0;0;5;2;L9649;1942;1960;1960;x
Bull;9650;NOR;1943;1990;1990;1990;3;3;0;0;0;5;2;L9650;1943;1960;1960;x
Christie;9651;NOR;1939;1942;1990;1990;2;3;0;1;0;5;2;L9651;1939;1960;1960;x
Feiring;9652;NOR;1938;1990;1990;1990;3;3;0;0;0;5;2;L9652;1938;1960;1960;x
Gran;9653;NOR;1930;1930;1990;1990;2;3;0;0;0;3;2;L9653;1930;1960;1960;x
Heglund;9654;NOR;1941;1990;1990;1990;3;4;4096;0;0;5;2;L9654;1941;1960;1960;x
Klingenberg;9655;NOR;1930;1990;1990;1990;3;3;16384;0;0;5;2;L9655;1930;1960;1960;x
Koren Christie;9656;NOR;1939;1944;1990;1990;3;4;0;1;0;5;2;L9656;1939;1960;1960;x
Krohn;9657;NOR;1942;1990;1990;1990;3;3;0;0;0;5;2;L9657;1942;1960;1960;x
Lambrechts;9658;NOR;1940;1990;1990;1990;3;4;131072;0;0;5;2;L9658;1940;1960;1960;x
Lützow-Holm;9659;NOR;1938;1944;1990;1990;3;4;0;1;0;5;2;L9659;1938;1960;1960;x
Mohr;9660;NOR;1941;1990;1990;1990;3;3;0;0;0;5;2;L9660;1941;1960;1960;x
Motzfeldt;9661;NOR;1943;1990;1990;1990;3;3;0;0;0;5;2;L9661;1943;1960;1960;x
Reistad;9662;NOR;1939;1990;1990;1990;3;3;16384;0;0;5;2;L9662;1939;1960;1960;x
Riiser-Larsen;9663;NOR;1939;1942;1945;1990;2;4;0;2;0;5;2;L9663;1939;1960;1960;x
Waage;9664;NOR;1930;1990;1990;1990;3;3;0;0;0;5;2;L9664;1930;1960;1960;x
Øen;9665;NOR;1939;1940;1990;1990;2;3;0;1;0;5;2;L9665;1939;1945;1960;x
Holtfodt;9667;NOR;1912;1932;1932;1932;3;6;8;3;0;5;0;952;1912;1932;1999;x
Olssøn;9668;NOR;1912;1932;1932;1932;3;4;512;1;0;5;0;953;1912;1932;1999;x
Hansen;9669;NOR;1912;1932;1932;1932;3;4;0;1;0;5;0;954;1912;1932;1999;x
Angell;9670;NOR;1912;1932;1932;1932;3;5;4;2;0;5;0;7749;1912;1932;1999;x
Sinding-Larsen;9671;NOR;1912;1932;1932;1932;3;4;0;1;0;5;0;955;1912;1932;1999;x
Bauck;9672;NOR;1912;1932;1932;1932;3;4;0;1;0;5;0;unknownleader;1912;1932;1999;x
Vogt;9673;NOR;1912;1932;1932;1932;3;5;8;2;0;5;0;956;1912;1932;1999;x
von Munthe af Morgenstierne;9674;NOR;1912;1932;1932;1932;3;5;0;2;0;5;0;957;1912;1932;1999;x
Keilhau;9675;NOR;1912;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1912;1932;1999;x
Ræder;9676;NOR;1912;1932;1932;1932;3;5;0;2;0;5;0;958;1912;1932;1999;x
Griffin-Dawes;9677;NOR;1912;1932;1932;1932;3;5;0;2;0;5;1;3921;1912;1932;1999;x
Berglund;9678;NOR;1912;1932;1932;1932;3;5;0;2;0;5;1;959;1912;1932;1999;x
Sparre;9679;NOR;1912;1914;1932;1932;2;5;0;2;0;5;1;960;1912;1932;1999;x
Børresen;9680;NOR;1912;1932;1932;1932;3;5;0;2;0;5;0;961;1912;1932;1999;x
Sem-Jacobsen;9681;NOR;1914;1932;1932;1932;3;3;0;0;0;5;2;962;1914;1932;1999;x
Grüner;9682;NOR;1914;1932;1932;1932;3;3;0;0;0;5;2;963;1914;1932;1999;x
Crawfurd-Jensen;9683;NOR;1914;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1914;1932;1999;x
Vetlesen;9684;NOR;1914;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1914;1932;1999;x
Haganaes;9685;NOR;1914;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1914;1932;1999;x
Commander;960900;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960901;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960902;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960903;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960904;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960905;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960906;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960907;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960908;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960909;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960910;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960911;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960912;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960913;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960914;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960915;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960916;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960917;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960918;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960919;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960920;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960921;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960922;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960923;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960924;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960925;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960926;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960927;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960928;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960929;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960930;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960931;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960932;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960933;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960934;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960935;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960936;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960937;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960938;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960939;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960940;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960941;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960942;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960943;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960944;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960945;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;960946;NOR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
