Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adolph;549000;OTT;1938;1990;1990;1990;3;4;516;1;0;5;0;L549000;1938;1944;1960;x
al-Husseini;549001;OTT;1941;1990;1990;1990;3;3;256;0;0;5;0;L549001;1941;1960;1960;x
Arnold;549002;OTT;1938;1990;1990;1990;3;3;0;0;0;5;0;L549002;1938;1945;1960;x
Aschenbrandt;549003;OTT;1939;1990;1990;1990;3;4;2;0;0;5;0;L549003;1939;1960;1960;x
Avni Pasha;549004;OTT;1930;1930;1930;1990;1;4;514;1;0;5;0;M549014;1930;1943;1960;x
Barends;549005;OTT;1941;1990;1990;1990;3;4;0;0;0;5;0;L549005;1941;1960;1960;x
Bartcky;549006;OTT;1940;1990;1990;1990;3;5;128;0;0;5;0;L549006;1940;1944;1960;x
Barton;549007;OTT;1941;1990;1990;1990;3;3;4;0;0;5;0;L549007;1941;1960;1960;x
Bilharz;549008;OTT;1939;1990;1990;1990;3;3;256;0;0;5;0;L549008;1939;1960;1960;x
Binark Pasha;549009;OTT;1938;1990;1990;1990;3;2;0;0;0;5;0;L549009;1938;1960;1960;x
Bonatz;549010;OTT;1941;1990;1990;1990;3;4;128;0;0;5;0;L549010;1941;1960;1960;x
Borowski;549011;OTT;1941;1990;1990;1990;3;3;1;0;0;5;0;L549011;1941;1960;1960;x
Brauer;549012;OTT;1938;1990;1990;1990;3;6;576;1;0;5;0;L549012;1938;1944;1960;x
Braumüller;549013;OTT;1941;1990;1990;1990;3;4;16;0;0;5;0;L549013;1941;1960;1960;x
Brugsch Bey;549014;OTT;1930;1990;1990;1990;3;3;32;0;0;5;0;L549014;1930;1960;1960;x
Buch;549015;OTT;1940;1940;1990;1990;2;2;0;0;0;5;0;L549015;1940;1960;1960;x
Burchard;549016;OTT;1939;1942;1944;1990;1;5;64;3;0;5;0;L549016;1939;1946;1960;x
Cetinok;549017;OTT;1939;1990;1990;1990;3;4;24;0;0;5;0;L549017;1939;1960;1960;x
Conradi;549018;OTT;1939;1990;1990;1990;3;4;4;0;0;5;0;L549018;1939;1960;1960;x
Eckhardt;549019;OTT;1940;1990;1990;1990;3;3;2;0;0;5;0;L549019;1940;1960;1960;x
Edhem Pasha;549020;OTT;1930;1940;1990;1990;3;3;0;1;0;5;0;L549020;1930;1960;1960;x
Ehrenberg;549021;OTT;1940;1990;1990;1990;3;4;16;0;0;5;0;L549021;1940;1945;1960;x
Enver Pasha;549022;OTT;1930;1930;1930;1990;1;4;0;2;0;5;0;L549022;1930;1943;1960;x
Fehn;549023;OTT;1940;1990;1990;1990;3;5;128;0;0;5;0;L549023;1940;1960;1960;x
Fuad;549024;OTT;1938;1940;1944;1990;2;4;1;2;0;5;0;M549013;1938;1960;1960;x
Gazi Pasha;549025;OTT;1930;1930;1930;1930;0;3;513;1;0;5;0;L549025;1930;1942;1960;x
Glodkowski;549026;OTT;1940;1990;1990;1990;3;4;256;0;0;5;0;L549026;1940;1960;1960;x
