Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aponte;240000;PAR;1943;1945;1946;1990;1;4;2;2;0;4;0;L240000;1943;1960;1960;x
Ayala Queirolo;240001;PAR;1930;1990;1990;1990;3;3;256;0;0;5;0;L240001;1930;1941;1960;x
Baez Allende;240002;PAR;1939;1941;1990;1990;2;4;2;1;0;5;0;L240002;1939;1960;1960;x
Belaieff;240003;PAR;1930;1930;1990;1990;2;5;2;1;0;5;0;L240003;1930;1939;1960;x
Caballero Ayala;240004;PAR;1941;1946;1990;1990;3;3;64;1;0;5;0;L240004;1941;1960;1960;x
Cabrera Leia;240005;PAR;1942;1990;1990;1990;3;4;0;0;0;5;0;L240005;1942;1947;1960;x
Delgado;240006;PAR;1930;1930;1990;1990;2;4;32;0;0;5;0;L240006;1930;1940;1960;x
Ern;240007;PAR;1930;1930;1990;1990;2;5;513;1;0;5;0;L240007;1930;1938;1960;x
Estigarribia;240008;PAR;1930;1930;1930;1937;0;9;20;5;0;5;0;L240008;1930;1941;1960;x
Franco;240009;PAR;1930;1930;1990;1990;2;2;3;0;0;5;0;L240009;1930;1938;1960;x
Frutos Escuerra;240010;PAR;1940;1944;1990;1990;3;4;4;1;0;5;0;L240010;1940;1960;1960;x
Garay;240011;PAR;1930;1938;1990;1990;2;5;2;1;0;5;0;L240011;1930;1945;1960;x
Gonzalez Paredes;240012;PAR;1940;1943;1990;1990;2;3;0;1;0;4;0;L240012;1940;1960;1960;x
Irrazábal;240013;PAR;1944;1990;1990;1990;3;4;16;0;0;5;0;L240013;1944;1960;1960;x
Lezcano;240014;PAR;1938;1942;1990;1990;2;4;128;1;0;4;0;L240014;1938;1960;1960;x
Machuca;240015;PAR;1943;1946;1990;1990;3;5;0;1;0;5;0;L240015;1943;1960;1960;x
Mena Rojas;240016;PAR;1945;1947;1990;1990;3;4;1;1;0;5;0;L240016;1945;1960;1960;x
Molas Lopez;240017;PAR;1930;1930;1940;1990;1;4;0;0;0;4;0;L240017;1930;1945;1960;x
Morinigo Martinez;240018;PAR;1930;1930;1940;1990;2;4;4;1;0;4;0;L240018;1930;1946;1960;x
Paiva;240019;PAR;1930;1990;1990;1990;3;4;1;0;0;5;0;L240019;1930;1940;1960;x
