Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Afkhami  A.;440000;PER;1930;1930;1930;1990;1;3;514;1;0;5;0;L440000;1930;1941;1960;x
Afkhami  H.;440001;PER;1939;1990;1990;1990;3;3;2;0;0;4;0;L440001;1939;1942;1960;x
Afkhami  M.;440002;PER;1930;1939;1990;1990;2;4;4;1;0;4;0;L440002;1930;1941;1960;x
Gharamani;440003;PER;1942;1946;1990;1990;3;4;4;1;0;5;0;L440003;1942;1960;1960;x
Gholam Reza Pahlavi;440004;PER;1930;1939;1940;1941;1;3;4;2;0;5;0;L440004;1930;1960;1960;x
Gilanshah;440005;PER;1940;1945;1990;1990;2;4;4;1;0;5;0;L440005;1940;1960;1960;x
Hadi Atabay;440006;PER;1930;1990;1990;1990;3;4;514;1;0;5;0;L440006;1930;1938;1960;x
Hossein Firooz;440007;PER;1938;1941;1943;1990;1;4;32;2;0;5;0;L440007;1938;1960;1960;x
Majid Firooz;440008;PER;1930;1938;1990;1990;2;4;2;1;0;5;0;L440008;1930;1942;1960;x
Khan Koopal;440009;PER;1939;1941;1990;1990;2;3;0;1;0;5;0;L440009;1939;1946;1960;x
Khan Nakziam;440010;PER;1943;1990;1990;1990;3;4;256;0;0;5;0;L440010;1943;1960;1960;x
Mir Ghani;440011;PER;1930;1930;1990;1990;2;3;32;0;0;5;0;L440011;1930;1941;1960;x
Mizani;440012;PER;1944;1990;1990;1990;3;4;0;0;0;5;0;L440012;1944;1960;1960;x
Nakhjavani;440013;PER;1930;1937;1990;1990;2;4;128;1;0;5;0;L440013;1930;1941;1960;x
Nizamshah;440014;PER;1930;1930;1990;1990;2;6;514;1;0;5;0;L440014;1930;1940;1960;x
Quaranshah;440015;PER;1941;1943;1990;1990;2;3;1;1;0;5;0;L440015;1941;1960;1960;x
Reza Pahlavi;440016;PER;1930;1930;1930;1930;0;6;514;3;0;5;0;L440016;1930;1941;1960;x
Sepahbodi Qajar;440017;PER;1942;1944;1990;1990;3;4;1;1;0;5;0;L440017;1942;1960;1960;x
Zahedi;440018;PER;1939;1942;1944;1990;1;4;1;2;0;5;0;L440018;1939;1960;1960;x
Ahmanpur;440019;PER;1939;1942;1945;1990;2;4;0;2;0;5;1;L440019;1939;1960;1960;x
Akbarpour;440020;PER;1944;1990;1990;1990;3;3;1024;0;0;5;1;L440020;1944;1960;1960;x
Khan Nakhjavan;440021;PER;1930;1930;1942;1990;1;4;0;1;0;5;1;L440021;1930;1946;1960;x
Khisrabadi;440022;PER;1930;1939;1990;1990;2;3;0;1;0;5;1;L440022;1930;1941;1960;x
Khosravani;440023;PER;1945;1990;1990;1990;3;4;4096;0;0;5;1;L440023;1945;1960;1960;x
Mizani;440024;PER;1944;1990;1990;1990;3;4;0;0;0;5;1;L440024;1944;1960;1960;x
Mohanna;440025;PER;1939;1943;1990;1990;3;4;0;1;0;5;1;L440025;1939;1947;1960;x
Quaranshah;440026;PER;1941;1943;1990;1990;2;3;0;1;0;5;1;L440026;1941;1960;1960;x
Gilanshah;440027;PER;1940;1945;1990;1990;3;4;32768;1;0;5;2;L440027;1940;1960;1960;x
Khan Koopal;440028;PER;1939;1941;1990;1990;2;3;0;1;0;5;2;L440028;1939;1946;1960;x
Khan Nakhjavan;440029;PER;1930;1930;1942;1990;1;4;0;1;0;5;2;L440029;1930;1946;1960;x
Khosravani;440030;PER;1945;1990;1990;1990;3;4;4096;0;0;5;2;L440030;1945;1960;1960;x
Mohanna;440031;PER;1939;1943;1990;1990;3;4;0;1;0;5;2;L440031;1939;1947;1960;x
Moini;440032;PER;1943;1990;1990;1990;3;3;0;0;0;5;2;L440032;1943;1960;1960;x
Nakhjavani;440033;PER;1930;1937;1990;1990;2;3;0;1;0;5;2;L440033;1930;1941;1960;x
Sepahpour;440034;PER;1945;1990;1990;1990;3;3;0;0;0;5;2;L440034;1945;1960;1960;x
Noodin;440035;PER;1930;1930;1990;1990;2;3;514;1;0;5;0;L440035;1930;1939;1960;x
Ghoolam Firooz;440036;PER;1930;1930;1990;1990;2;2;0;0;0;5;0;L440036;1930;1942;1960;x
Baypour;440037;PER;1930;1930;1939;1990;2;3;128;1;0;5;0;L440037;1930;1942;1960;x
Nizampour;440038;PER;1930;1930;1939;1990;1;4;514;1;0;5;0;L440038;1930;1943;1960;x
Mirghoolam;440039;PER;1930;1990;1990;1990;3;4;576;1;0;5;0;L440039;1930;1941;1960;x
Tahakhami;440040;PER;1930;1939;1990;1990;3;3;131072;1;0;4;2;L440040;1930;1943;1960;x
Razmara;440041;PER;1945;1947;1950;1960;1;5;16384;2;0;5;2;M53114;1945;1960;1960;x
Reza Khan;150043;PER;1914;1918;1932;1932;2;5;0;3;0;5;0;1012;1914;1932;1999;x
Salat ed-Dauleh;150044;PER;1908;1932;1932;1932;3;5;0;2;0;5;0;1013;1908;1932;1999;x
Azod Soltan Mirza;150045;PER;1908;1932;1932;1932;3;5;0;2;0;5;0;1014;1908;1932;1999;x
Malek Mansour Mirza;150046;PER;1908;1932;1932;1932;3;5;0;2;0;5;0;1015;1908;1932;1999;x
Mohammad Hassan Mirza;150047;PER;1908;1932;1932;1932;3;5;0;2;0;5;0;1016;1908;1932;1999;x
Commander;440900;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440901;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440902;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440903;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440904;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440905;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440906;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440907;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440908;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440909;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440910;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440911;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440912;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440913;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440914;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440915;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440916;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440917;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440918;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440919;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440920;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440921;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440922;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440923;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440924;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440925;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440926;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440927;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440928;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440929;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440930;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440931;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440932;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440933;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440934;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440935;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440936;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440937;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440938;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440939;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;440940;PER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
