Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Benavides Larrea;260000;PRU;1930;1930;1930;1930;0;4;2;1;0;3;0;L260000;1930;1939;1960;x
Caro Constantini;260001;PRU;1944;1990;1990;1990;3;4;32;0;0;5;0;L260001;1944;1960;1960;x
Chiabra León;260002;PRU;1945;1990;1990;1990;3;4;256;0;0;3;0;L260002;1945;1960;1960;x
Davíla Zumaeta;260003;PRU;1939;1943;1990;1990;3;5;0;1;0;3;0;L260003;1939;1945;1960;x
de la Fuente;260004;PRU;1930;1990;1990;1990;3;4;1;0;0;4;0;L260004;1930;1941;1960;x
Gilardi;260005;PRU;1930;1990;1990;1990;3;4;0;0;0;5;0;L260005;1930;1940;1960;x
Gonzalez y Leon;260006;PRU;1930;1990;1990;1990;3;5;2;0;0;5;0;L260006;1930;1941;1960;x
Guabloche Rodrígues;260007;PRU;1942;1945;1990;1990;2;5;1;1;0;5;0;L260007;1942;1960;1960;x
Heredia Montagne;260008;PRU;1930;1990;1990;1990;3;5;514;1;0;5;0;L260008;1930;1939;1960;x
Huerta Pacheco;260009;PRU;1930;1990;1990;1990;3;4;1;0;0;4;0;L260009;1930;1938;1960;x
Iglesias;260010;PRU;1942;1990;1990;1990;3;5;128;0;0;4;0;L260010;1942;1960;1960;x
Jimenez Torribané;260011;PRU;1940;1942;1990;1990;2;5;2;1;0;3;0;L260011;1940;1946;1960;x
Lopéz Trigoso;260012;PRU;1943;1990;1990;1990;3;6;256;0;0;3;0;L260012;1943;1960;1960;x
Montagne Sanchez;260013;PRU;1937;1941;1990;1990;2;5;0;1;0;4;0;L260013;1937;1944;1960;x
Montero Rojas;260014;PRU;1938;1990;1990;1990;3;5;128;0;0;5;0;L260014;1938;1946;1960;x
Muñoz Díaz;260015;PRU;1945;1990;1990;1990;3;4;128;0;0;4;0;L260015;1945;1960;1960;x
Noriega Agüero;260016;PRU;1939;1941;1944;1990;2;5;0;2;0;3;0;L260016;1939;1960;1960;x
Odria Amoretti;260017;PRU;1940;1941;1943;1946;1;6;1;3;0;4;0;L260017;1940;1960;1960;x
Palacios y Montecinos;260018;PRU;1930;1930;1990;1990;2;4;4;0;0;4;0;L260018;1930;1940;1960;x
Peréz Documetis;260019;PRU;1944;1946;1990;1990;2;5;256;1;0;4;0;L260019;1944;1960;1960;x
Perez Godoy;260020;PRU;1943;1946;1950;1990;1;5;256;2;0;3;0;L260020;1943;1960;1960;x
Quesada Larrea;260021;PRU;1940;1990;1990;1990;3;4;2;0;0;5;0;L260021;1940;1946;1960;x
