Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alano;430000;PHI;1938;1990;1990;1990;3;3;1;0;0;5;0;L430000;1938;1942;1960;x
Arellano;430001;PHI;1940;1945;1990;1990;2;3;4;1;0;4;0;L430001;1940;1960;1960;x
Capinpin;430002;PHI;1930;1930;1930;1990;1;4;32;1;0;5;0;L430002;1930;1942;1960;x
Castañeda;430003;PHI;1944;1990;1990;1990;3;3;32;0;0;4;0;L430003;1944;1960;1960;x
de Jesús;430004;PHI;1930;1930;1938;1990;1;5;20;2;0;4;0;L430004;1930;1944;1960;x
Delos Reyes;430005;PHI;1942;1944;1990;1990;2;3;128;1;0;3;0;L430005;1942;1944;1960;x
Dizon;430006;PHI;1945;1990;1990;1990;3;3;0;0;0;4;0;L430006;1945;1960;1960;x
Duque;430007;PHI;1940;1990;1990;1990;3;3;2;0;0;5;0;L430007;1940;1942;1960;x
Ebuen;430008;PHI;1944;1946;1990;1990;2;3;16;1;0;5;0;L430008;1944;1960;1960;x
Evangelista;430009;PHI;1930;1990;1990;1990;3;3;128;0;0;5;0;L430009;1930;1942;1960;x
Francisco;430010;PHI;1930;1930;1990;1990;2;3;0;0;0;5;0;L430010;1930;1942;1960;x
Jalandoni;430011;PHI;1945;1990;1990;1990;3;4;4;0;0;5;0;L430011;1945;1960;1960;x
Jurado;430012;PHI;1946;1990;1990;1990;3;3;0;0;0;5;0;L430012;1946;1960;1960;x
Lim;430013;PHI;1930;1943;1990;1990;2;3;1;1;0;5;0;L430013;1930;1946;1960;x
Molina;430014;PHI;1943;1990;1990;1990;3;3;0;0;0;5;0;L430014;1943;1945;1960;x
Montemayor;430015;PHI;1930;1990;1990;1990;3;3;0;0;0;5;0;L430015;1930;1943;1960;x
Picar;430016;PHI;1943;1990;1990;1990;3;3;0;0;0;5;0;L430016;1943;1960;1960;x
Quezon;430017;PHI;1930;1930;1930;1990;1;3;0;0;0;5;0;L430017;1930;1942;1960;x
