Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abraham;8000;POL;1930;1938;1990;1990;2;4;16;1;0;5;0;L8000;1930;1960;1960;x
Alter;8001;POL;1930;1939;1990;1990;3;6;2;1;0;5;0;L8001;1930;1945;1960;x
Anders;8002;POL;1937;1941;1943;1990;2;8;84;3;0;5;0;L8002;1937;1960;1960;x
Berbecki;8003;POL;1930;1990;1990;1990;3;4;32;0;0;5;0;L8003;1930;1938;1960;x
Berling;8004;POL;1940;1942;1945;1990;2;4;0;2;0;3;0;L8004;1940;1960;1960;x
Bittner;8005;POL;1930;1990;1990;1990;3;5;1;0;0;5;0;L8005;1930;1960;1960;x
Boltuc;8006;POL;1930;1930;1990;1990;2;4;32;0;0;5;0;L8006;1930;1940;1960;x
Boncza-Uzdowski;8007;POL;1930;1930;1990;1990;2;4;2;0;0;3;0;L8007;1930;1939;1960;x
Bortnowski;8008;POL;1930;1930;1930;1990;1;5;0;1;0;5;0;L8008;1930;1960;1960;x
Boruta-Spiechowicz;8009;POL;1930;1930;1990;1990;2;6;256;1;0;5;0;L8009;1930;1960;1960;x
Bór-Komorowski;8010;POL;1930;1940;1942;1990;1;5;1;2;0;5;0;L8010;1930;1960;1960;x
Brzechwa-Ajdukiewicz;8011;POL;1938;1990;1990;1990;3;5;2;0;0;5;0;L8011;1938;1960;1960;x
Brzoza-Brzezina;8012;POL;1937;1990;1990;1990;3;5;64;0;0;5;0;L8012;1937;1941;1960;x
Burhardt-Bukacki;8013;POL;1930;1930;1930;1990;1;5;513;1;0;5;0;L8013;1930;1942;1960;x
Cehak;8014;POL;1937;1942;1990;1990;3;5;2;1;0;5;0;L8014;1937;1960;1960;x
Cepa;8015;POL;1941;1990;1990;1990;3;4;32;0;0;5;0;L8015;1941;1960;1960;x
Chrusciel-Monter;8016;POL;1940;1941;1943;1990;2;5;1;2;0;5;0;L8016;1940;1960;1960;x
Chmurowicz;8017;POL;1938;1990;1990;1990;3;4;2;0;0;5;0;L8017;1938;1960;1960;x
Czuma;8018;POL;1930;1930;1990;1990;2;5;2;0;0;5;0;L8018;1930;1960;1960;x
Czyzewski;8019;POL;1938;1990;1990;1990;3;4;0;0;0;5;0;L8019;1938;1960;1960;x
Dab-Biernacki;8020;POL;1930;1930;1937;1990;1;4;0;1;0;5;0;L8020;1930;1960;1960;x
Dabek;8021;POL;1937;1942;1990;1990;3;6;2;1;0;5;0;L8021;1937;1960;1960;x
Dabkowski;8022;POL;1930;1930;1990;1990;3;5;514;1;0;5;0;L8022;1930;1946;1960;x
Dembinski;8023;POL;1930;1930;1990;1990;2;4;2;1;0;5;0;L8023;1930;1939;1960;x
Dindorf-Ankowicz;8024;POL;1930;1938;1990;1990;2;5;0;1;0;5;0;L8024;1930;1960;1960;x
Dobrzanski;8025;POL;1930;1990;1990;1990;3;4;0;0;0;5;0;L8025;1930;1938;1960;x
Drapella;8026;POL;1930;1938;1990;1990;2;4;0;1;0;5;0;L8026;1930;1960;1960;x
Dreszer  R.;8027;POL;1930;1940;1990;1990;2;6;513;1;0;5;0;L8027;1930;1960;1960;x
Drucki-Lubecki;8028;POL;1937;1990;1990;1990;3;4;513;1;0;5;0;L8028;1937;1960;1960;x
