Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bamberg;527000;PRI;1930;1990;1990;1990;3;3;64;0;0;5;0;L527000;1930;1960;1960;x
Berthold;527001;PRI;1930;1990;1990;1990;3;3;0;0;0;5;0;L527001;1930;1960;1960;x
Cerff;527002;PRI;1930;1943;1990;1990;2;2;0;1;0;5;0;L527002;1930;1960;1960;x
Ebeling;527003;PRI;1930;1990;1990;1990;3;3;32;0;0;5;0;L527003;1930;1960;1960;x
Friemel;527004;PRI;1930;1990;1990;1990;3;3;256;0;0;5;0;L527004;1930;1960;1960;x
Gebhardt;527005;PRI;1930;1990;1990;1990;3;2;0;0;0;5;0;L527005;1930;1960;1960;x
Hertzsch;527006;PRI;1930;1990;1990;1990;3;3;1;0;0;5;0;L527006;1930;1960;1960;x
Heyl;527007;PRI;1930;1990;1990;1990;3;3;1;0;0;5;0;L527007;1930;1960;1960;x
Kokorev;527008;PRI;1930;1930;1990;1990;2;2;0;0;0;5;0;L527008;1930;1960;1960;x
Kondratenko;527009;PRI;1930;1930;1930;1930;0;2;513;1;0;5;0;L527009;1930;1960;1960;x
Neuffer;527010;PRI;1930;1990;1990;1990;3;3;2;0;0;5;0;L527010;1930;1960;1960;x
Panov;527011;PRI;1930;1930;1930;1990;1;3;1;1;0;5;0;M527040;1930;1960;1960;x
Platov;527012;PRI;1930;1990;1990;1990;3;2;1;0;0;5;0;L527012;1930;1960;1960;x
Raskolnikov;527013;PRI;1930;1990;1990;1990;3;2;9;0;0;5;0;L527013;1930;1960;1960;x
Shahurin;527014;PRI;1930;1990;1990;1990;3;2;32;0;0;5;0;L527014;1930;1960;1960;x
Shakht;527015;PRI;1930;1940;1990;1990;2;3;0;1;0;5;0;L527015;1930;1960;1960;x
Shalimov;527016;PRI;1930;1942;1990;1990;2;3;16;1;0;5;0;M527035;1930;1960;1960;x
Shanin;527017;PRI;1930;1990;1990;1990;3;4;256;1;0;5;0;L527017;1930;1960;1960;x
Shardakov;527018;PRI;1930;1990;1990;1990;3;4;128;0;0;5;0;L527018;1930;1960;1960;x
Shavurin;527019;PRI;1930;1930;1940;1990;1;3;8;1;0;5;0;L527019;1930;1960;1960;x
Shein;527020;PRI;1930;1990;1990;1990;3;2;8;0;0;5;0;M527039;1930;1960;1960;x
Shestak;527021;PRI;1930;1930;1990;1990;2;2;4;0;0;5;0;L527021;1930;1960;1960;x
Shestopalov;527022;PRI;1930;1990;1990;1990;3;4;9;0;0;5;0;L527022;1930;1960;1960;x
Shimansky;527023;PRI;1930;1930;1990;1990;2;2;0;0;0;5;0;M527008;1930;1960;1960;x
Shipov;527024;PRI;1930;1944;1990;1990;2;3;64;1;0;5;0;M527007;1930;1960;1960;x
Shiryaev;527025;PRI;1930;1990;1990;1990;3;2;2;0;0;5;0;M527036;1930;1960;1960;x
Shishov;527026;PRI;1930;1941;1990;1990;2;3;8;1;0;5;0;L527026;1930;1960;1960;x
Shulgin;527027;PRI;1930;1943;1990;1990;2;3;128;1;0;5;0;L527027;1930;1960;1960;x
Shutt;527028;PRI;1930;1930;1990;1990;2;4;256;1;0;5;0;M527010;1930;1960;1960;x
Shvetsov;527029;PRI;1930;1990;1990;1990;3;2;0;0;0;5;0;L527029;1930;1960;1960;x
Terentev;527030;PRI;1930;1930;1990;1990;2;3;16;0;0;5;0;L527030;1930;1960;1960;x
Tretyak;527031;PRI;1930;1930;1990;1990;2;3;2;0;0;5;0;M527038;1930;1960;1960;x
Trubachev;527032;PRI;1930;1930;1930;1990;1;2;1;1;0;5;0;L527032;1930;1960;1960;x
Volsky;527033;PRI;1930;1930;1990;1990;2;3;513;1;0;5;0;L527033;1930;1960;1960;x
von Döhren;527034;PRI;1930;1990;1990;1990;3;3;32;0;0;5;0;L527034;1930;1960;1960;x
Vysoitsky;527035;PRI;1930;1930;1990;1990;2;3;16;0;0;5;0;M527037;1930;1960;1960;x
Vysitsky;527036;PRI;1930;1930;1990;1990;2;3;256;0;0;5;0;L527036;1930;1960;1960;x
Bytchkov;527037;PRI;1930;1990;1990;1990;3;2;4096;0;0;5;1;M527043;1930;1960;1960;x
Keppenrus;527038;PRI;1930;1945;1990;1990;3;2;8192;1;0;5;1;M527042;1930;1960;1960;x
Kulik;527039;PRI;1930;1930;1945;1990;1;3;1024;1;0;5;1;M527041;1930;1960;1960;x
Milyukov;527040;PRI;1930;1940;1990;1990;2;2;0;0;0;5;1;L527040;1930;1960;1960;x
Novokov;527041;PRI;1930;1990;1990;1990;3;2;0;0;0;5;1;L527041;1930;1960;1960;x
Panov;527042;PRI;1930;1930;1942;1990;1;3;0;1;0;5;1;M527009;1930;1960;1960;x
Shahova;527043;PRI;1930;1990;1990;1990;3;2;8192;0;0;5;2;L527043;1930;1960;1960;x
Shkaruba;527044;PRI;1930;1990;1990;1990;3;2;0;0;0;5;2;L527044;1930;1960;1960;x
Shanin;527045;PRI;1930;1990;1990;1990;3;4;8192;0;0;5;2;L527017;1930;1960;1960;x
Shapovalov;527046;PRI;1930;1930;1990;1990;2;2;65536;0;0;5;2;L527046;1930;1960;1960;x
Shatalov;527047;PRI;1930;1941;1944;1990;1;3;0;2;0;5;2;L527047;1930;1960;1960;x
Shavrov;527048;PRI;1930;1990;1990;1990;3;2;16384;0;0;5;2;M527044;1930;1960;1960;x
Shevrigin;527049;PRI;1930;1939;1990;1990;2;3;131072;1;0;5;2;M527045;1930;1960;1960;x
Shubin;527050;PRI;1930;1990;1990;1990;3;3;4096;0;0;5;2;M527046;1930;1960;1960;x
Shutt;527051;PRI;1930;1930;1990;1990;2;3;0;1;0;5;2;M527010;1930;1960;1960;x
Commander;527900;PRI;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;527901;PRI;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;527902;PRI;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;527903;PRI;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
