Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Álvarez Alegría;3000;SPR;1930;1941;1990;1990;3;5;128;1;0;5;0;L3000;1930;1960;1960;x
Álvarez Santiago;3001;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3001;1937;1940;1960;x
Aranguren Roldán;3002;SPR;1930;1930;1990;1990;2;4;0;0;0;5;0;L3002;1930;1939;1960;x
Ascaso Abadía;3003;SPR;1930;1990;1990;1990;3;4;272;0;0;4;0;L3003;1930;1939;1960;x
Asensio Torrado;3004;SPR;1930;1937;1939;1990;2;5;0;2;0;3;0;L3004;1930;1960;1960;x
Barceló Jover;3005;SPR;1930;1930;1990;1990;3;4;0;0;0;4;0;L3005;1930;1939;1960;x
Batet Mestre;3006;SPR;1930;1930;1930;1990;1;5;0;1;0;5;0;L3006;1930;1937;1960;x
Batov;3007;SPR;1930;1937;1990;1990;2;6;128;1;0;4;0;L3007;1930;1960;1960;x
Beldarrain Olalde;3008;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3008;1930;1938;1960;x
Beltran;3009;SPR;1930;1990;1990;1990;3;3;0;0;0;5;0;L3009;1930;1939;1960;x
Burillo Sthole;3010;SPR;1930;1937;1990;1990;3;5;1;1;0;5;0;L3010;1930;1939;1960;x
Casado López;3011;SPR;1930;1938;1990;1990;3;5;4;1;0;2;0;L3011;1930;1960;1960;x
Castelló Manzano;3012;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3012;1937;1940;1960;x
Castelló Pantoja;3013;SPR;1930;1930;1941;1990;2;6;2;1;0;5;0;L3013;1930;1960;1960;x
Castro Delgado;3014;SPR;1930;1990;1990;1990;3;3;0;0;0;4;0;L3014;1930;1938;1960;x
Centaño de la Paz;3015;SPR;1930;1990;1990;1990;3;4;64;0;0;1;0;L3015;1930;1938;1960;x
Contreras;3016;SPR;1930;1990;1990;1990;3;4;0;0;0;4;0;L3016;1930;1939;1960;x
Copic;3017;SPR;1930;1990;1990;1990;3;4;0;0;0;3;0;L3017;1930;1939;1960;x
