Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arden-Clarke;553000;RHO;1930;1930;1990;1990;2;4;1;0;0;5;0;M551008;1930;1960;1960;x
Bradshaw;553001;RHO;1942;1990;1990;1990;3;4;4;0;0;5;0;L1046;1942;1960;1960;x
Capell-Dunn;553002;RHO;1930;1930;1990;1990;2;5;128;1;0;5;0;M553040;1941;1960;1960;x
Carrington;553003;RHO;1930;1930;1930;1990;1;4;514;1;0;5;0;M553008;1930;1941;1960;x
Christison;553004;RHO;1941;1943;1990;1990;2;5;4;1;0;5;0;L1074;1941;1960;1960;x
Clutterbuck;553005;RHO;1941;1943;1990;1990;3;4;0;1;0;5;0;L1078;1941;1960;1960;x
de Burgh;553006;RHO;1930;1930;1990;1990;2;4;576;1;0;5;0;L1094;1930;1942;1960;x
Grigg;553007;RHO;1939;1943;1946;1990;1;6;16;3;0;5;0;M553038;1939;1960;1960;x
Killarney;553008;RHO;1930;1990;1990;1990;3;4;4;0;0;5;0;L553008;1930;1942;1960;x
Lloyd;553009;RHO;1939;1990;1990;1990;3;4;1;0;0;5;0;L1195;1939;1960;1960;x
Mburnu;553010;RHO;1930;1941;1990;1990;2;3;0;1;0;5;0;M553042;1930;1960;1960;x
Newell-Clarke;553011;RHO;1930;1940;1990;1990;2;3;2;1;0;5;0;L553011;1930;1960;1960;x
Nicholson;553012;RHO;1930;1990;1990;1990;3;3;1;0;0;5;0;M553035;1930;1943;1960;x
Rees;553013;RHO;1941;1990;1990;1990;3;4;1;0;0;5;0;L1260;1941;1960;1960;x
Somerset;553014;RHO;1939;1990;1990;1990;3;3;128;0;0;5;0;L1284;1939;1947;1960;x
Stanley;553015;RHO;1930;1930;1990;1990;2;6;1;0;0;5;0;M553039;1930;1943;1960;x
Thornton;553016;RHO;1937;1990;1990;1990;3;5;257;0;0;5;0;L553016;1937;1960;1960;x
Yeta III;553017;RHO;1930;1930;1930;1990;1;2;0;0;0;5;0;M553011;1930;1960;1960;x
Yomohulu;553018;RHO;1939;1943;1990;1990;2;2;2;1;0;5;0;M553021;1939;1960;1960;x
wa Ltunga;553019;RHO;1940;1945;1990;1990;3;3;32;1;0;5;0;M553041;1940;1960;1960;x
Drummond;553020;RHO;1930;1990;1990;1990;3;3;2560;0;0;5;1;M553009;1930;1942;1960;x
Gould;553021;RHO;1941;1990;1990;1990;3;3;1024;0;0;5;1;M74009;1941;1960;1960;x
Squance;553022;RHO;1940;1990;1990;1990;3;4;4096;0;0;5;1;M553045;1940;1960;1960;x
wa Ltunga;553023;RHO;1940;1990;1990;1990;3;2;8192;0;0;5;1;M553041;1940;1960;1960;x
Yeta III;553024;RHO;1930;1930;1930;1990;1;2;0;0;0;5;1;M553011;1930;1960;1960;x
Arden-Clarke;553025;RHO;1930;1930;1990;1990;2;3;131072;1;0;5;2;M551008;1930;1960;1960;x
Croucher;553026;RHO;1930;1990;1990;1990;3;3;32768;0;0;5;2;M553048;1930;1960;1960;x
McKenzie-Kennedy;553027;RHO;1938;1944;1990;1990;2;4;16384;1;0;5;2;M553014;1938;1960;1960;x
Plagis;553028;RHO;1940;1990;1990;1990;3;5;4096;0;0;5;2;L553028;1940;1960;1960;x
Stevenson;553029;RHO;1930;1990;1990;1990;3;2;0;0;0;5;2;L553029;1930;1960;1960;x
wa Ltunga;553030;RHO;1940;1945;1990;1990;2;2;65536;1;0;5;2;M553041;1940;1960;1960;x
Commander;553900;RHO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;553901;RHO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;553902;RHO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;553903;RHO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;553904;RHO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;553905;RHO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;553906;RHO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;553907;RHO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;553908;RHO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;553909;RHO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
