Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aldea;4300;ROM;1930;1939;1944;1990;1;5;0;3;0;4;0;L4300;1930;1960;1960;x
Alexiu;4301;ROM;1941;1944;1990;1990;3;5;66;2;0;4;0;L4301;1941;1960;1960;x
Antonescu  I.A.;4302;ROM;1930;1990;1990;1990;3;4;0;1;0;3;0;L4302;1930;1960;1960;x
Antonescu  I.V.;4303;ROM;1930;1930;1937;1939;0;7;0;4;0;3;0;L4303;1930;1960;1960;x
Antonescu  P.;4304;ROM;1941;1990;1990;1990;3;4;64;1;0;4;0;L4304;1941;1945;1960;x
Argeseanu;4305;ROM;1930;1930;1939;1990;2;5;0;2;0;3;0;L4305;1930;1940;1960;x
Argetoianu;4306;ROM;1946;1990;1990;1990;3;4;0;1;0;4;0;L4306;1946;1960;1960;x
Avramescu;4307;ROM;1937;1942;1944;1990;2;6;4;3;0;4;0;L4307;1937;1960;1960;x
Badescu;4308;ROM;1944;1990;1990;1990;3;4;0;1;0;4;0;L4308;1944;1947;1960;x
Baldescu;4309;ROM;1938;1941;1945;1990;2;5;0;3;0;4;0;L4309;1938;1947;1960;x
Bardan;4310;ROM;1941;1943;1990;1990;3;6;0;2;0;4;0;L4310;1941;1947;1960;x
Boiteanu;4311;ROM;1941;1943;1944;1990;2;5;4;3;0;4;0;L4311;1941;1946;1960;x
Bratescu;4312;ROM;1940;1990;1990;1990;3;4;0;1;0;4;0;L4312;1940;1960;1960;x
Bucliu;4313;ROM;1945;1990;1990;1990;3;4;0;1;0;2;0;L4313;1945;1960;1960;x
Calotescu;4314;ROM;1940;1943;1990;1990;2;4;0;2;0;4;0;L4314;1940;1945;1960;x
Caracas;4315;ROM;1941;1990;1990;1990;3;4;0;1;0;4;0;L4315;1941;1945;1960;x
Carlaont;4316;ROM;1941;1944;1990;1990;3;4;0;2;0;4;0;L4316;1941;1945;1960;x
Ceausu;4317;ROM;1939;1990;1990;1990;3;5;64;1;0;4;0;L4317;1939;1947;1960;x
Chirnoaga;4318;ROM;1941;1990;1990;1990;3;4;0;1;0;4;0;L4318;1941;1960;1960;x
Cialâk;4319;ROM;1941;1990;1990;1990;3;4;0;1;0;4;0;L4319;1941;1945;1960;x
Ciuperca;4320;ROM;1930;1930;1938;1990;1;6;0;2;0;4;0;L4320;1930;1941;1960;x
Codreanu  I.;4321;ROM;1930;1941;1990;1990;2;4;516;2;0;2;0;L4321;1930;1947;1960;x
Constantinescu-Claps;4322;ROM;1930;1930;1930;1990;1;7;2;2;0;4;0;L4322;1930;1943;1960;x
Cosma;4323;ROM;1941;1943;1990;1990;2;6;96;2;0;4;0;L4323;1941;1960;1960;x
Dascalescu;4324;ROM;1936;1940;1942;1990;1;6;0;3;0;4;0;L4324;1936;1945;1960;x
Dimitriu;4325;ROM;1930;1930;1940;1990;1;4;0;2;0;4;0;L4325;1930;1960;1960;x
Dobre;4326;ROM;1945;1947;1990;1990;3;6;128;2;0;2;0;L4326;1945;1960;1960;x
Dragalina;4327;ROM;1930;1930;1939;1990;1;5;0;2;0;4;0;L4327;1930;1945;1960;x
Dragomir;4328;ROM;1941;1990;1990;1990;3;4;0;1;0;4;0;L4328;1941;1960;1960;x
Dumitrache;4329;ROM;1941;1943;1990;1990;2;5;256;2;0;4;0;L4329;1941;1945;1960;x
Dumitrescu;4330;ROM;1930;1937;1942;1990;1;7;0;3;0;5;0;L4330;1930;1960;1960;x
Eftimiu;4331;ROM;1941;1990;1990;1990;3;4;0;1;0;4;0;L4331;1941;1947;1960;x
Enescu;4332;ROM;1930;1930;1930;1990;1;5;514;1;0;4;0;L4332;1930;1940;1960;x
Florescu;4333;ROM;1930;1930;1930;1990;1;5;514;1;0;4;0;L4333;1930;1939;1960;x
Georgescu  A.I.I.;4334;ROM;1930;1990;1990;1990;3;6;514;1;0;4;0;L4334;1930;1939;1960;x
Georgescu  I.G.;4335;ROM;1930;1990;1990;1990;3;5;576;1;0;5;0;L4335;1930;1945;1960;x
Gherghe;4336;ROM;1938;1941;1943;1990;2;5;128;3;0;4;0;L4336;1938;1945;1960;x
Ghineraru;4337;ROM;1941;1990;1990;1990;3;4;2;1;0;4;0;L4337;1941;1960;1960;x
Glimnitz;4338;ROM;1930;1990;1990;1990;3;5;16;1;0;5;0;L4338;1930;1942;1960;x
Glogojanu;4339;ROM;1930;1938;1990;1990;2;5;0;2;0;5;0;L4339;1930;1942;1960;x
Greceanu;4340;ROM;1945;1990;1990;1990;3;4;256;1;0;3;0;L4340;1945;1960;1960;x
Iacobici;4341;ROM;1930;1930;1939;1990;1;5;0;2;0;5;0;L4341;1930;1942;1960;x
Iliescu;4342;ROM;1939;1990;1990;1990;3;4;0;1;0;4;0;L4342;1939;1960;1960;x
Ilcusu;4343;ROM;1930;1930;1930;1990;1;4;514;1;0;4;0;L4343;1930;1940;1960;x
Ioanitiu;4344;ROM;1930;1930;1990;1990;2;4;0;1;0;4;0;L4344;1930;1941;1960;x
Ionascu;4345;ROM;1930;1941;1944;1990;2;6;64;3;0;4;0;L4345;1930;1960;1960;x
Ionescu;4346;ROM;1941;1990;1990;1990;3;4;4;1;0;4;0;L4346;1941;1960;1960;x
Ionescu-Sinaia;4347;ROM;1930;1941;1944;1990;2;6;256;3;0;4;0;L4347;1930;1947;1960;x
Korne;4348;ROM;1942;1943;1990;1990;3;7;132;2;0;4;0;L4348;1942;1944;1960;x
Lacatusu;4349;ROM;1938;1942;1945;1990;2;6;320;3;0;4;0;L4349;1938;1947;1960;x
Lascar;4350;ROM;1939;1942;1943;1946;1;8;0;3;0;2;0;L4350;1939;1960;1960;x
Leoveanu;4351;ROM;1930;1938;1943;1990;2;6;0;3;0;4;0;L4351;1930;1945;1960;x
Leventi;4352;ROM;1930;1939;1990;1990;2;5;514;1;0;4;0;L4352;1930;1941;1960;x
Lindeiner;4353;ROM;1944;1990;1990;1990;3;6;256;1;0;5;0;L4353;1944;1960;1960;x
Macici;4354;ROM;1930;1930;1942;1990;2;5;0;2;0;4;0;L4354;1930;1945;1960;x
Manafu;4355;ROM;1937;1942;1990;1990;3;6;0;2;0;4;0;L4355;1937;1960;1960;x
Mazareanu;4356;ROM;1940;1990;1990;1990;3;5;256;1;0;4;0;L4356;1940;1960;1960;x
Mazarini;4357;ROM;1930;1930;1990;1990;2;4;0;1;0;5;0;L4357;1930;1942;1960;x
Mihail;4358;ROM;1930;1930;1930;1990;1;5;513;1;0;5;0;L4358;1930;1940;1960;x
Mitranescu;4359;ROM;1930;1938;1943;1990;2;6;0;3;0;5;0;L4359;1930;1944;1960;x
Mociulschi;4360;ROM;1939;1942;1990;1990;2;5;256;2;0;4;0;L4360;1939;1947;1960;x
Mosiu;4361;ROM;1939;1990;1990;1990;3;4;64;1;0;4;0;L4361;1939;1947;1960;x
Nasta;4362;ROM;1941;1990;1990;1990;3;5;64;1;0;4;0;L4362;1941;1947;1960;x
