Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abrazarian;500000;RUS;1930;1990;1990;1990;3;4;16;0;0;5;0;L500000;1930;1945;1960;x
Alekseev;500001;RUS;1930;1930;1930;1990;1;5;514;1;0;5;0;L500001;1930;1942;1960;x
Barbovich;500002;RUS;1930;1990;1990;1990;3;4;128;0;0;5;0;L500002;1930;1960;1960;x
Belov  I.P.;500003;RUS;1930;1939;1942;1990;1;5;0;2;0;5;0;L9839;1930;1960;1960;x
Belov  S.I.;500004;RUS;1930;1939;1946;1990;2;5;128;2;0;5;0;L9841;1930;1960;1960;x
Berman;500005;RUS;1930;1941;1990;1990;2;5;4;1;0;5;0;L9843;1930;1960;1960;x
Bogaevsky;500006;RUS;1930;1930;1990;1990;2;3;128;0;0;5;0;L500006;1930;1960;1960;x
Daskevych;500007;RUS;1930;1990;1990;1990;3;4;256;0;0;5;0;L500007;1930;1960;1960;x
Deev;500008;RUS;1930;1939;1942;1990;2;4;256;2;0;5;0;L9884;1930;1960;1960;x
Denikin;500009;RUS;1930;1930;1930;1990;1;4;520;1;0;5;0;L500009;1930;1942;1960;x
Dragomirov;500010;RUS;1930;1930;1930;1990;1;4;514;1;0;5;0;L500010;1930;1942;1960;x
Drozdovski;500011;RUS;1930;1930;1939;1943;1;6;128;3;0;5;0;L500011;1930;1960;1960;x
Dutov;500012;RUS;1930;1930;1940;1990;2;4;8;1;0;5;0;L500012;1930;1946;1960;x
Dybenko;500013;RUS;1930;1939;1990;1990;2;5;513;1;0;5;0;L9894;1930;1942;1960;x
Egorov;500014;RUS;1930;1930;1939;1941;0;7;514;2;0;5;0;L9896;1930;1946;1960;x
Erogin;500015;RUS;1930;1941;1990;1990;2;3;4;1;0;5;0;L500015;1930;1960;1960;x
Fabricius;500016;RUS;1930;1930;1930;1990;1;4;514;1;0;5;0;L9907;1930;1941;1960;x
Fedko;500017;RUS;1930;1939;1943;1990;2;4;2;2;0;5;0;L9910;1930;1960;1960;x
Fomin;500018;RUS;1930;1990;1990;1990;3;4;1;0;0;5;0;L9936;1930;1960;1960;x
Gaj;500019;RUS;1930;1939;1941;1990;2;5;1;2;0;5;0;L9930;1930;1960;1960;x
Glazenap;500020;RUS;1930;1930;1990;1990;2;4;520;1;0;5;0;L500020;1930;1943;1960;x
Golubev;500021;RUS;1930;1941;1990;1990;3;4;8;1;0;5;0;L9946;1930;1960;1960;x
