Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bircher;129000;SCH;1938;1990;1990;1990;3;4;0;0;0;3;0;L129000;1938;1946;1960;x
Borel;129001;SCH;1930;1990;1990;1990;3;4;0;0;0;5;0;L129001;1930;1941;1960;x
Brunner;129002;SCH;1941;1990;1990;1990;3;5;4;0;0;5;0;L129002;1941;1960;1960;x
Castelli;129003;SCH;1939;1990;1990;1990;3;4;128;0;0;5;0;L129003;1939;1960;1960;x
Constam;129004;SCH;1930;1930;1990;1990;2;7;0;1;0;5;0;L129004;1930;1944;1960;x
de Crousaz;129005;SCH;1930;1990;1990;1990;3;5;256;0;0;5;0;L129005;1930;1943;1960;x
Flückiger;129006;SCH;1937;1990;1990;1990;3;4;0;0;0;5;0;L129006;1937;1960;1960;x
Gugger;129007;SCH;1941;1990;1990;1990;3;4;0;0;0;5;0;L129007;1941;1960;1960;x
Guisan;129008;SCH;1930;1930;1930;1990;1;8;6;2;0;5;0;L129008;1930;1960;1960;x
Huber  J.;129009;SCH;1930;1990;1990;1990;3;5;0;0;0;5;0;L129009;1930;1940;1960;x
Huber  J.I.;129010;SCH;1938;1941;1943;1990;1;6;3;2;0;5;0;L129010;1938;1960;1960;x
Isler;129011;SCH;1930;1990;1990;1990;3;5;0;0;0;5;0;L129011;1930;1941;1960;x
Jahn;129012;SCH;1942;1990;1990;1990;3;4;0;0;0;5;0;L129012;1942;1960;1960;x
Jenne;129013;SCH;1944;1990;1990;1990;3;5;16;0;0;5;0;L129013;1944;1960;1960;x
Furrer;129014;SCH;1930;1930;1990;1990;2;3;0;1;0;5;0;L129014;1930;1943;1960;x
Kammel;129015;SCH;1940;1990;1990;1990;3;4;64;0;0;5;0;L129015;1940;1946;1960;x
Labhart;129016;SCH;1939;1943;1990;1990;2;4;0;1;0;5;0;L129016;1939;1960;1960;x
Lardelli;129017;SCH;1930;1939;1990;1990;2;4;0;1;0;5;0;L129017;1930;1943;1960;x
Le Pierre;129018;SCH;1944;1990;1990;1990;3;5;1;0;0;5;0;L129018;1944;1960;1960;x
Mamin;129019;SCH;1930;1990;1990;1990;3;4;2;0;0;5;0;L129019;1930;1941;1960;x
Marcaud;129020;SCH;1930;1990;1990;1990;3;6;514;1;0;5;0;L129020;1930;1939;1960;x
Masson;129021;SCH;1946;1990;1990;1990;3;4;0;0;0;5;0;L129021;1946;1960;1960;x
Matille;129022;SCH;1942;1990;1990;1990;3;4;0;0;0;5;0;L129022;1942;1960;1960;x
Mosimann;129023;SCH;1941;1946;1990;1990;3;5;2;1;0;5;0;L129023;1941;1960;1960;x
Müller;129024;SCH;1930;1990;1990;1990;3;6;8;0;0;5;0;L129024;1930;1943;1960;x
Nicola;129025;SCH;1940;1990;1990;1990;3;5;128;0;0;5;0;L129025;1940;1960;1960;x
Prisi;129026;SCH;1930;1930;1990;1990;2;4;0;1;0;5;0;L129026;1930;1942;1960;x
Roost;129027;SCH;1939;1942;1990;1990;2;5;32;1;0;5;0;L129027;1939;1960;1960;x
Rünzi;129028;SCH;1939;1990;1990;1990;3;5;256;0;0;5;0;L129028;1939;1947;1960;x
Scheibli;129029;SCH;1930;1930;1990;1990;2;6;513;1;0;5;0;L129029;1930;1943;1960;x
Scherrer;129030;SCH;1930;1990;1990;1990;3;4;256;0;0;5;0;L129030;1930;1940;1960;x
Schwarz;129031;SCH;1939;1990;1990;1990;3;4;2;0;0;5;0;L129031;1939;1960;1960;x
Sonderegger;129032;SCH;1930;1930;1990;1990;2;6;516;1;0;5;0;L129032;1930;1940;1960;x
Strickler;129033;SCH;1943;1945;1990;1990;3;5;0;1;0;5;0;L129033;1943;1960;1960;x
von Graffenried;129034;SCH;1939;1990;1990;1990;3;4;0;0;0;5;0;L129034;1939;1960;1960;x
Waibel;129035;SCH;1945;1990;1990;1990;3;4;0;0;0;5;0;L129035;1945;1960;1960;x
