Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Balfour;561000;SCO;1930;1941;1990;1990;2;5;0;1;0;5;0;L1018;1930;1944;1960;x
Bruce;561001;SCO;1944;1990;1990;1990;3;5;264;1;0;5;0;L1054;1944;1960;1960;x
Burns;561002;SCO;1940;1990;1990;1990;3;5;64;1;0;5;0;L1057;1940;1960;1960;x
Campbell  A.D.;561003;SCO;1943;1990;1990;1990;3;5;32;1;0;5;0;L1061;1943;1960;1960;x
Campbell of Achalader;561004;SCO;1941;1990;1990;1990;3;5;4;1;0;5;0;L1062;1941;1946;1960;x
Campbell of Airds;561005;SCO;1941;1990;1990;1990;3;6;0;1;0;5;0;L1063;1941;1945;1960;x
Campbell  J.;561006;SCO;1938;1990;1990;1990;3;5;128;1;0;5;0;L1064;1938;1942;1960;x
Cameron;561007;SCO;1942;1944;1990;1990;3;5;2;2;0;5;0;L1065;1942;1960;1960;x
Dickinson;561008;SCO;1930;1990;1990;1990;3;5;544;1;0;5;0;L1104;1930;1944;1960;x
Dobie;561009;SCO;1943;1990;1990;1990;3;5;256;1;0;5;0;L1107;1943;1960;1960;x
Duncan;561010;SCO;1943;1990;1990;1990;3;5;128;1;0;5;0;L1112;1943;1960;1960;x
Fergusson;561011;SCO;1938;1990;1990;1990;3;5;1;1;0;5;0;L1118;1938;1943;1960;x
Fitzpatrick;561012;SCO;1930;1941;1946;1990;2;5;2;3;0;5;0;L1122;1930;1960;1960;x
Franklyn;561013;SCO;1930;1938;1990;1990;2;5;2;1;0;5;0;L1127;1930;1960;1960;x
Gray;561014;SCO;1945;1990;1990;1990;3;6;4;1;0;5;0;L1146;1945;1960;1960;x
Hackett;561015;SCO;1943;1946;1990;1990;3;6;256;2;0;5;0;L1150;1943;1960;1960;x
Hakewill-Smith;561016;SCO;1941;1990;1990;1990;3;6;0;1;0;5;0;L1152;1941;1960;1960;x
Ismay;561017;SCO;1939;1942;1944;1990;2;8;2;2;0;5;0;L1176;1939;1960;1960;x
Kavanagh;561018;SCO;1930;1930;1990;1990;2;5;513;1;0;5;0;L1178;1930;1944;1960;x
Kirke;561019;SCO;1930;1930;1930;1990;1;5;576;1;0;5;0;L1181;1930;1942;1960;x
Macdonald;561020;SCO;1930;1990;1990;1990;3;5;513;1;0;5;0;L1203;1930;1943;1960;x
MacFarlane;561021;SCO;1939;1942;1990;1990;2;4;0;2;0;5;0;L1204;1939;1945;1960;x
MacKenzie  C.J.;561022;SCO;1930;1990;1990;1990;3;5;256;1;0;5;0;L1205;1930;1940;1960;x
MacKenzie  D.A.L.;561023;SCO;1943;1990;1990;1990;3;5;0;1;0;5;0;L1206;1943;1960;1960;x
MacMillan;561024;SCO;1941;1943;1990;1990;3;6;0;2;0;5;0;L1208;1941;1960;1960;x
Mansergh;561025;SCO;1940;1943;1990;1990;3;7;5;2;0;5;0;L1211;1940;1960;1960;x
McCardie;561026;SCO;1940;1990;1990;1990;3;5;4;1;0;5;0;L1215;1940;1945;1960;x
McCreery;561027;SCO;1941;1943;1947;1990;2;7;128;3;0;5;0;L1216;1941;1960;1960;x
McCulloch;561028;SCO;1930;1990;1990;1990;3;5;546;1;0;5;0;L1217;1930;1943;1960;x
McLeod;561029;SCO;1944;1990;1990;1990;3;7;256;1;0;5;0;L1218;1944;1960;1960;x
Morrison of Dunrossil;561030;SCO;1939;1941;1990;1990;2;5;4;2;0;5;0;L1228;1939;1960;1960;x
Newth;561031;SCO;1930;1990;1990;1990;3;5;0;1;0;5;0;L1234;1930;1942;1960;x
Norrie;561032;SCO;1930;1941;1990;1990;2;6;128;2;0;5;0;L1223;1930;1944;1960;x
Rennie;561033;SCO;1942;1990;1990;1990;3;7;4;2;0;5;0;L1262;1942;1945;1960;x
Russell;561034;SCO;1940;1943;1990;1990;2;5;0;2;0;5;0;L1271;1940;1960;1960;x
Scobie;561035;SCO;1940;1942;1990;1990;2;5;0;2;0;5;0;L1277;1940;1960;1960;x
Scoones;561036;SCO;1940;1942;1946;1990;2;7;1;3;0;5;0;L1278;1940;1960;1960;x
Soames;561037;SCO;1930;1942;1990;1990;2;5;0;2;0;5;0;L1283;1930;1947;1960;x
St.Clair-Morford;561038;SCO;1930;1990;1990;1990;3;5;768;1;0;5;0;L1287;1930;1943;1960;x
Sturges;561039;SCO;1940;1943;1990;1990;2;8;256;2;0;5;0;L1292;1940;1946;1960;x
Templer;561040;SCO;1940;1942;1945;1990;2;7;257;3;0;5;0;L1294;1940;1960;1960;x
Toye;561041;SCO;1943;1947;1990;1990;3;6;256;2;0;5;0;L1298;1943;1960;1960;x
Urquhart;561042;SCO;1943;1990;1990;1990;3;7;256;2;0;5;0;L1300;1943;1960;1960;x
Utterson-Kelso;561043;SCO;1941;1990;1990;1990;3;5;0;1;0;5;0;L1301;1941;1960;1960;x
Walwyn;561044;SCO;1936;1939;1990;1990;2;5;528;1;0;5;0;L1307;1936;1943;1960;x
Agnew;561045;SCO;1940;1990;1990;1990;3;5;0;1;0;5;1;L1318;1940;1943;1960;x
Balfour-Stephens;561046;SCO;1943;1990;1990;1990;3;5;0;1;0;5;1;L1321;1943;1960;1960;x
Boyd;561047;SCO;1930;1942;1990;1990;3;5;2048;2;0;5;1;L1326;1930;1960;1960;x
Boyle of Cork and Orrey;561048;SCO;1930;1930;1930;1937;0;5;0;3;0;5;1;L1327;1930;1943;1960;x
Bruce-Fraser;561049;SCO;1930;1990;1990;1990;3;6;2048;1;0;5;1;L1328;1930;1941;1960;x
Fraser;561050;SCO;1939;1940;1942;1947;1;7;0;4;0;5;1;L1348;1939;1960;1960;x
Gretton;561051;SCO;1938;1944;1990;1990;3;6;0;2;0;5;1;L1350;1938;1960;1960;x
Ingram;561052;SCO;1930;1990;1990;1990;3;5;1024;1;0;5;1;L1358;1930;1943;1960;x
Jarvis;561053;SCO;1937;1943;1990;1990;2;5;0;2;0;5;1;L1360;1937;1960;1960;x
Layton;561054;SCO;1930;1930;1990;1990;2;6;8192;2;0;5;1;L1364;1930;1942;1960;x
Makeig-Jones;561055;SCO;1940;1990;1990;1990;3;5;0;1;0;5;1;L1368;1940;1960;1960;x
Murry;561056;SCO;1943;1990;1990;1990;3;5;0;1;0;5;1;L1374;1943;1960;1960;x
Palliser;561057;SCO;1930;1990;1990;1990;3;6;0;1;0;5;1;L1377;1930;1960;1960;x
Stokes;561058;SCO;1941;1990;1990;1990;3;5;0;1;0;5;1;L1391;1941;1960;1960;x
Syfret;561059;SCO;1930;1942;1944;1990;2;7;8704;3;0;5;1;L1393;1930;1960;1960;x
Vian;561060;SCO;1940;1942;1944;1990;3;8;4096;3;0;5;1;L1399;1940;1960;1960;x
Whitby;561061;SCO;1940;1990;1990;1990;3;5;0;1;0;5;1;L1405;1940;1960;1960;x
Bennett;561062;SCO;1942;1990;1990;1990;3;7;0;3;0;5;1;L1413;1942;1960;1960;x
Boyd;561063;SCO;1930;1940;1990;1990;2;5;16896;2;0;5;2;L1418;1930;1946;1960;x
