Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adamocic;547000;SER;1930;1938;1990;1990;2;3;0;1;0;3;0;L46000;1930;1960;1960;x
Backe;547001;SER;1941;1990;1990;1990;3;2;0;0;0;5;0;L547001;1941;1960;1960;x
Baltzer;547002;SER;1940;1943;1990;1990;2;4;4;1;0;5;0;L547002;1941;1960;1960;x
Berka;547003;SER;1941;1990;1990;1990;3;3;32;0;0;5;0;L547003;1941;1960;1960;x
Bozovic;547004;SER;1930;1941;1990;1990;2;3;64;1;0;3;0;L46002;1930;1960;1960;x
Bächer;547005;SER;1938;1990;1990;1990;3;4;64;0;0;5;0;L547005;1938;1947;1960;x
Büchting;547006;SER;1941;1990;1990;1990;3;4;1;0;0;5;0;L547006;1941;1960;1960;x
Conti;547007;SER;1940;1990;1990;1990;3;2;0;0;0;5;0;M547029;1940;1960;1960;x
Deininger;547008;SER;1940;1990;1990;1990;3;3;8;0;0;5;0;L547008;1940;1946;1960;x
Dokic;547009;SER;1938;1990;1990;1990;3;4;256;0;0;5;0;L547009;1938;1960;1960;x
Drobnig;547010;SER;1939;1990;1990;1990;3;3;64;0;0;5;0;L547010;1941;1960;1960;x
Ehrig;547011;SER;1930;1990;1990;1990;3;3;128;0;0;5;0;L547011;1941;1960;1960;x
Ertel;547012;SER;1939;1990;1990;1990;3;5;640;1;0;5;0;L547012;1939;1960;1960;x
Fonck;547013;SER;1940;1990;1990;1990;3;3;2;0;0;5;0;L547013;1940;1946;1960;x
Glokovac;547014;SER;1930;1990;1990;1990;3;3;64;0;0;5;0;L46009;1930;1943;1960;x
Gutknecht;547015;SER;1941;1990;1990;1990;3;3;4;0;0;5;0;L547015;1941;1946;1960;x
Haverkamp;547016;SER;1941;1990;1990;1990;3;4;32;0;0;5;0;L547016;1941;1960;1960;x
Ilic;547017;SER;1930;1930;1941;1990;1;4;2;1;0;4;0;L46010;1930;1960;1960;x
Jankovic;547018;SER;1930;1942;1990;1990;2;3;0;1;0;4;0;L46012;1930;1960;1960;x
Joksimovic;547019;SER;1930;1990;1990;1990;3;3;0;0;0;3;0;L46013;1930;1960;1960;x
Kosic;547020;SER;1930;1930;1930;1990;1;5;2;1;0;4;0;L46015;1930;1960;1960;x
Kukavicic;547021;SER;1930;1938;1990;1990;2;4;1;1;0;3;0;L46017;1930;1960;1960;x
Lukic;547022;SER;1930;1939;1990;1990;2;4;0;1;0;3;0;L46020;1930;1960;1960;x
Milicivic;547023;SER;1938;1990;1990;1990;3;3;8;0;0;3;0;L46023;1938;1960;1960;x
Nedic;547024;SER;1930;1930;1930;1940;1;4;128;2;0;3;0;L46026;1930;1960;1960;x
Pavlovic;547025;SER;1930;1939;1990;1990;3;5;0;1;0;3;0;L46028;1930;1960;1960;x
Popovic;547026;SER;1930;1930;1990;1990;2;3;0;0;0;3;0;L46030;1930;1960;1960;x
Reimann;547027;SER;1940;1941;1943;1990;1;4;2;3;0;5;0;L547027;1940;1960;1960;x
Savic;547028;SER;1938;1990;1990;1990;3;3;256;0;0;3;0;L46034;1938;1960;1960;x
Todorovic;547029;SER;1939;1990;1990;1990;3;3;1;0;0;5;0;L547029;1939;1960;1960;x
Tomic;547030;SER;1930;1939;1990;1990;2;3;4;1;0;3;0;L46036;1930;1960;1960;x
Turner;547031;SER;1930;1930;1990;1990;2;3;0;1;0;5;0;M547024;1940;1960;1960;x
von Biel;547032;SER;1939;1990;1990;1990;3;5;528;1;0;5;0;L547032;1939;1945;1960;x
von Bülow;547033;SER;1942;1990;1990;1990;3;3;1;0;0;5;0;L547033;1942;1960;1960;x
von Freydag;547034;SER;1938;1990;1990;1990;3;5;768;1;0;5;0;L547034;1938;1946;1960;x
Vujica;547035;SER;1937;1940;1990;1990;2;4;0;1;0;5;0;L547035;1937;1960;1960;x
Zivanovic;547036;SER;1930;1938;1990;1990;2;4;1;1;0;4;0;L46040;1930;1960;1960;x
Zuzoric;547037;SER;1941;1990;1990;1990;3;3;4;0;0;5;0;L547037;1941;1960;1960;x
Ilic;547038;SER;1930;1930;1941;1990;2;4;0;1;0;4;1;L46043;1930;1960;1960;x
Polic;547039;SER;1930;1940;1990;1990;2;4;0;1;0;3;1;L46046;1930;1960;1960;x
Tomic;547040;SER;1938;1941;1990;1990;3;3;1024;1;0;3;1;L46052;1938;1960;1960;x
Gossrau;547041;SER;1939;1940;1941;1990;1;5;16384;2;0;5;2;L547041;1939;1960;1960;x
Lukacevic;547042;SER;1930;1990;1990;1990;3;3;4096;0;0;5;2;L46055;1930;1960;1960;x
Naumovic;547043;SER;1930;1938;1990;1990;2;3;0;1;0;4;2;L46056;1930;1960;1960;x
Petrovic;547044;SER;1939;1990;1990;1990;3;5;4096;0;0;3;2;L46059;1939;1960;1960;x
Tomic;547045;SER;1938;1941;1990;1990;3;4;0;1;0;3;2;L46061;1938;1960;1960;x
Vukcevic;547046;SER;1930;1990;1990;1990;3;3;0;0;0;3;2;L46062;1930;1960;1960;x
Misic;547048;SER;1906;1912;1913;1915;1;8;84;4;0;5;0;1114;1906;1921;1999;x
Stepanovic;547049;SER;1906;1909;1912;1914;1;7;519;3;0;5;0;1115;1906;1929;1999;x
Putnik;547050;SER;1897;1905;1908;1912;0;7;514;4;25;5;0;1116;1897;1917;1999;x
Bojovic P.;547051;SER;1908;1912;1913;1918;1;7;68;3;0;5;0;1117;1908;1932;1999;x
Jurisic-Sturm;547052;SER;1908;1909;1913;1932;1;6;514;3;0;5;0;1118;1908;1922;1999;x
Bozanovic;547053;SER;1908;1912;1932;1932;2;6;0;2;0;3;0;1119;1908;1923;1999;x
Terzic;547054;SER;1908;1914;1932;1932;2;5;0;2;0;4;0;1120;1908;1932;1999;x
Andrejevic;547055;SER;1908;1915;1932;1932;2;4;0;1;0;4;0;unknownleader;1908;1932;1999;x
Grujic;547056;SER;1897;1897;1900;1932;1;5;512;2;0;5;0;1121;1897;1913;1999;x
Zivkovic;547057;SER;1906;1910;1912;1932;1;5;514;3;0;5;0;1122;1906;1925;1999;x
Milutinovic;547058;SER;1908;1932;1932;1932;3;6;2;3;0;5;0;1123;1908;1932;1999;x
Martinovic I.;547059;SER;1908;1915;1932;1932;2;4;0;1;0;4;0;7792;1908;1932;1999;x
Bojovic R.;547060;SER;1912;1915;1916;1932;1;4;0;1;0;5;0;unknownleader;1912;1932;1999;x
Stefanovic D.;547061;SER;1908;1916;1918;1932;1;5;0;2;0;4;0;1124;1908;1932;1999;x
Nedeljkovic;547062;SER;1908;1932;1932;1932;3;4;0;1;0;4;0;unknownleader;1908;1932;1999;x
Radenkovic;547063;SER;1915;1932;1932;1932;3;4;1;1;0;4;0;1125;1915;1932;1999;x
Crown Prince Alexander;547064;SER;1908;1910;1912;1921;1;5;0;2;0;5;0;1126;1908;1932;1999;x
Vukosavljevic;547065;SER;1914;1932;1932;1932;3;3;0;0;0;5;2;1127;1914;1932;1999;x
Rasic;547066;SER;1908;1914;1932;1932;2;5;0;2;0;5;0;1128;1908;1932;1999;x
Hadzic;547067;SER;1908;1916;1917;1932;1;6;1;2;0;5;0;1129;1908;1932;1999;x
Jovanovic;547068;SER;1908;1932;1932;1932;3;4;0;1;0;4;0;unknownleader;1908;1932;1999;x
Zecevic;547069;SER;1908;1932;1932;1932;3;4;0;1;0;5;0;unknownleader;1908;1932;1999;x
Vasic;547070;SER;1908;1915;1916;1932;1;6;66;2;0;5;0;1130;1908;1932;1999;x
Pesic;547071;SER;1912;1918;1932;1932;2;5;0;1;0;5;0;1131;1912;1932;1999;x
Trifunovic;547072;SER;1912;1920;1932;1932;3;4;0;1;0;4;0;1132;1912;1932;1999;x
Gavrilovic;547073;SER;1915;1932;1932;1932;3;5;0;2;0;5;0;1133;1915;1932;1999;x
Aracic;547074;SER;1897;1913;1915;1932;1;6;514;3;0;4;0;1134;1897;1916;1999;x
Gojkovic;547075;SER;1908;1913;1914;1932;1;6;0;2;0;4;0;1135;1908;1917;1999;x
Lesjanin;547076;SER;1908;1932;1932;1932;3;5;0;1;0;4;0;unknownleader;1908;1932;1999;x
Andjelkovic-Kajafa;547077;SER;1908;1932;1932;1932;3;7;4;3;0;5;0;1136;1908;1932;1999;x
Dimitrijevic;547078;SER;1913;1932;1932;1932;3;6;0;1;0;2;0;1137;1913;1917;1999;x
Plazina;547079;SER;1913;1932;1932;1932;3;6;17;3;0;4;0;1138;1913;1932;1999;x
Pribicevic;547080;SER;1908;1932;1932;1932;3;4;0;1;0;4;0;unknownleader;1908;1932;1999;x
Marjanovic;547081;SER;1908;1932;1932;1932;3;4;0;1;0;4;0;unknownleader;1908;1932;1999;x
Popovic D.;547082;SER;1903;1914;1915;1932;1;4;0;1;0;4;0;1139;1903;1932;1999;x
Kondic;547083;SER;1908;1932;1932;1932;3;5;64;1;0;4;0;1140;1908;1932;1999;x
Prince Arsen;547084;SER;1908;1912;1932;1932;2;4;0;2;0;5;0;1141;1908;1932;1999;x
Tankosic;547085;SER;1912;1932;1932;1932;3;4;256;1;0;3;0;1142;1912;1932;1999;x
Paunovic;547086;SER;1900;1932;1932;1932;3;4;0;1;0;4;0;unknownleader;1900;1913;1999;x
Smiljanic;547087;SER;1908;1932;1932;1932;3;5;0;2;0;5;0;1143;1908;1932;1999;x
Djordjevic;547088;SER;1913;1932;1932;1932;3;4;0;1;0;4;0;1144;1913;1932;1999;x
Bogdanovic;547089;SER;1908;1932;1932;1932;3;4;1;1;0;4;0;1145;1908;1932;1999;x
Popovic V.;547090;SER;1914;1932;1932;1932;3;4;272;1;0;5;0;1146;1914;1932;1999;x
Stefanovic N.;547091;SER;1914;1932;1932;1932;3;4;0;1;0;4;0;1147;1914;1932;1999;x
Solarevic;547092;SER;1914;1932;1932;1932;3;5;0;2;0;4;0;1148;1914;1932;1999;x
Milisavljevic;547093;SER;1914;1932;1932;1932;3;4;0;1;0;4;0;1149;1914;1932;1999;x
Commander;547900;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547901;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547902;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547903;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547904;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547905;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547906;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547907;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547908;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547909;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547910;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547911;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547912;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547913;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547914;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547915;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547916;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547917;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547918;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547919;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547920;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547921;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547922;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547923;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547924;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547925;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547926;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547927;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;547928;SER;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
