Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Belchurkin;503000;CSX;1930;1930;1990;1990;2;2;514;1;0;5;0;L503000;1930;1960;1960;x
Fu Zuoyi;503001;CSX;1930;1930;1942;1990;1;4;128;1;0;3;0;L50085;1930;1960;1960;x
Kernichek;503002;CSX;1930;1990;1990;1990;3;2;1;0;0;5;0;L503002;1930;1960;1960;x
Li Fuying;503003;CSX;1930;1940;1942;1990;2;3;0;2;0;4;0;L50174;1930;1960;1960;x
Peng Ziqin;503004;CSX;1930;1990;1990;1990;3;3;8;0;0;5;0;L503004;1930;1960;1960;x
Rudin;503005;CSX;1930;1990;1990;1990;3;2;128;0;0;5;0;L503005;1930;1960;1960;x
Rymakov;503006;CSX;1930;1990;1990;1990;3;2;256;0;0;5;0;L503006;1930;1960;1960;x
Shang Zhen;503007;CSX;1930;1938;1990;1990;3;2;1;1;0;5;0;L503007;1930;1960;1960;x
Shi Zibo;503008;CSX;1930;1938;1990;1990;2;3;0;1;0;5;0;L503008;1930;1960;1960;x
Dong Qiwu;503009;CSX;1938;1990;1990;1990;3;2;0;0;0;4;0;L50300;1938;1960;1960;x
Wang Jingguo;503010;CSX;1930;1930;1990;1990;2;2;2;0;0;3;0;L50314;1930;1943;1960;x
Yan Xishan;503011;CSX;1930;1930;1938;1940;0;3;2;2;0;5;0;L50348;1930;1960;1960;x
Krolcheff;503012;CSX;1930;1930;1990;1990;2;2;0;0;0;5;1;L503012;1930;1960;1960;x
Rymakov;503013;CSX;1930;1990;1990;1990;3;2;0;0;0;5;1;L503006;1930;1960;1960;x
Yan Xishan;503014;CSX;1930;1930;1938;1990;1;2;0;1;0;5;1;L50348;1930;1960;1960;x
Groszchivili;503015;CSX;1930;1939;1990;1990;2;2;0;1;0;5;2;L503015;1930;1960;1960;x
Piryakin;503016;CSX;1930;1990;1990;1990;3;2;4096;0;0;5;2;L503016;1930;1960;1960;x
Yan Xishan;503017;CSX;1930;1930;1938;1990;1;2;0;1;0;5;2;L50348;1930;1960;1960;x
Streccius;503018;CSX;1930;1930;1990;1990;2;5;4;1;0;5;0;L503018;1930;1944;1960;x
von Döring;503019;CSX;1930;1930;1990;1990;2;3;1;1;0;5;0;L503019;1944;1960;1960;x
Deng Yugui;503021;CSX;1931;1943;1990;1990;3;2;0;1;0;4;0;unknownleader;1931;1967;1999;x
Feng Pengzhu;503022;CSX;1929;1932;1990;1990;2;2;0;1;0;4;0;unknownleader;1929;1944;1999;x
Hou Shouchang;503023;CSX;1931;1937;1990;1990;2;2;0;1;0;4;0;unknownleader;1931;1968;1999;x
Huo Yuanbi;503024;CSX;1929;1937;1990;1990;3;2;0;0;0;4;0;unknownleader;1929;1959;1999;x
Kong Lingxun;503025;CSX;1931;1937;1990;1990;2;3;0;1;0;4;0;6302;1931;1955;1999;x
Kong Lingxun;503026;CSX;1937;1990;1990;1990;2;2;0;1;0;4;2;6302;1937;1955;1999;x
Li Jiansan;503027;CSX;1935;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1935;1970;1999;x
Li Lebin;503028;CSX;1936;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1936;1968;1999;x
Li Runfa;503029;CSX;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1970;1999;x
Li Shengda;503030;CSX;1927;1928;1990;1990;2;4;0;1;0;4;0;unknownleader;1927;1936;1999;x
Li Shimao;503031;CSX;1928;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1928;1967;1999;x
Li Tingxiu;503032;CSX;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1970;1999;x
Liu Guangduo;503033;CSX;1936;1938;1990;1990;3;3;0;1;0;4;0;unknownleader;1936;1966;1999;x
Liu Jiaqing;503034;CSX;1933;1990;1990;1990;3;2;1;0;0;4;0;unknownleader;1933;1953;1999;x
Liu Zhonggan;503035;CSX;1931;1937;1990;1990;3;2;0;1;0;4;0;unknownleader;1931;1989;1999;x
Liu Zongkuan;503036;CSX;1934;1990;1990;1990;3;2;0;0;0;4;0;6303;1934;1992;1999;x
Li Xingzhong;503037;CSX;1937;1939;1990;1990;3;2;0;0;0;4;0;6304;1937;1962;1999;x
Lu Ruji;503038;CSX;1931;1990;1990;1990;3;4;0;1;0;4;0;unknownleader;1931;1976;1999;x
Shi Yanmao;503039;CSX;1933;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1933;1974;1999;x
Tai Shoumin;503040;CSX;1924;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1924;1970;1999;x
Tian Xiuzhang;503041;CSX;1935;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1935;1950;1999;x
Xie Lian;503042;CSX;1926;1936;1990;1990;3;3;0;1;0;4;0;unknownleader;1926;1952;1999;x
Yang Chengyan;503043;CSX;1927;1930;1990;1990;3;2;0;0;0;4;0;unknownleader;1927;1970;1999;x
Yang Shiyuan;503044;CSX;1926;1927;1990;1990;2;2;0;1;0;4;0;unknownleader;1926;1951;1999;x
