Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aphaiwong;100000;SIA;1930;1990;1990;1990;3;4;1;0;0;3;0;L100000;1930;1942;1960;x
Banomyong;100001;SIA;1939;1990;1990;1990;3;4;128;0;0;4;0;L100001;1939;1960;1960;x
Bunyaket;100002;SIA;1944;1990;1990;1990;3;5;16;0;0;2;0;L100002;1944;1960;1960;x
Chitnasongkhla;100003;SIA;1930;1938;1990;1990;2;4;0;1;0;4;0;L100003;1930;1960;1960;x
Huntrakool;100004;SIA;1943;1990;1990;1990;3;4;256;0;0;5;0;L100004;1943;1960;1960;x
Kamlanavin;100005;SIA;1937;1940;1990;1990;2;4;0;1;0;4;0;L100005;1937;1960;1960;x
Khanphialong;100006;SIA;1930;1990;1990;1990;3;5;514;1;0;4;0;L100006;1930;1940;1960;x
Maghaviphulaya;100007;SIA;1930;1930;1990;1990;2;4;0;0;0;4;0;L100007;1930;1942;1960;x
Munsilpa Sinadyodharaksa;100008;SIA;1945;1990;1990;1990;3;4;1;0;0;3;0;L100008;1945;1960;1960;x
Nakrob;100009;SIA;1930;1990;1990;1990;3;5;128;0;0;5;0;L100009;1930;1960;1960;x
Phaholphonphayuhasena;100010;SIA;1938;1943;1990;1990;2;4;2;1;0;4;0;L100010;1938;1960;1960;x
Phamonmontri;100011;SIA;1937;1941;1990;1990;3;5;256;1;0;5;0;L100011;1937;1960;1960;x
Phanomyong;100012;SIA;1942;1944;1946;1990;2;5;2;2;0;4;0;L100012;1942;1960;1960;x
Phibunsongkhram;100013;SIA;1930;1930;1930;1930;0;5;0;1;0;4;0;L100013;1930;1960;1960;x
Phromyothi;100014;SIA;1944;1945;1946;1990;1;5;32;2;0;4;0;L100014;1944;1960;1960;x
Phronalanathai;100015;SIA;1940;1990;1990;1990;3;4;1;0;0;4;0;L100015;1940;1960;1960;x
Punyaketu;100016;SIA;1941;1943;1990;1990;2;4;2;1;0;3;0;L100016;1941;1960;1960;x
Rama Prichulangkorn;100017;SIA;1943;1945;1946;1990;3;5;2;2;0;4;0;L100017;1943;1960;1960;x
Rama VIII;100018;SIA;1930;1930;1930;1990;1;3;0;0;0;5;0;L100018;1930;1942;1960;x
Rangsit;100019;SIA;1930;1930;1990;1990;2;3;0;0;0;5;0;L100019;1930;1960;1960;x
Sampatisiri;100020;SIA;1930;1990;1990;1990;3;4;64;0;0;4;0;L100020;1930;1943;1960;x
Sawatronnachai Sawatdikiat;100021;SIA;1940;1944;1990;1990;3;5;16;1;0;4;0;L100021;1940;1960;1960;x
Shilalongkorn;100022;SIA;1930;1990;1990;1990;3;5;513;1;0;4;0;L100022;1930;1939;1960;x
Suebong;100023;SIA;1945;1990;1990;1990;3;4;4;0;0;4;0;L100023;1945;1960;1960;x
Thishampula;100024;SIA;1938;1941;1990;1990;2;4;2;1;0;4;0;L100024;1938;1960;1960;x
Vechayanrangsarit;100025;SIA;1930;1939;1990;1990;2;4;128;1;0;4;0;L100025;1930;1960;1960;x
