Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Allister;554000;SIE;1930;1990;1990;1990;3;4;4;0;0;5;0;L554000;1930;1960;1960;x
Benji;554001;SIE;1930;1990;1990;1990;3;2;0;0;0;5;0;L554001;1930;1960;1960;x
Hartwell-Symonds;554002;SIE;1930;1940;1990;1990;2;4;2;1;0;5;0;L554002;1930;1960;1960;x
Koblo;554003;SIE;1930;1990;1990;1990;3;2;256;0;0;5;0;L554003;1930;1960;1960;x
Manareh;554004;SIE;1930;1990;1990;1990;3;2;64;0;0;5;0;M554019;1930;1960;1960;x
Mooreshead;554005;SIE;1930;1930;1990;1990;2;4;1;1;0;5;0;M554007;1930;1960;1960;x
Richardson;554006;SIE;1930;1930;1939;1990;2;4;128;1;0;5;0;M554008;1930;1960;1960;x
Soglo;554007;SIE;1930;1990;1990;1990;3;3;16;0;0;5;0;L554007;1930;1960;1960;x
Stephens;554008;SIE;1930;1990;1990;1990;3;2;1;0;0;5;0;M554020;1930;1960;1960;x
Gomersall;554009;SIE;1930;1990;1990;1990;3;4;8192;0;0;5;1;M554009;1930;1960;1960;x
Wurie;554010;SIE;1938;1990;1990;1990;3;2;0;0;0;5;1;M554021;1938;1960;1960;x
Benji;554011;SIE;1930;1990;1990;1990;3;2;4096;0;0;5;2;L554001;1930;1960;1960;x
Koblo;554012;SIE;1930;1990;1990;1990;3;2;16384;0;0;5;2;L554003;1930;1960;1960;x
Stevenson;554013;SIE;1930;1939;1990;1990;2;4;131072;1;0;5;2;M554010;1930;1960;1960;x
Commander;554900;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554901;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554902;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554903;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554904;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554905;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554906;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554907;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554908;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554909;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554910;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554911;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554912;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554913;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554914;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554915;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554916;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554917;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554918;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554919;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554920;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554921;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554922;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554923;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554924;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554925;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554926;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554927;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554928;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554929;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554930;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554931;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554932;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554933;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554934;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554935;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554936;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554937;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554938;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554939;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554940;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554941;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554942;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554943;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554944;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554945;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554946;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554947;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554948;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554949;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554950;SIE;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;554951;SIE;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;554952;SIE;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
