Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abdujohoman;160000;SIK;1930;1930;1990;1990;2;2;0;0;0;4;0;L160000;1930;1943;1960;x
Chang Hsi-liang;160001;SIK;1930;1930;1938;1990;1;2;32;1;0;4;0;L160001;1930;1960;1960;x
Chiang You-fen;160002;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160002;1930;1960;1960;x
Dalerim Khan;160003;SIK;1930;1941;1990;1990;3;3;0;1;0;4;0;L160003;1930;1942;1960;x
Fedyunskij;160004;SIK;1938;1990;1990;1990;3;2;4;0;0;4;0;L160004;1938;1943;1960;x
Ghai;160005;SIK;1940;1990;1990;1990;3;2;2;0;0;4;0;L160005;1940;1960;1960;x
Ghanni Batur;160006;SIK;1930;1990;1990;1990;3;2;16;0;0;4;0;L160006;1930;1944;1960;x
Ha Yu-liang;160007;SIK;1930;1941;1990;1990;3;2;0;1;0;4;0;L160007;1930;1960;1960;x
Hsu You-hsing;160008;SIK;1930;1943;1990;1990;3;2;256;1;0;4;0;L160008;1930;1960;1960;x
Huseinov;160009;SIK;1930;1990;1990;1990;3;2;1;0;0;2;0;L160009;1930;1941;1960;x
Ishakjan Monhakiyev;160010;SIK;1930;1938;1942;1990;2;3;4;2;0;4;0;L160010;1930;1960;1960;x
Kazarian;160011;SIK;1930;1990;1990;1990;3;2;16;0;0;1;0;L160011;1930;1942;1960;x
Liu Cheng-hsin;160012;SIK;1930;1990;1990;1990;3;2;1;0;0;5;0;L160012;1930;1960;1960;x
Liu Pin;160013;SIK;1930;1990;1990;1990;3;2;4;0;0;4;0;L160013;1930;1960;1960;x
Ma Hu-shan;160014;SIK;1930;1930;1990;1990;2;3;4;0;0;1;0;L160014;1930;1941;1960;x
Mahmud;160015;SIK;1930;1930;1930;1990;1;3;2;1;0;1;0;L160015;1930;1944;1960;x
Osman Batur;160016;SIK;1930;1930;1990;1990;2;3;20;1;0;1;0;L160016;1930;1941;1960;x
Pappengut;160017;SIK;1930;1930;1990;1990;2;4;514;1;0;3;0;L160017;1930;1939;1960;x
Polinov;160018;SIK;1930;1941;1990;1990;3;2;4;1;0;3;0;L160018;1930;1944;1960;x
Safiulin;160019;SIK;1930;1930;1990;1990;2;2;4;0;0;4;0;L160019;1930;1942;1960;x
Senungtayev;160020;SIK;1930;1990;1990;1990;3;2;16;0;0;4;0;L160020;1930;1942;1960;x
Seypidin;160021;SIK;1930;1939;1942;1990;2;3;1;2;0;4;0;L160021;1930;1960;1960;x
Shallif Khan;160022;SIK;1930;1930;1990;1990;2;3;64;0;0;2;0;L160022;1930;1943;1960;x
Sheng Shih-chi;160023;SIK;1930;1990;1990;1990;3;2;128;0;0;5;0;L160023;1930;1960;1960;x
Sheng Shih-tsai;160024;SIK;1930;1930;1930;1930;0;2;16;1;0;5;0;L160024;1930;1960;1960;x
Sun Ching-lin;160025;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160025;1930;1960;1960;x
Tang Chih-chuan;160026;SIK;1930;1990;1990;1990;3;2;256;0;0;4;0;L160026;1930;1941;1960;x
Tsui Ying-chun;160027;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160027;1930;1960;1960;x
Wu Hsi-chih;160028;SIK;1930;1990;1990;1990;3;2;128;0;0;4;0;L160028;1930;1960;1960;x
