Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bartos;70000;SLO;1930;1930;1942;1990;2;5;0;1;0;5;0;L70000;1930;1960;1960;x
Bláha;70001;SLO;1930;1930;1944;1990;2;4;0;1;0;3;0;L70001;1930;1960;1960;x
Catlos;70002;SLO;1930;1930;1930;1930;0;5;0;2;0;5;0;L70002;1930;1960;1960;x
Eminger;70003;SLO;1930;1990;1990;1990;3;4;1;0;0;4;0;L70003;1930;1960;1960;x
Golian;70004;SLO;1930;1930;1930;1990;1;5;4;1;0;3;0;L70004;1930;1960;1960;x
Gruber;70005;SLO;1945;1947;1990;1990;3;6;0;1;0;3;0;L70005;1945;1960;1960;x
Jurech;70006;SLO;1930;1930;1943;1990;2;5;128;1;0;3;0;L70006;1930;1960;1960;x
Kubela;70007;SLO;1930;1945;1990;1990;3;5;0;1;0;4;0;L70007;1930;1960;1960;x
Kuna;70008;SLO;1944;1990;1990;1990;3;5;128;0;0;5;0;L70008;1944;1960;1960;x
Lendvay;70009;SLO;1941;1945;1990;1990;3;4;0;1;0;4;0;L70009;1941;1960;1960;x
Malar;70010;SLO;1930;1930;1944;1990;2;6;0;2;0;5;0;L70010;1930;1960;1960;x
Pilfousek;70011;SLO;1938;1990;1990;1990;3;6;0;0;0;4;0;L70011;1938;1960;1960;x
Rychtrmoc;70012;SLO;1930;1930;1990;1990;2;5;0;0;0;5;0;L70012;1930;1960;1960;x
Sidor;70013;SLO;1941;1990;1990;1990;3;4;0;0;0;5;0;L70013;1941;1960;1960;x
Stefanik;70014;SLO;1930;1990;1990;1990;3;4;1;0;0;5;0;L70014;1930;1944;1960;x
Svoboda;70015;SLO;1944;1945;1946;1947;1;7;4;3;0;5;0;L70015;1944;1960;1960;x
Turanec;70016;SLO;1930;1942;1990;1990;3;6;0;2;0;4;0;L70016;1930;1960;1960;x
Kubela;70017;SLO;1930;1945;1990;1990;2;5;0;0;0;4;1;L70017;1939;1960;1960;x
Lendvay;70018;SLO;1941;1990;1990;1990;3;4;0;0;0;4;1;L70018;1941;1960;1960;x
Hanovac;70019;SLO;1939;1990;1990;1990;3;4;0;0;0;5;2;L70019;1939;1960;1960;x
Kovarik;70020;SLO;1930;1990;1990;1990;3;5;0;0;0;5;2;L70020;1930;1944;1960;x
Kukacsza;70021;SLO;1945;1990;1990;1990;3;4;0;0;0;5;2;L70021;1945;1960;1960;x
Mezlar;70022;SLO;1945;1990;1990;1990;3;4;0;0;0;5;2;L70022;1945;1960;1960;x
Pulanick;70023;SLO;1930;1930;1990;1990;2;5;0;0;0;4;2;L70023;1930;1960;1960;x
Reznak;70024;SLO;1940;1990;1990;1990;3;4;4096;0;0;4;2;L70024;1940;1960;1960;x
Snejdarek;70025;SLO;1930;1930;1930;1990;1;6;516;1;0;5;0;L70025;1930;1960;1960;x
Sadek;70026;SLO;1945;1990;1990;1990;3;6;16;0;0;5;0;L70026;1945;1960;1960;x
Nosko;70027;SLO;1945;1945;1990;1990;2;5;4;1;0;5;0;L70027;1945;1960;1960;x
Commander;70900;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70901;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70902;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70903;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70904;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70905;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70906;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70907;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70908;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70909;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70910;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70911;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70912;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70913;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70914;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70915;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70916;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70917;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70918;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70919;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70920;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70921;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70922;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70923;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70924;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70925;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70926;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70927;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70928;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70929;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70930;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70931;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70932;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70933;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70934;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70935;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70936;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70937;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70938;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70939;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70940;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70941;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70942;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70943;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70944;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70945;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70946;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70947;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70948;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70949;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70950;SLO;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;70951;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70952;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70953;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70954;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70955;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70956;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70957;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70958;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70959;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70960;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70961;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70962;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70963;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70964;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70965;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70966;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70967;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70968;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70969;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70970;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70971;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70972;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70973;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70974;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70975;SLO;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;70976;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70977;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70978;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70979;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70980;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70981;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70982;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70983;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70984;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70985;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70986;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70987;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70988;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70989;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70990;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70991;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70992;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70993;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70994;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70995;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70996;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70997;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70998;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;70999;SLO;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
