Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Asmus;545000;SLV;1930;1930;1990;1990;2;2;0;0;0;5;0;L545000;1939;1960;1960;x
Brosch von Aarenau;545001;SLV;1930;1990;1990;1990;3;3;32;0;0;5;0;M545029;1930;1960;1960;x
Dankl;545002;SLV;1930;1930;1990;1990;2;4;576;1;0;5;0;L545002;1930;1943;1960;x
Dauber;545003;SLV;1939;1990;1990;1990;3;4;640;1;0;5;0;L545003;1939;1945;1960;x
Deckmann;545004;SLV;1940;1990;1990;1990;3;3;256;0;0;5;0;L545004;1940;1960;1960;x
Deutsch;545005;SLV;1939;1943;1990;1990;2;4;128;1;0;5;0;L545005;1939;1946;1960;x
Fässig;545006;SLV;1939;1990;1990;1990;3;3;32;0;0;5;0;L545006;1939;1946;1960;x
Geis;545007;SLV;1940;1990;1990;1990;3;3;32;0;0;5;0;L545007;1940;1960;1960;x
Grüner;545008;SLV;1942;1990;1990;1990;3;3;64;0;0;5;0;L545008;1942;1960;1960;x
Götl;545009;SLV;1930;1930;1930;1990;1;4;528;1;0;5;0;L545009;1930;1943;1960;x
Herbst;545010;SLV;1941;1990;1990;1990;3;3;2;0;0;5;0;L545010;1941;1960;1960;x
Hochbaum;545011;SLV;1941;1990;1990;1990;3;4;8;0;0;5;0;L545011;1941;1947;1960;x
Hohmeyer;545012;SLV;1941;1990;1990;1990;3;3;128;0;0;5;0;L545012;1941;1960;1960;x
Karl;545013;SLV;1939;1990;1990;1990;3;4;0;0;0;5;0;L545013;1939;1946;1960;x
Kövess;545014;SLV;1930;1930;1930;1990;1;4;0;1;0;5;0;M545008;1930;1960;1960;x
Lang;545015;SLV;1930;1990;1990;1990;3;3;2;0;0;5;0;M545030;1930;1960;1960;x
Putz;545016;SLV;1930;1930;1990;1990;2;3;8;0;0;5;0;L545016;1930;1960;1960;x
Scheffler;545017;SLV;1930;1941;1990;1990;2;4;8;1;0;5;0;L545017;1930;1960;1960;x
Stupka;545018;SLV;1930;1930;1990;1990;2;2;2;1;0;5;0;M545007;1930;1960;1960;x
von Bernuth;545019;SLV;1942;1990;1990;1990;3;3;4;0;0;5;0;L545019;1942;1960;1960;x
von Brasseur;545020;SLV;1930;1930;1930;1990;1;2;2;1;0;5;0;M545013;1930;1960;1960;x
von Fuchs;545021;SLV;1939;1990;1990;1990;3;2;514;1;0;5;0;L545021;1939;1945;1960;x
von Groddeck;545022;SLV;1940;1990;1990;1990;3;3;1;0;0;5;0;L545022;1940;1960;1960;x
von Gusovius;545023;SLV;1939;1990;1990;1990;3;4;513;1;0;5;0;L545023;1939;1946;1960;x
von Handel-Mazetti;545024;SLV;1930;1940;1990;1990;2;4;256;1;0;5;0;L545024;1930;1960;1960;x
von Hospdarz;545025;SLV;1930;1930;1930;1930;0;2;0;1;0;5;0;M545001;1930;1960;1960;x
von Jacobs;545026;SLV;1930;1942;1990;1990;2;4;0;1;0;5;0;M545031;1930;1990;1990;x
von Straussenburg;545027;SLV;1930;1930;1930;1990;1;4;516;1;0;5;0;M545011;1930;1960;1960;x
von Ulm;545028;SLV;1930;1930;1990;1990;2;3;1;1;0;5;0;M545028;1930;1960;1960;x
zu Dohna-Schlobitten;545029;SLV;1940;1990;1990;1990;3;3;64;0;0;5;0;L545029;1940;1960;1960;x
Casati;545030;SLV;1930;1990;1990;1990;3;2;0;0;0;5;1;M545010;1930;1960;1960;x
Dannecker;545031;SLV;1930;1930;1990;1990;2;3;4096;1;0;5;1;M545032;1930;1960;1960;x
Homberth;545032;SLV;1930;1930;1990;1990;2;2;4096;0;0;5;1;M545009;1930;1960;1960;x
Imperl;545033;SLV;1930;1990;1990;1990;3;4;1536;0;0;5;1;M545033;1930;1960;1960;x
Casati;545034;SLV;1930;1990;1990;1990;3;3;0;0;0;5;2;M545010;1930;1960;1960;x
Cäsar;545035;SLV;1930;1990;1990;1990;3;2;0;0;0;5;2;L545035;1930;1960;1960;x
Mazal;545036;SLV;1930;1990;1990;1990;3;4;4096;0;0;5;2;M545035;1930;1960;1960;x
von Kodolitsch;545037;SLV;1930;1930;1990;1990;2;3;16384;1;0;5;2;M545034;1930;1960;1960;x
Commander;545900;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545901;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545902;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545903;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545904;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545905;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545906;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545907;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545908;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545909;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545910;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545911;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545912;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545913;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545914;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545915;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545916;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545917;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545918;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545919;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545920;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545921;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545922;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545923;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545924;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545925;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545926;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545927;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545928;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545929;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545930;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545931;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545932;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545933;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545934;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545935;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545936;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545937;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545938;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545939;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545940;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545941;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545942;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545943;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545944;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545945;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545946;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545947;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545948;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545949;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545950;SLV;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;545951;SLV;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;545952;SLV;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;545953;SLV;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;545954;SLV;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;545955;SLV;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;545956;SLV;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;545957;SLV;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;545958;SLV;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;545959;SLV;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
