Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Agosti;508000;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508000;1943;1960;1960;x
Agostini;508001;RSI;1943;1990;1990;1990;3;3;16;0;0;5;0;L508001;1943;1960;1960;x
Albera;508002;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508002;1943;1960;1960;x
Arioli;508003;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508003;1943;1960;1960;x
Bader;508004;RSI;1943;1990;1990;1990;3;4;0;0;0;5;0;L508004;1943;1960;1960;x
Babel;508005;RSI;1943;1990;1990;1990;3;4;64;0;0;5;0;L508005;1943;1960;1960;x
Barde;508006;RSI;1943;1990;1990;1990;3;4;0;0;0;5;0;L508006;1943;1960;1960;x
Betzel;508007;RSI;1943;1945;1990;1990;2;5;2;1;0;5;0;L508007;1943;1960;1960;x
Borghese;508008;RSI;1942;1990;1990;1990;3;7;1024;3;0;5;1;L6029;1942;1960;1960;x
Bortolotto;508009;RSI;1943;1990;1990;1990;3;3;0;0;0;5;0;L508009;1943;1960;1960;x
Breithaupt;508010;RSI;1942;1990;1990;1990;3;4;64;0;0;5;0;L508010;1942;1947;1960;x
Brufani;508011;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508011;1943;1960;1960;x
Bruno;508012;RSI;1941;1990;1990;1990;3;2;2;0;0;4;0;L6031;1941;1960;1960;x
Calzolari;508013;RSI;1942;1990;1990;1990;3;3;0;0;0;5;0;L508013;1943;1960;1960;x
Carloni;508014;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508014;1943;1960;1960;x
Carsiviglia;508015;RSI;1943;1990;1990;1990;3;5;256;0;0;5;0;L508015;1943;1960;1960;x
Crimi;508016;RSI;1930;1990;1990;1990;3;3;0;0;0;2;0;L6250;1930;1945;1960;x
D'Oro;508017;RSI;1930;1990;1990;1990;2;3;0;1;0;5;0;L6251;1930;1960;1960;x
de Cia;508018;RSI;1940;1943;1990;1990;3;4;264;1;0;5;0;L6057;1940;1960;1960;x
del Giudice;508019;RSI;1941;1943;1990;1990;2;4;1;1;0;5;0;L6253;1941;1960;1960;x
Dürrstein;508020;RSI;1943;1990;1990;1990;3;3;0;1;0;5;0;L508020;1943;1960;1960;x
Esposito;508021;RSI;1930;1943;1990;1990;2;5;256;1;0;3;0;L6065;1930;1960;1960;x
Fanfani;508022;RSI;1943;1990;1990;1990;3;6;256;1;0;5;0;L508022;1943;1960;1960;x
Farina;508023;RSI;1944;1945;1990;1990;3;4;0;1;0;5;0;L508023;1944;1960;1960;x
Filippani Ronconi;508024;RSI;1944;1990;1990;1990;3;5;4;0;0;5;0;L508024;1944;1960;1960;x
Gambara;508025;RSI;1930;1930;1942;1990;2;6;8;2;0;5;0;L6074;1930;1960;1960;x
Giugni;508026;RSI;1943;1990;1990;1990;3;3;0;0;0;5;0;L508026;1943;1960;1960;x
Gonell;508027;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508027;1943;1960;1960;x
Graziani;508028;RSI;1930;1930;1930;1937;0;5;5;2;0;5;0;L508028;1930;1960;1960;x
Heisig;508029;RSI;1943;1990;1990;1990;3;4;32;0;0;5;0;L508029;1943;1960;1960;x
Heldmann;508030;RSI;1939;1990;1990;1990;3;5;4;0;0;5;0;L508030;1939;1960;1960;x
Hintz;508031;RSI;1943;1990;1990;1990;3;4;64;0;0;5;0;L508031;1943;1960;1960;x
Hufenbach;508032;RSI;1943;1960;1990;1990;3;4;2;0;0;5;0;L508032;1943;1960;1960;x
Hundt;508033;RSI;1942;1943;1990;1990;2;5;128;1;0;5;0;L508033;1944;1960;1960;x
Hölz;508034;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508034;1943;1960;1960;x
Leonardi;508035;RSI;1939;1990;1990;1990;3;2;0;1;0;5;0;L6262;1939;1960;1960;x
Marino;508036;RSI;1944;1990;1990;1990;3;2;0;0;0;5;0;L508036;1944;1960;1960;x
Melchiore;508037;RSI;1930;1930;1990;1990;2;3;0;1;0;5;0;L508037;1943;1960;1960;x
