Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Armstrong;450000;SAF;1940;1990;1990;1990;3;5;1;1;0;5;0;L450000;1940;1960;1960;x
Bester;450001;SAF;1945;1990;1990;1990;3;5;1;1;0;5;0;L450001;1945;1960;1960;x
Beyers;450002;SAF;1930;1930;1940;1990;1;6;513;2;0;5;0;L450002;1930;1945;1960;x
Borain;450003;SAF;1940;1990;1990;1990;3;4;0;1;0;5;0;L450003;1940;1943;1960;x
Botha;450004;SAF;1940;1942;1990;1990;2;6;128;2;0;5;0;L450004;1940;1960;1960;x
Brink  A.J.E.;450005;SAF;1930;1930;1930;1990;1;7;768;2;0;5;0;L450005;1930;1946;1960;x
Brink  G.E.;450006;SAF;1939;1941;1946;1990;2;6;1;3;0;5;0;L450006;1939;1960;1960;x
Buchanan;450007;SAF;1940;1990;1990;1990;3;4;0;1;0;5;0;L450007;1940;1942;1960;x
Cooper;450008;SAF;1938;1990;1990;1990;3;5;4;1;0;5;0;L450008;1938;1942;1960;x
de Villiers;450009;SAF;1939;1943;1990;1990;3;5;2;2;0;5;0;L450009;1939;1946;1960;x
de Weenburg du Toit;450010;SAF;1942;1946;1990;1990;3;7;128;2;0;5;0;L450010;1942;1960;1960;x
Furstenburg;450011;SAF;1940;1946;1990;1990;3;6;128;2;0;5;0;L450011;1940;1960;1960;x
Gilbert;450012;SAF;1944;1990;1990;1990;3;5;256;1;0;5;0;L450012;1944;1946;1960;x
Hartshorn;450013;SAF;1942;1990;1990;1990;3;4;0;1;0;4;0;L450013;1942;1945;1960;x
Hayton;450014;SAF;1941;1990;1990;1990;3;5;1;1;0;5;0;L450014;1941;1944;1960;x
Hoare;450015;SAF;1930;1930;1990;1990;2;5;514;1;0;5;0;L450015;1930;1938;1960;x
Johnston-Collyer;450016;SAF;1930;1930;1990;1990;2;6;514;1;0;5;0;L450016;1930;1941;1960;x
Klopper;450017;SAF;1942;1944;1946;1990;2;5;4;3;0;5;0;L450017;1942;1960;1960;x
Kriegler;450018;SAF;1941;1990;1990;1990;3;5;4;1;0;5;0;L450018;1941;1943;1960;x
Mitchell-Baker;450019;SAF;1930;1930;1990;1990;2;4;513;1;0;5;0;L450019;1930;1945;1960;x
Newton-King;450020;SAF;1943;1990;1990;1990;3;6;128;1;0;5;0;L450020;1943;1960;1960;x
Palmer;450021;SAF;1942;1945;1990;1990;3;6;1;2;0;5;0;L450021;1942;1960;1960;x
Pienaar;450022;SAF;1938;1990;1990;1990;3;5;4;1;0;5;0;L450022;1938;1942;1960;x
Poole;450023;SAF;1939;1943;1990;1990;2;7;128;2;0;5;0;L450023;1939;1960;1960;x
Ray;450024;SAF;1942;1945;1990;1990;3;6;32;2;0;5;0;L450024;1942;1960;1960;x
Senescall;450025;SAF;1942;1990;1990;1990;3;5;129;1;0;5;0;L450025;1942;1946;1960;x
Smuts;450026;SAF;1930;1930;1930;1930;0;7;772;3;0;5;0;L450026;1930;1960;1960;x
Theron;450027;SAF;1930;1940;1943;1990;1;7;4;2;0;5;0;L450027;1930;1960;1960;x
Thompson;450028;SAF;1944;1990;1990;1990;3;4;0;1;0;5;0;L450028;1944;1960;1960;x
van Blankenroode;450029;SAF;1942;1990;1990;1990;3;6;257;2;0;5;0;L450029;1942;1946;1960;x
van der Spuy;450030;SAF;1941;1945;1990;1990;3;5;0;2;0;5;0;L450030;1941;1947;1960;x
Wakefield;450031;SAF;1930;1930;1990;1990;2;5;513;1;0;5;0;L450031;1930;1939;1960;x
Breedt;450032;SAF;1943;1990;1990;1990;3;5;1024;1;0;5;1;L450032;1943;1960;1960;x
Davis;450033;SAF;1930;1940;1990;1990;2;6;2048;2;0;5;1;L450033;1930;1944;1960;x
de la Tourier;450034;SAF;1944;1947;1990;1990;3;5;0;2;0;5;1;L450034;1944;1960;1960;x
Groenenwald;450035;SAF;1943;1946;1990;1990;3;5;0;2;0;5;1;L450035;1943;1960;1960;x
Oliver-Knoll;450036;SAF;1930;1930;1939;1990;1;6;2048;2;0;5;1;L450036;1930;1946;1960;x
van Osterkemp;450037;SAF;1941;1990;1990;1990;3;5;0;1;0;5;1;L450037;1941;1943;1960;x
van den Huizenklopper;450038;SAF;1943;1946;1990;1990;3;5;0;2;0;5;1;L450038;1943;1960;1960;x
van Zuigenbrogge;450039;SAF;1940;1944;1990;1990;3;6;1024;2;0;5;1;L450039;1940;1960;1960;x
Frost;450040;SAF;1942;1990;1990;1990;3;6;32768;1;0;5;2;L450040;1942;1946;1960;x
Larsen;450041;SAF;1945;1990;1990;1990;3;4;0;1;0;5;2;L450041;1945;1960;1960;x
Le Roux;450042;SAF;1940;1990;1990;1990;3;5;16384;1;0;5;2;L450042;1940;1960;1960;x
Malan;450043;SAF;1941;1945;1990;1990;3;6;4096;2;0;5;2;L450043;1941;1960;1960;x
Reynolds;450044;SAF;1942;1944;1947;1990;3;5;0;3;0;5;2;L450044;1942;1960;1960;x
St.John Pattle;450045;SAF;1940;1990;1990;1990;3;6;4096;1;0;5;2;L450045;1940;1946;1960;x
van der Spuy;450046;SAF;1941;1945;1990;1990;3;5;0;2;0;5;2;L450046;1941;1947;1960;x
van Osterkemp;450047;SAF;1945;1990;1990;1990;3;5;131072;1;0;5;2;L450047;1945;1960;1960;x
Venter;450048;SAF;1930;1940;1990;1990;2;6;0;2;0;5;2;L450048;1930;1946;1960;x
van Ryneveld;450049;SAF;1930;1930;1938;1990;1;6;0;3;0;5;2;L450049;1930;1960;1960;x
Botha L.;450051;SAF;1897;1900;1902;1932;1;6;16;2;15;5;0;1162;1897;1932;1999;x
Lukin;450052;SAF;1908;1932;1932;1932;3;5;0;2;0;4;0;1163;1908;1932;1999;x
Smuts J.C.;450053;SAF;1901;1915;1917;1932;1;7;0;2;10;4;0;1164;1901;1932;1999;x
Van Deventer;450054;SAF;1902;1916;1932;1932;2;6;16;2;0;3;0;7751;1902;1932;1999;x
Wallace;450055;SAF;1912;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1912;1932;1999;x
Brink A.J.E.;450056;SAF;1908;1915;1932;1932;2;5;0;2;0;5;0;1165;1908;1932;1999;x
Quintin-Brand;450057;SAF;1912;1932;1932;1932;3;3;0;0;0;5;2;1166;1912;1932;1999;x
Beauchamp-Proctor;450058;SAF;1912;1932;1932;1932;3;3;0;0;0;5;2;1167;1912;1932;1999;x
Brits;450059;SAF;1901;1932;1932;1932;3;5;512;2;0;5;0;unknownleader;1901;1932;1999;x
Delarey;450060;SAF;1897;1901;1932;1932;3;6;16;3;15;3;0;1168;1897;1932;1999;x
Maritz;450061;SAF;1901;1932;1932;1932;3;6;16;3;15;3;0;1169;1901;1932;1999;x
Fourie;450062;SAF;1897;1932;1932;1932;3;5;0;2;15;5;0;7750;1897;1932;1999;x
de Wet;450063;SAF;1897;1901;1932;1932;2;7;16;4;15;3;0;1170;1897;1932;1999;x
Kemp;450064;SAF;1900;1932;1932;1932;3;5;0;2;10;3;0;7752;1908;1932;1999;x
Commander;4500900;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500901;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500902;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500903;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500904;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500905;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500906;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500907;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500908;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500909;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500910;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500911;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500912;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500913;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500914;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500915;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500916;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500917;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500918;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500919;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500920;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500921;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500922;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500923;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500924;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500925;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500926;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500927;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500928;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500929;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500930;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500931;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500932;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500933;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500934;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500935;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500936;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500937;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500938;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500939;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500940;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500941;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500942;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500943;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500944;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500945;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500946;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500947;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500948;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500949;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500950;SAF;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;4500951;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;4500952;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;4500953;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;4500954;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;4500955;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;4500956;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;4500957;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;4500958;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;4500959;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;4500960;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;4500961;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;4500962;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;4500963;SAF;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
