Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abboud;555000;SUD;1940;1943;1990;1990;2;3;1;1;0;5;0;M555030;1940;1960;1960;x
Bennett;555001;SUD;1939;1943;1990;1990;2;4;128;1;0;5;0;M555032;1939;1960;1960;x
Campbell;555002;SUD;1930;1990;1990;1990;3;3;2;0;0;5;0;L555002;1930;1960;1960;x
Craddock;555003;SUD;1930;1940;1943;1990;1;5;0;2;0;5;0;M555031;1930;1960;1960;x
Drummond Burton;555004;SUD;1939;1942;1990;1990;2;4;4;1;0;5;0;M555029;1939;1960;1960;x
Duffield Wright;555005;SUD;1930;1990;1990;1990;3;3;0;0;0;5;0;L555005;1930;1942;1960;x
Fitzclarence;555006;SUD;1930;1990;1990;1990;3;3;64;0;0;5;0;L555006;1930;1944;1960;x
Flemming-Sanders;555007;SUD;1930;1990;1990;1990;3;4;128;0;0;5;0;L555007;1930;1945;1960;x
Harris;555008;SUD;1930;1990;1990;1990;3;3;32;0;0;5;0;L555008;1930;1943;1960;x
Horwood;555009;SUD;1939;1990;1990;1990;3;4;256;0;0;5;0;L555009;1939;1960;1960;x
Lynch;555010;SUD;1930;1990;1990;1990;3;6;528;1;0;5;0;L555010;1930;1942;1960;x
Nimeri;555011;SUD;1945;1990;1990;1990;3;3;64;0;0;5;0;L555011;1945;1960;1960;x
Norman;555012;SUD;1930;1940;1990;1990;2;4;64;1;0;5;0;M555007;1930;1960;1960;x
Prendergast;555013;SUD;1930;1990;1990;1990;3;4;1;0;0;5;0;L555013;1930;1945;1960;x
Siwar al-Dhab;555014;SUD;1945;1990;1990;1990;3;2;1;0;0;5;0;L555014;1945;1960;1960;x
Stewart-Symes;555015;SUD;1930;1930;1930;1990;1;4;2;1;0;5;0;M555001;1930;1943;1960;x
Claydon;555016;SUD;1939;1990;1990;1990;3;3;2048;0;0;5;1;L310014;1939;1960;1960;x
Collins;555017;SUD;1930;1940;1990;1990;2;4;0;1;0;5;1;L410013;1930;1946;1960;x
Palliser;555018;SUD;1938;1990;1990;1990;3;5;1024;0;0;5;1;L1377;1938;1960;1960;x
Trelawny;555019;SUD;1930;1939;1990;1990;2;4;4096;1;0;5;1;L320016;1930;1960;1960;x
Bushell;555020;SUD;1938;1990;1990;1990;3;3;0;0;0;5;2;L555020;1938;1990;1990;x
Harris;555021;SUD;1940;1990;1990;1990;3;3;131072;0;0;5;2;L555021;1940;1960;1960;x
Horwood;555022;SUD;1939;1990;1990;1990;3;3;4096;0;0;5;2;L555009;1939;1960;1960;x
Robertson;555023;SUD;1930;1939;1990;1990;2;4;16384;1;0;5;2;M555010;1930;1960;1960;x
Rowland-Roupell;555024;SUD;1930;1940;1990;1990;2;4;0;1;0;5;2;L555024;1930;1960;1960;x
Commander;555900;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555901;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555902;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555903;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555904;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555905;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555906;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555907;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555908;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555909;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555910;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555911;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555912;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555913;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555914;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555915;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555916;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555917;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555918;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555919;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555920;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555921;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555922;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555923;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555924;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555925;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555926;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555927;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555928;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555929;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555930;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555931;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555932;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555933;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555934;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555935;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555936;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555937;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555938;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555939;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555940;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555941;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555942;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555943;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555944;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555945;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555946;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555947;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555948;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555949;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555950;SUD;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;555951;SUD;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;555952;SUD;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;555953;SUD;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;555954;SUD;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;555955;SUD;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;555956;SUD;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
