Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abrash;528000;SYR;1942;1990;1990;1990;3;2;0;0;0;5;0;M528054;1942;1960;1960;x
al-Aslan;528001;SYR;1943;1990;1990;1990;3;2;0;0;0;5;0;L528001;1943;1960;1960;x
al-Fiqri;528002;SYR;1943;1990;1990;1990;3;2;16;0;0;5;0;L528002;1943;1960;1960;x
al-Gawzi;528003;SYR;1930;1930;1930;1990;1;3;576;1;0;5;0;M528024;1930;1946;1960;x
al-Quawugji;528004;SYR;1930;1943;1990;1990;2;2;2;1;0;5;0;M528049;1930;1960;1960;x
al-Shishakli;528005;SYR;1937;1942;1945;1990;2;3;0;2;0;5;0;M528051;1937;1960;1960;x
al-Zaim;528006;SYR;1930;1942;1945;1990;2;3;0;2;0;5;0;M528047;1930;1949;1960;x
Amiel;528007;SYR;1930;1941;1944;1990;2;5;128;2;0;5;0;M528007;1930;1960;1960;x
Ballarin;528008;SYR;1930;1943;1990;1990;2;4;1;1;0;5;0;L528008;1930;1960;1960;x
Cambas;528009;SYR;1941;1990;1990;1990;3;5;1;0;0;5;0;M528046;1941;1960;1960;x
Carré de Lusancay;528010;SYR;1930;1939;1990;1990;2;5;1;1;0;5;0;M528009;1930;1960;1960;x
Catroux;528011;SYR;1930;1930;1930;1990;1;4;4;1;0;5;0;L24029;1930;1945;1960;x
Chakour;528012;SYR;1939;1944;1990;1990;2;2;2;1;0;5;0;L528012;1939;1960;1960;x
Chenailler;528013;SYR;1938;1942;1990;1990;2;4;256;1;0;5;0;L528013;1938;1960;1960;x
Duperier;528014;SYR;1930;1944;1990;1990;2;3;32;1;0;5;0;M528052;1930;1960;1960;x
Genin;528015;SYR;1930;1990;1990;1990;3;4;32;0;0;5;0;L528015;1930;1942;1960;x
Jourdier;528016;SYR;1942;1990;1990;1990;3;3;0;0;0;5;0;L528016;1942;1960;1960;x
Mangin;528017;SYR;1940;1990;1990;1990;3;3;4;0;0;5;0;L528017;1940;1960;1960;x
Morel-Delville;528018;SYR;1939;1943;1990;1990;2;4;128;1;0;5;0;L528018;1939;1960;1960;x
Puaux;528019;SYR;1930;1930;1990;1990;2;2;128;0;0;5;0;M528008;1930;1945;1960;x
Salvat;528020;SYR;1938;1940;1943;1990;2;3;0;2;0;5;0;M528036;1938;1960;1960;x
Sharba;528021;SYR;1943;1990;1990;1990;3;2;1;0;0;5;0;L528021;1943;1960;1960;x
Stahl;528022;SYR;1939;1990;1990;1990;3;4;256;0;0;5;0;L528022;1939;1960;1960;x
Tourkmani;528023;SYR;1944;1990;1990;1990;3;2;128;0;0;5;0;L528023;1944;1960;1960;x
Verheust;528024;SYR;1930;1990;1990;1990;3;5;257;0;0;5;0;L528024;1930;1960;1960;x
Abrash;528025;SYR;1942;1945;1990;1990;2;2;0;1;0;5;1;M528054;1942;1960;1960;x
al-Gawzi;528026;SYR;1930;1930;1930;1990;1;1;8704;0;0;5;1;M528024;1930;1946;1960;x
Carré de Lusancay;528027;SYR;1930;1990;1990;1990;3;2;0;0;0;5;1;M528009;1930;1960;1960;x
al-Shishakli;528028;SYR;1937;1942;1990;1990;2;2;0;1;0;5;2;M528051;1937;1960;1960;x
Amiel;528029;SYR;1930;1941;1990;1990;2;2;16384;1;0;5;2;M528007;1930;1960;1960;x
Coudray;528030;SYR;1930;1990;1990;1990;3;3;131072;0;0;5;2;M528010;1930;1942;1960;x
Duperier;528031;SYR;1930;1990;1990;1990;3;3;4096;0;0;5;2;M528052;1930;1960;1960;x
Jean;528032;SYR;1941;1943;1946;1990;1;5;0;2;0;5;2;L528032;1941;1960;1960;x
Johani;528033;SYR;1944;1990;1990;1990;3;2;0;0;0;5;2;L528033;1944;1960;1960;x
Silu;528034;SYR;1943;1946;1950;1990;1;4;2;2;0;5;0;M528061;1943;1960;1960;x
Hinnawi;528035;SYR;1942;1944;1990;1990;2;3;1;1;0;5;0;M528076;1942;1950;1960;x
al Razi;528036;SYR;1948;1951;1990;1990;2;2;0;1;0;5;2;M528077;1948;1960;1960;x
Commander;528900;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528901;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528902;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528903;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528904;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528905;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528906;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528907;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528908;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528909;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528910;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528911;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528912;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528913;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528914;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528915;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528916;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528917;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528918;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528919;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528920;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528921;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528922;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528923;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528924;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528925;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528926;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528927;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528928;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528929;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528930;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528931;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528932;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528933;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528934;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528935;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528936;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528937;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528938;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528939;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528940;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528941;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528942;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528943;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528944;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528945;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528946;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528947;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528948;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528949;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528950;SYR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;528951;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528952;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528953;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528954;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528955;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528956;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528957;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528958;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528959;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528960;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528961;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528962;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528963;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528964;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528965;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528966;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528967;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528968;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528969;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528970;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528971;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528972;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528973;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528974;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528975;SYR;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;528976;SYR;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;528977;SYR;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;528978;SYR;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;528979;SYR;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;528980;SYR;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;528981;SYR;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;528982;SYR;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
