Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Anger;524000;TAJ;1930;1990;1990;1990;3;3;128;0;0;5;0;L524000;1930;1960;1960;x
Baumgartner;524001;TAJ;1930;1990;1990;1990;3;3;256;0;0;5;0;L524001;1930;1960;1960;x
Ebner;524002;TAJ;1930;1990;1990;1990;3;3;32;0;0;5;0;L524002;1930;1960;1960;x
Friedrichs;524003;TAJ;1939;1990;1990;1990;3;5;128;0;0;5;0;L524003;1939;1960;1960;x
Gafurov;524004;TAJ;1930;1930;1940;1990;1;3;64;1;0;5;0;M524007;1930;1960;1960;x
Hoffmann;524005;TAJ;1930;1930;1941;1990;2;3;2;2;0;5;0;L524005;1930;1960;1960;x
Kazachestevo;524006;TAJ;1930;1939;1941;1990;2;4;9;2;0;5;0;M524041;1930;1960;1960;x
Kolb;524007;TAJ;1930;1941;1990;1990;2;3;2;1;0;5;0;L524007;1930;1960;1960;x
Kuttig;524008;TAJ;1930;1990;1990;1990;3;3;4;0;0;5;0;L524008;1930;1960;1960;x
Perminov;524009;TAJ;1930;1943;1990;1990;3;4;9;1;0;5;0;M524039;1930;1960;1960;x
Proskuriakov;524010;TAJ;1930;1930;1930;1990;1;3;8;1;0;5;0;M524042;1930;1960;1960;x
Protopopov;524011;TAJ;1930;1930;1941;1990;1;4;4;1;0;5;0;M524008;1930;1960;1960;x
Provotvorov;524012;TAJ;1930;1930;1943;1990;2;3;8;1;0;5;0;M524038;1930;1960;1960;x
Richter;524013;TAJ;1930;1941;1944;1990;2;3;2;3;0;5;0;L524013;1930;1960;1960;x
Shpigun;524014;TAJ;1930;1990;1990;1990;3;2;8;0;0;5;0;L524014;1930;1960;1960;x
Sinaiski;524015;TAJ;1930;1990;1990;1990;3;3;256;0;0;5;0;M524044;1930;1960;1960;x
Starikovich;524016;TAJ;1930;1990;1990;1990;3;2;0;0;0;5;0;L524016;1930;1960;1960;x
Teschner;524017;TAJ;1930;1990;1990;1990;3;3;32;0;0;5;0;L524017;1930;1960;1960;x
von Ammon;524018;TAJ;1930;1990;1990;1990;3;4;32;0;0;5;0;L524018;1930;1960;1960;x
von Behr;524019;TAJ;1930;1990;1990;1990;3;2;0;0;0;5;0;L524019;1930;1960;1960;x
von der Schulenburg;524020;TAJ;1930;1990;1990;1990;3;2;0;0;0;5;0;L524020;1930;1960;1960;x
von Renz;524021;TAJ;1930;1939;1941;1990;1;3;2;2;0;5;0;L524021;1930;1960;1960;x
Ryndenko;524022;TAJ;1930;1941;1990;1990;3;2;1024;1;0;5;1;M524009;1930;1960;1960;x
Sinaiski;524023;TAJ;1930;1990;1990;1990;3;2;4096;1;0;5;1;M524044;1930;1960;1960;x
Telasnikov;524024;TAJ;1930;1990;1990;1990;3;2;0;0;0;5;1;L524024;1930;1960;1960;x
Ushurov;524025;TAJ;1930;1930;1942;1990;2;3;0;1;0;5;1;M524003;1930;1960;1960;x
Barsukov;524026;TAJ;1930;1930;1942;1990;1;4;65536;1;0;5;2;M524010;1930;1960;1960;x
Ryndenko;524027;TAJ;1930;1943;1990;1990;2;3;8192;1;0;5;2;M524009;1930;1960;1960;x
Siess;524028;TAJ;1930;1990;1990;1990;3;3;4096;0;0;5;2;L524028;1930;1960;1960;x
Spiess;524029;TAJ;1930;1939;1990;1990;2;3;0;1;0;5;2;L524029;1930;1960;1960;x
Surén;524030;TAJ;1930;1939;1941;1990;2;2;0;2;0;5;2;M524047;1930;1960;1960;x
Commander;524900;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524901;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524902;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524903;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524904;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524905;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524906;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524907;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524908;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524909;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524910;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524911;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524912;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524913;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524914;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524915;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524916;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524917;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524918;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524919;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524920;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524921;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524922;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524923;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524924;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524925;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524926;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524927;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524928;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524929;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524930;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524931;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524932;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524933;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524934;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524935;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524936;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524937;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524938;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524939;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524940;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524941;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524942;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524943;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524944;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524945;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524946;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524947;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524948;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524949;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524950;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;524951;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524952;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524953;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524954;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524955;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524956;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524957;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524958;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524959;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524960;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524961;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524962;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524963;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524964;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524965;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524966;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524967;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524968;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524969;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524970;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524971;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524972;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524973;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524974;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524975;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;524976;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524977;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524978;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524979;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524980;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524981;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524982;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524983;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524984;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524985;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524986;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524987;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524988;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524989;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524990;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524991;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524992;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524993;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524994;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;524995;TAJ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
