Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alaverdov;340000;TAN;1938;1942;1990;1990;2;2;1;1;0;5;0;L340000;1938;1947;1960;x
Bogaichuk;340001;TAN;1930;1930;1938;1990;1;2;0;1;0;5;0;L340001;1930;1943;1960;x
Kolpakchi;340002;TAN;1943;1990;1990;1990;3;2;4;0;0;5;0;L340002;1943;1960;1960;x
Konstantinov;340003;TAN;1930;1941;1990;1990;3;2;128;1;0;5;0;L340003;1930;1960;1960;x
Kreizer;340004;TAN;1941;1990;1990;1990;3;2;64;0;0;5;0;L340004;1941;1960;1960;x
Kulikovskij;340005;TAN;1940;1990;1990;1990;3;2;256;0;0;5;0;L340005;1940;1960;1960;x
Nanejshvili;340006;TAN;1930;1930;1990;1990;2;2;32;0;0;5;0;L340006;1930;1945;1960;x
Repin;340007;TAN;1943;1990;1990;1990;3;2;2;0;0;5;0;L340007;1943;1960;1960;x
Sherstyuk;340008;TAN;1938;1990;1990;1990;3;2;0;0;0;5;0;L340008;1938;1960;1960;x
Shoma;340009;TAN;1930;1941;1990;1990;2;3;16;1;0;4;0;L340009;1930;1960;1960;x
Tovarischtaj;340010;TAN;1930;1930;1939;1990;1;3;16;1;0;4;0;L340010;1930;1960;1960;x
Tulberdiev;340011;TAN;1930;1990;1990;1990;3;3;256;0;0;5;0;L340011;1930;1942;1960;x
Kulikovskij;340012;TAN;1940;1990;1990;1990;3;2;0;0;0;5;1;L340012;1940;1960;1960;x
Tovarischtaj;340013;TAN;1930;1930;1990;1990;2;1;0;0;0;4;1;L340013;1930;1960;1960;x
Grinchik;340014;TAN;1937;1990;1990;1990;3;2;4096;0;0;5;2;L340014;1937;1943;1960;x
Rugalinskij;340015;TAN;1930;1939;1990;1990;2;2;0;1;0;5;2;L340015;1930;1960;1960;x
Ruzhenko;340016;TAN;1944;1990;1990;1990;3;2;0;0;0;5;2;L340016;1944;1960;1960;x
Commander;3400900;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400901;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400902;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400903;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400904;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400905;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400906;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400907;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400908;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400909;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400910;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400911;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400912;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400913;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400914;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400915;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400916;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400917;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400918;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400919;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400920;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400921;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400922;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400923;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400924;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400925;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400926;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400927;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400928;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400929;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400930;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400931;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400932;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400933;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400934;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400935;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400936;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400937;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400938;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400939;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400940;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400941;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400942;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400943;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400944;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400945;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400946;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400947;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400948;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400949;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400950;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400951;TAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;3400952;TAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;3400953;TAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
