Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arflack;571000;TEX;1942;1990;1990;1990;3;4;128;0;0;5;0;L571000;1942;1960;1960;x
Arnold;571001;TEX;1941;1944;1990;1990;2;5;4;1;0;5;0;M571023;1941;1960;1960;x
Ashcroft;571002;TEX;1939;1942;1946;1990;2;6;128;2;0;5;0;M571026;1939;1960;1960;x
Baker;571003;TEX;1941;1990;1990;1990;3;3;0;0;0;5;0;L571003;1941;1960;1960;x
Bisson;571004;TEX;1942;1990;1990;1990;3;7;256;0;0;5;0;L571004;1942;1960;1960;x
Collins;571005;TEX;1930;1939;1990;1990;2;5;128;1;0;5;0;L571005;1930;1960;1960;x
Densford;571006;TEX;1942;1990;1990;1990;3;4;32;0;0;5;0;L571006;1942;1960;1960;x
Ellis;571007;TEX;1942;1990;1990;1990;3;4;16;0;0;5;0;L571007;1942;1960;1960;x
Etheredge;571008;TEX;1930;1941;1990;1990;3;6;4;1;0;5;0;L571008;1930;1960;1960;x
Finn;571009;TEX;1930;1941;1990;1990;2;5;64;1;0;5;0;L571009;1930;1960;1960;x
Goodwin;571010;TEX;1942;1990;1990;1990;3;3;0;0;0;5;0;L571010;1942;1960;1960;x
Hicks;571011;TEX;1943;1990;1990;1990;3;4;4;0;0;5;0;L571011;1943;1960;1960;x
Kennedy;571012;TEX;1937;1990;1990;1990;3;3;0;0;0;5;0;L571012;1937;1945;1960;x
Kimball;571013;TEX;1930;1990;1990;1990;3;4;256;0;0;5;0;L571013;1930;1960;1960;x
Knox;571014;TEX;1930;1930;1940;1990;1;5;64;1;0;5;0;M571007;1930;1960;1960;x
McAllister;571015;TEX;1938;1941;1990;1990;2;5;32;1;0;5;0;L571015;1938;1960;1960;x
Myers;571016;TEX;1938;1942;1990;1990;2;7;4;1;0;5;0;L571016;1938;1960;1960;x
