Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Andruk Gonpo Tashi;150200;TIB;1930;1990;1990;1990;3;2;256;0;0;4;0;L150000;1930;1942;1960;x
Bapa Yeshe;150201;TIB;1943;1945;1990;1990;3;3;16;1;0;4;0;L150001;1943;1960;1960;x
Chaghoe Namgyal Dorje;150202;TIB;1930;1990;1990;1990;3;2;256;0;0;4;0;L150002;1930;1945;1960;x
Chama Samphe;150203;TIB;1944;1946;1990;1990;3;3;16;1;0;4;0;L150003;1944;1960;1960;x
Gyato Wangdu;150204;TIB;1942;1990;1990;1990;3;2;128;0;0;4;0;L150004;1942;1960;1960;x
Jampal Rabgyé Rinpoche;150205;TIB;1930;1930;1939;1990;1;2;0;1;0;4;0;L150005;1930;1944;1960;x
Kalsang Tsultrim;150206;TIB;1941;1990;1990;1990;3;2;32;0;0;4;0;L150006;1941;1960;1960;x
Khemey Sonam Wangdi;150207;TIB;1930;1930;1944;1990;2;3;1;1;0;4;0;L150007;1930;1960;1960;x
Lhalu Tsewang Dorje;150208;TIB;1945;1990;1990;1990;3;2;4;0;0;4;0;L150008;1945;1960;1960;x
Ngapoi Ngawang Jigme;150209;TIB;1942;1944;1946;1990;2;3;2;2;0;4;0;L150009;1942;1960;1960;x
Sampo Tsewang Rigzin;150210;TIB;1944;1990;1990;1990;3;2;16;0;0;4;0;L150010;1944;1960;1960;x
Tenpa Jamyang;150211;TIB;1930;1930;1930;1990;1;4;576;1;0;4;0;L150011;1930;1945;1960;x
Wangchuk Tharchin;150212;TIB;1930;1990;1990;1990;3;2;16;0;0;4;0;L150012;1930;1943;1960;x
Chaghoe Namgyal Dorje;150213;TIB;1930;1990;1990;1990;3;2;0;0;0;4;1;L150013;1930;1945;1960;x
Chama Samphe;150214;TIB;1944;1946;1990;1990;2;2;0;1;0;4;1;L150014;1944;1960;1960;x
Lhalu Tsewang Dorje;150215;TIB;1945;1990;1990;1990;3;2;0;0;0;4;1;L150015;1945;1960;1960;x
Bapa Yeshe;150216;TIB;1943;1990;1990;1990;3;1;0;0;0;4;2;L150016;1943;1960;1960;x
Gyato Wangdu;150217;TIB;1942;1990;1990;1990;3;2;0;0;0;4;2;L150017;1942;1960;1960;x
Khemey Sonam Wangdi;150218;TIB;1930;1930;1990;1990;2;1;0;0;0;4;2;L150018;1930;1943;1960;x
Sampo Tsewang Rigzin;150219;TIB;1944;1946;1990;1990;2;2;0;1;0;4;2;L150019;1944;1960;1960;x
Cuike;150220;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Gongran;150221;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Yutog;150222;TIB;1908;1932;1932;1932;1;5;0;4;3;5;0;1229;1908;1932;1999;x
Cedain;150223;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Dainda;150224;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Doje;150225;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Minglingba;150226;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Tethong;150227;TIB;1908;1908;1932;1932;1;4;0;3;0;5;0;1230;1908;1932;1999;x
Zhamdui;150228;TIB;1908;1908;1932;1932;2;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Shapi;150229;TIB;1908;1908;1932;1932;2;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Tsarong Dzasa;150230;TIB;1908;1914;1917;1920;0;4;0;3;0;5;0;1231;1908;1932;1999;x
Changra Depsn;150231;TIB;1905;1914;1932;1932;3;3;0;2;0;5;0;1232;1905;1932;1999;x
Dingja;150232;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;1233;1908;1932;1999;x
Kalon Lama;150233;TIB;1900;1903;1908;1932;3;3;0;1;0;5;0;1234;1900;1920;1999;x
Khyungram Theji;150234;TIB;1910;1914;1932;1932;3;3;0;1;0;5;0;1235;1910;1932;1999;x
Ladingser;150235;TIB;1897;1903;1932;1932;3;3;0;2;0;5;0;1236;1897;1918;1999;x
Langserling;150236;TIB;1897;1903;1932;1932;3;3;0;1;0;5;0;1237;1897;1918;1999;x
