Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ahmad II;532000;TUN;1930;1930;1930;1990;1;2;1;0;0;5;0;M532001;1930;1942;1960;x
Conus;532001;TUN;1941;1990;1990;1990;3;5;256;1;0;5;0;L532001;1941;1960;1960;x
Couladon;532002;TUN;1940;1990;1990;1990;3;4;16;0;0;5;0;M532039;1940;1960;1960;x
d'Astier de la Vigerie;532003;TUN;1930;1930;1990;1990;2;3;4;0;0;5;0;M532007;1930;1960;1960;x
Lalande;532004;TUN;1942;1990;1990;1990;3;3;1;0;0;5;0;L532004;1942;1960;1960;x
Laurent-Champrosay;532005;TUN;1930;1990;1990;1990;3;3;64;0;0;5;0;M532036;1930;1945;1960;x
Lichtwitz;532006;TUN;1939;1990;1990;1990;3;2;1;0;0;5;0;M532034;1939;1960;1960;x
Magny;532007;TUN;1939;1990;1990;1990;3;3;128;0;0;5;0;L532007;1939;1944;1960;x
Marson;532008;TUN;1940;1990;1990;1990;3;4;272;0;0;5;0;L532008;1940;1960;1960;x
Massu;532009;TUN;1942;1990;1990;1990;3;6;260;0;0;5;0;M532037;1942;1960;1960;x
Muhammed VIII;532010;TUN;1930;1930;1930;1990;1;2;0;0;0;5;0;M532013;1943;1960;1960;x
Muhammed VII;532011;TUN;1930;1930;1939;1990;1;2;0;0;0;5;0;M532012;1941;1943;1960;x
Neville;532012;TUN;1943;1990;1990;1990;3;3;32;0;0;5;0;L532012;1943;1960;1960;x
Saint-Hillier;532013;TUN;1941;1990;1990;1990;3;4;256;0;0;5;0;L532013;1941;1960;1960;x
Vazac;532014;TUN;1930;1990;1990;1990;3;4;5;0;0;5;0;M532008;1930;1960;1960;x
Evenou;532015;TUN;1930;1943;1990;1990;2;4;4096;1;0;5;1;M532009;1930;1960;1960;x
Rousselot;532016;TUN;1942;1990;1990;1990;3;3;1024;0;0;5;1;L532016;1942;1960;1960;x
Sevestre;532017;TUN;1941;1944;1990;1990;2;4;1024;2;0;5;1;M532038;1941;1960;1960;x
Terrier;532018;TUN;1940;1990;1990;1990;3;3;0;0;0;5;1;L532018;1940;1960;1960;x
Allegret;532019;TUN;1940;1944;1990;1990;2;3;32768;1;0;5;2;M532046;1940;1960;1960;x
Ginas;532020;TUN;1930;1942;1990;1990;2;3;16384;1;0;5;2;M532010;1930;1960;1960;x
Romanetti;532021;TUN;1939;1990;1990;1990;3;3;131072;0;0;5;2;L532021;1939;1960;1960;x
Commander;532900;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532901;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532902;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532903;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532904;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532905;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532906;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532907;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532908;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532909;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532910;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532911;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532912;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532913;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532914;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532915;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532916;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532917;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532918;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532919;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532920;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;532921;TUN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
