Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alankup;61000;TUR;1939;1945;1990;1990;3;5;0;1;0;4;0;L61000;1939;1960;1960;x
Arikan;61001;TUR;1930;1939;1990;1990;2;5;1;1;0;4;0;L61001;1930;1943;1960;x
Artunkal;61002;TUR;1930;1940;1943;1990;2;7;2;2;0;5;0;L61002;1930;1947;1960;x
Ayguc;61003;TUR;1944;1946;1990;1990;3;5;128;1;0;5;0;L61003;1944;1960;1960;x
Baransel;61004;TUR;1943;1990;1990;1990;3;5;0;0;0;4;0;L61004;1943;1960;1960;x
Bözer;61005;TUR;1938;1990;1990;1990;3;4;32;0;0;5;0;L61005;1938;1944;1960;x
Cakmak;61006;TUR;1930;1930;1930;1930;0;6;2;1;0;4;0;L61006;1930;1945;1960;x
Calistar;61007;TUR;1930;1930;1990;1990;2;5;513;1;0;4;0;L61007;1930;1939;1960;x
Eldelhun;61008;TUR;1941;1944;1990;1990;2;5;128;1;0;4;0;L61008;1941;1960;1960;x
Gataly;61009;TUR;1930;1939;1990;1990;2;4;0;1;0;5;0;L61009;1930;1943;1960;x
Gürkan;61010;TUR;1945;1990;1990;1990;3;6;256;0;0;5;0;L61010;1945;1960;1960;x
Gürler;61011;TUR;1939;1943;1990;1990;2;4;256;1;0;4;0;L61011;1939;1960;1960;x
Gürman;61012;TUR;1941;1990;1990;1990;3;5;4;0;0;4;0;L61012;1941;1960;1960;x
Gürsel;61013;TUR;1944;1947;1990;1990;3;7;4;1;0;4;0;L61013;1944;1960;1960;x
Gürzlin;61014;TUR;1930;1990;1990;1990;3;4;0;0;0;5;0;L61014;1930;1939;1960;x
Inönu;61015;TUR;1930;1930;1930;1939;1;4;4;2;0;5;0;L61015;1930;1960;1960;x
Kanatli;61016;TUR;1938;1990;1990;1990;2;5;0;0;0;4;0;L61016;1938;1946;1960;x
Karabekir;61017;TUR;1930;1930;1930;1990;1;5;2;1;0;4;0;L61017;1930;1941;1960;x
Mengüc;61018;TUR;1943;1946;1990;1990;3;5;4;1;0;4;0;L61018;1943;1960;1960;x
Naci Tinaz;61019;TUR;1939;1941;1990;1990;2;4;0;1;0;5;0;L61019;1939;1946;1960;x
Namut;61020;TUR;1930;1930;1930;1990;1;6;2;1;0;4;0;L61020;1930;1940;1960;x
Noyan;61021;TUR;1940;1942;1990;1990;2;5;0;1;0;4;0;L61021;1940;1960;1960;x
Omurtak;61022;TUR;1942;1943;1946;1990;2;5;1;2;0;4;0;L61022;1942;1960;1960;x
Orbay;61023;TUR;1937;1940;1990;1990;2;5;32;1;0;4;0;L61023;1937;1945;1960;x
Selisik;61024;TUR;1943;1990;1990;1990;3;4;32;0;0;4;0;L61024;1943;1960;1960;x
Seven;61025;TUR;1942;1990;1990;1990;3;5;128;0;0;4;0;L61025;1942;1960;1960;x
Tagmac;61026;TUR;1944;1947;1990;1990;3;6;16;1;0;4;0;L61026;1944;1960;1960;x
Toüdemür;61027;TUR;1938;1942;1990;1990;2;5;4;1;0;4;0;L61027;1938;1947;1960;x
Tunaboylu;61028;TUR;1943;1990;1990;1990;3;4;0;0;0;4;0;L61028;1943;1960;1960;x
Tural;61029;TUR;1945;1990;1990;1990;3;5;256;0;0;4;0;L61029;1945;1960;1960;x
Türkes;61030;TUR;1938;1990;1990;1990;3;5;4;0;0;3;0;L61030;1938;1943;1960;x
Wehib Pasha;61031;TUR;1930;1930;1938;1990;2;6;546;1;0;5;0;L61031;1930;1940;1960;x
Yamut;61032;TUR;1939;1941;1990;1990;2;6;4;1;0;4;0;L61032;1939;1960;1960;x
Yazici;61033;TUR;1945;1990;1990;1990;3;6;256;0;0;4;0;L61033;1945;1960;1960;x
Öktem;61034;TUR;1943;1990;1990;1990;3;5;0;0;0;5;0;L61034;1943;1960;1960;x
Özalp;61035;TUR;1938;1940;1942;1990;1;6;4;2;0;4;0;L61035;1938;1947;1960;x
Özdülek;61036;TUR;1943;1946;1990;1990;3;5;1;1;0;4;0;L61036;1943;1960;1960;x
Calak;61037;TUR;1940;1945;1990;1990;3;5;0;1;0;5;1;L61037;1940;1960;1960;x
Cebesoy;61038;TUR;1930;1930;1930;1990;1;4;0;1;0;4;1;L61038;1930;1943;1960;x
Düzan;61039;TUR;1930;1930;1990;1990;2;5;0;0;0;5;1;L61039;1930;1941;1960;x
Görlükan;61040;TUR;1945;1990;1990;1990;3;4;0;0;0;5;1;L61040;1945;1960;1960;x
Kotluk;61041;TUR;1943;1946;1990;1990;2;5;0;1;0;5;1;L61041;1943;1960;1960;x
Koya;61042;TUR;1939;1943;1944;1990;2;5;0;2;0;5;1;L61042;1939;1960;1960;x
Orbay;61043;TUR;1930;1930;1990;1990;2;5;0;0;0;4;1;L61043;1930;1939;1960;x
Üngen;61044;TUR;1930;1941;1944;1990;2;5;0;2;0;4;1;L61044;1930;1960;1960;x
Üzendal;61045;TUR;1944;1990;1990;1990;3;4;0;0;0;5;1;L61045;1944;1960;1960;x
Öyarzan;61046;TUR;1945;1990;1990;1990;3;4;1024;0;0;5;1;L61046;1945;1960;1960;x
Alpay;61047;TUR;1945;1990;1990;1990;3;5;0;0;0;5;2;L61047;1945;1960;1960;x
Baransel;61048;TUR;1943;1990;1990;1990;3;5;0;0;0;4;2;L61048;1943;1960;1960;x
Berköz;61049;TUR;1939;1942;1990;1990;2;5;0;1;0;4;2;L61049;1939;1960;1960;x
Ersay;61050;TUR;1943;1945;1990;1990;3;4;0;1;0;5;2;L61050;1943;1960;1960;x
Gataly;61051;TUR;1930;1939;1990;1990;2;5;0;1;0;5;2;L61051;1930;1943;1960;x
Gökcen;61052;TUR;1939;1990;1990;1990;3;5;8192;0;0;4;2;L61052;1939;1945;1960;x
Hitay;61053;TUR;1930;1940;1990;1990;3;5;0;1;0;5;2;L61053;1930;1944;1960;x
Ilkucan;61054;TUR;1945;1990;1990;1990;3;5;131072;0;0;4;2;L61054;1945;1960;1960;x
Namut;61055;TUR;1938;1941;1944;1990;2;5;16384;2;0;5;2;L61055;1938;1960;1960;x
Sadik;61056;TUR;1930;1990;1990;1990;3;4;0;0;0;4;2;L61056;1930;1940;1960;x
Örlungat;61057;TUR;1930;1930;1930;1990;1;4;0;1;0;4;2;L61057;1930;1942;1960;x
Yucal;61058;TUR;1943;1990;1990;1990;3;4;0;0;0;5;2;L61058;1943;1960;1960;x
Köldecan;61059;TUR;1939;1941;1990;1990;2;4;4;1;0;5;0;L61059;1939;1960;1960;x
Muzir;61060;TUR;1937;1939;1943;1990;1;5;0;2;0;5;0;L61060;1937;1960;1960;x
Commander;61900;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;61901;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;61902;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;61903;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;61904;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;61905;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;61906;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;61907;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;61908;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;61909;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;61910;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;61911;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;61912;TUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
