Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bangerskis;518000;UKR;1930;1930;1990;1990;2;3;513;1;0;5;0;L518000;1930;1960;1960;x
Bergmann;518001;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;L518001;1930;1960;1960;x
Bezruchko;518002;UKR;1930;1939;1990;1990;2;3;8;1;0;5;0;L518002;1930;1960;1960;x
Blagoveschenski;518003;UKR;1930;1990;1990;1990;3;2;4;1;0;5;0;L518003;1930;1960;1960;x
Bogdanov;518004;UKR;1930;1990;1990;1990;3;5;16;0;0;5;0;L518004;1930;1960;1960;x
Borowietz;518005;UKR;1930;1942;1990;1990;2;4;0;1;0;5;0;L518005;1930;1960;1960;x
Boyarski;518006;UKR;1930;1990;1990;1990;3;3;64;0;0;5;0;L518006;1930;1960;1960;x
Breithaupt;518007;UKR;1930;1930;1940;1990;2;4;0;1;0;5;0;L518007;1930;1960;1960;x
Bunjatschenko;518008;UKR;1930;1938;1990;1990;2;3;0;1;0;5;0;L518008;1930;1960;1960;x
Drescher;518009;UKR;1930;1943;1990;1990;3;3;1;1;0;5;0;L518009;1930;1960;1960;x
Duda;518010;UKR;1930;1990;1990;1990;3;2;16;0;0;5;0;M518057;1930;1960;1960;x
Eckhardt;518011;UKR;1930;1942;1990;1990;3;4;1;1;0;5;0;L518011;1930;1960;1960;x
Falley;518012;UKR;1930;1943;1990;1990;3;3;32;1;0;5;0;L518012;1930;1960;1960;x
Fischer;518013;UKR;1930;1990;1990;1990;3;3;32;0;0;5;0;L518013;1930;1960;1960;x
Frank;518014;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;L518014;1930;1960;1960;x
Gall;518015;UKR;1930;1990;1990;1990;3;3;0;0;0;5;0;L518015;1930;1960;1960;x
Geiger;518016;UKR;1930;1944;1990;1990;3;3;128;1;0;5;0;L518016;1930;1960;1960;x
Gerok;518017;UKR;1930;1943;1990;1990;3;3;4;0;0;5;0;L518017;1930;1960;1960;x
Golovnev;518018;UKR;1930;1930;1943;1990;2;4;0;1;0;5;0;M518007;1930;1960;1960;x
Heistermann von Ziehlberg;518019;UKR;1930;1943;1990;1990;2;3;0;1;0;5;0;L518019;1930;1960;1960;x
Jost;518020;UKR;1930;1945;1990;1990;3;3;64;1;0;5;0;L518020;1930;1960;1960;x
Kinzel;518021;UKR;1930;1939;1944;1990;2;5;2;2;0;5;0;M518061;1930;1960;1960;x
Keilhaus;518022;UKR;1930;1990;1990;1990;3;3;4;0;0;5;0;L518022;1930;1960;1960;x
Korbukov;518023;UKR;1930;1990;1990;1990;3;3;128;0;0;5;0;L518023;1930;1960;1960;x
Krasnov;518024;UKR;1930;1930;1930;1990;1;4;517;1;0;5;0;M518066;1930;1960;1960;x
Kromiadi;518025;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;M518060;1930;1960;1960;x
Kruschev;518026;UKR;1930;1930;1990;1990;2;2;0;0;0;5;0;M518062;1930;1960;1960;x
Källner;518027;UKR;1930;1942;1990;1990;3;3;1;1;0;5;0;L518027;1930;1960;1960;x
Leikov;518028;UKR;1930;1990;1990;1990;3;4;128;0;0;5;0;L518028;1930;1960;1960;x
Lorenz;518029;UKR;1930;1990;1990;1990;3;3;4;0;0;5;0;L518029;1930;1960;1960;x
Malyschkin;518030;UKR;1930;1941;1990;1990;2;4;1;1;0;5;0;L518030;1930;1960;1960;x
Meandrov;518031;UKR;1930;1990;1990;1990;3;2;1;0;0;5;0;L518031;1930;1960;1960;x
Melnik;518032;UKR;1930;1990;1990;1990;3;2;8;0;0;5;0;L518032;1930;1960;1960;x
Osmak;518033;UKR;1930;1990;1990;1990;3;4;256;0;0;5;0;M518058;1930;1960;1960;x
Pliyev;518034;UKR;1930;1941;1990;1990;2;5;4;1;0;5;0;L518034;1930;1960;1960;x
Riecke;518035;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;L518035;1930;1960;1960;x
Ruvinski;518036;UKR;1930;1930;1942;1990;2;4;32;1;0;5;0;M518064;1930;1960;1960;x
Sakharov;518037;UKR;1930;1990;1990;1990;3;2;128;0;0;5;0;L518037;1930;1960;1960;x
Schapowalow;518038;UKR;1930;1990;1990;1990;3;3;2;0;0;5;0;L518038;1930;1960;1960;x
Schröder;518039;UKR;1930;1990;1990;1990;3;5;514;1;0;5;0;L518039;1930;1960;1960;x
Shandruk;518040;UKR;1930;1930;1990;1990;2;4;16;0;0;5;0;M518065;1930;1960;1960;x
Shatov;518041;UKR;1930;1990;1990;1990;3;2;8;0;0;5;0;L518041;1930;1960;1960;x
Shilenkov;518042;UKR;1930;1930;1990;1990;2;3;0;0;0;5;0;L518042;1930;1960;1960;x
Shukhevich;518043;UKR;1930;1930;1943;1990;2;6;16;1;0;5;0;L518043;1930;1960;1960;x
Skoropadsky;518044;UKR;1930;1930;1990;1990;2;3;514;1;0;5;0;M518059;1930;1960;1960;x
Strelnikov;518045;UKR;1930;1930;1930;1990;1;4;1;1;0;5;0;M518008;1930;1960;1960;x
Trukhin;518046;UKR;1930;1930;1990;1990;2;3;8;0;0;5;0;L518046;1930;1960;1960;x
Vlassov;518047;UKR;1930;1930;1930;1990;1;6;1;2;0;5;0;L518047;1930;1960;1960;x
von Bodenhausen;518048;UKR;1930;1942;1990;1990;3;3;2;1;0;5;0;L518048;1930;1960;1960;x
von Bomhard;518049;UKR;1930;1930;1990;1990;2;3;0;0;0;5;0;L518049;1930;1960;1960;x
von Bülow;518050;UKR;1930;1990;1990;1990;3;3;0;0;0;5;0;L518050;1930;1960;1960;x
von Eberstein;518051;UKR;1930;1930;1990;1990;2;2;0;0;0;5;0;L518051;1930;1960;1960;x
von Falkowski;518052;UKR;1930;1990;1990;1990;3;2;0;0;0;5;0;L518052;1930;1960;1960;x
von Gallwitz;518053;UKR;1930;1990;1990;1990;3;3;0;0;0;5;0;L518053;1930;1960;1960;x
von Treuenfeld;518054;UKR;1930;1990;1990;1990;3;3;4;0;0;5;0;L518054;1930;1960;1960;x
Yefimov;518055;UKR;1930;1939;1990;1990;2;3;0;1;0;5;0;M518056;1930;1960;1960;x
Zakutny;518056;UKR;1930;1990;1990;1990;3;2;1;0;0;5;0;L518056;1930;1960;1960;x
Zverev;518057;UKR;1930;1990;1990;1990;3;3;2;0;0;5;0;L518057;1930;1960;1960;x
Dushin;518058;UKR;1930;1990;1990;1990;3;2;0;0;0;5;1;M518070;1930;1960;1960;x
Gorshkov;518059;UKR;1930;1930;1944;1990;2;4;0;2;0;5;1;M518068;1930;1960;1960;x
Isakov;518060;UKR;1930;1930;1943;1990;1;4;0;2;0;5;1;M518009;1930;1960;1960;x
Kühn;518061;UKR;1930;1990;1990;1990;3;3;0;0;0;5;1;L518061;1930;1960;1960;x
Martjenko;518062;UKR;1930;1990;1990;1990;3;2;0;0;0;5;1;L518062;1930;1960;1960;x
Pilipenko;518063;UKR;1930;1930;1990;1990;2;3;1024;0;0;5;1;M518071;1930;1960;1960;x
Riedel;518064;UKR;1930;1990;1990;1990;3;3;4096;0;0;5;1;L518064;1930;1960;1960;x
von Trotha;518065;UKR;1930;1930;1990;1990;2;4;4096;0;0;5;1;M518072;1930;1960;1960;x
Walter;518066;UKR;1930;1990;1990;1990;3;5;8704;0;0;5;1;L518066;1930;1960;1960;x
Wolfram;518067;UKR;1930;1939;1990;1990;3;3;1536;1;0;5;1;L518067;1930;1960;1960;x
Alaydin;518068;UKR;1930;1930;1942;1990;2;3;131072;2;0;5;2;M518010;1930;1960;1960;x
Böttge;518069;UKR;1930;1990;1990;1990;3;3;0;0;0;5;2;L518069;1930;1960;1960;x
Dushin;518070;UKR;1930;1990;1990;1990;3;3;131072;0;0;5;2;M518070;1930;1960;1960;x
Fedun-Poltava;518071;UKR;1930;1990;1990;1990;3;2;32768;0;0;5;2;L518071;1930;1960;1960;x
Maltsev;518072;UKR;1930;1930;1941;1990;2;3;0;2;0;5;2;M518077;1930;1960;1960;x
Muggenthaler;518073;UKR;1930;1990;1990;1990;3;3;4096;0;0;5;2;L518073;1930;1960;1960;x
Müller;518074;UKR;1930;1941;1990;1990;2;4;16384;1;0;5;2;L518074;1930;1960;1960;x
Nitzsche;518075;UKR;1930;1942;1990;1990;3;3;0;1;0;5;2;L518075;1930;1960;1960;x
