Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adams P.D.;600000;USA;1944;1946;1990;1990;3;7;256;2;0;5;0;L60000;1944;1970;1970;x
Alexander G.M.;600001;USA;1939;1990;1990;1990;3;4;1;1;0;5;0;L60001;1939;1970;1970;x
Alfonte;600002;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60002;1943;1946;1960;x
Alkire;600003;USA;1952;1990;1990;1990;3;5;32768;1;0;5;2;L60003;1952;1956;1960;x
Allen A.R.;600004;USA;1941;1944;1990;1990;2;7;128;2;0;5;0;L60004;1941;1970;1970;x
Allen F.A.;600005;USA;1942;1990;1990;1990;3;5;64;1;0;5;0;L60005;1942;1946;1960;x
Allen R.R.;600006;USA;1941;1990;1990;1990;3;5;128;1;0;5;0;L60006;1941;1970;1970;x
Almond E.M.;600007;USA;1942;1944;1990;1990;2;5;0;2;0;5;0;L60007;1942;1970;1970;x
Althaus;600008;USA;1943;1990;1990;1990;3;5;128;1;0;5;0;L60008;1943;1946;1960;x
Andersen;600009;USA;1940;1990;1990;1990;3;4;0;1;0;5;0;L60009;1940;1942;1960;x
Anderson J.B.;600010;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60010;1942;1946;1960;x
Anderson J.W.;600011;USA;1941;1990;1990;1990;3;6;64;1;0;5;0;L60011;1941;1967;1967;x
Andrus;600012;USA;1943;1990;1990;1990;3;4;64;1;0;5;0;L60012;1943;1970;1970;x
Ankcorn;600013;USA;1939;1990;1990;1990;3;4;0;1;0;5;0;L60013;1939;1944;1960;x
Arms;600014;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60014;1941;1946;1960;x
Armstrong;600015;USA;1942;1990;1990;1990;3;5;64;1;0;5;0;L60015;1942;1970;1970;x
Arnold W.H.;600016;USA;1942;1944;1990;1990;2;6;0;2;0;5;0;L60016;1942;1970;1970;x
Arrowsmith;600017;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60017;1942;1970;1970;x
Baade;600018;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60018;1942;1946;1960;x
Baehr;600019;USA;1930;1990;1990;1990;3;5;64;1;0;5;0;L60019;1930;1946;1960;x
Baird;600020;USA;1942;1990;1990;1990;3;4;1;1;0;5;0;L60020;1942;1970;1970;x
Baker;600021;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60021;1941;1946;1960;x
Barker;600022;USA;1940;1990;1990;1990;3;6;64;1;0;5;0;L60022;1940;1947;1960;x
Barnes;600023;USA;1938;1990;1990;1990;3;5;64;1;0;5;0;L60023;1938;1946;1960;x
Barnett A.J.;600024;USA;1941;1990;1990;1990;3;5;0;1;0;5;0;L60024;1941;1970;1970;x
Barr D.G.;600025;USA;1941;1990;1990;1990;3;6;128;1;0;5;0;L60025;1941;1970;1970;x
Barrett;600026;USA;1944;1990;1990;1990;3;5;64;1;0;5;0;L60026;1944;1970;1970;x
Barton R.O.;600027;USA;1930;1990;1990;1990;3;5;0;1;0;5;0;L60027;1930;1963;1963;x
Bash;600028;USA;1930;1990;1990;1990;3;4;512;1;0;5;0;L60028;1930;1938;1960;x
Beasly R.W.;600029;USA;1941;1990;1990;1990;3;4;64;1;0;5;0;L60029;1941;1961;1961;x
Bedingfield;600030;USA;1945;1990;1990;1990;3;5;32;1;0;5;0;L60030;1945;1970;1970;x
Bedell Smith;600031;USA;1941;1942;1944;1990;1;6;4;3;0;5;0;L60031;1941;1970;1970;x
Beiderlinden;600032;USA;1943;1990;1990;1990;3;5;64;1;0;5;0;L60032;1943;1970;1970;x
Beightler;600033;USA;1940;1990;1990;1990;3;6;0;1;0;5;0;L60033;1940;1970;1970;x
Billingslea;600034;USA;1940;1990;1990;1990;3;4;2;1;0;5;0;L60034;1940;1943;1960;x
Birkhead C.V.;600035;USA;1930;1941;1990;1990;3;4;0;2;0;5;0;L60035;1930;1950;1960;x
Bissell;600036;USA;1943;1990;1990;1990;3;4;64;1;0;5;0;L60036;1943;1946;1960;x
Bixby;600037;USA;1944;1990;1990;1990;3;5;128;1;0;5;0;L60037;1944;1990;1990;x
Blackmore P.G.;600038;USA;1940;1990;1990;1990;3;4;1;1;0;5;0;L60038;1940;1970;1970;x
Blakeley H.W.;600039;USA;1940;1990;1990;1990;3;5;128;1;0;5;0;L60039;1940;1966;1966;x
Blount R.E.;600040;USA;1943;1990;1990;1990;3;4;4;1;0;5;0;L60040;1943;1969;1969;x
Bluemel;600041;USA;1940;1990;1990;1990;3;4;256;1;0;5;0;L60041;1940;1942;1960;x
Boatner H.L.;600042;USA;1942;1990;1990;1990;3;6;5;1;0;5;0;L60042;1942;1970;1970;x
Boggs;600043;USA;1939;1990;1990;1990;3;4;1;1;0;5;0;L60043;1939;1942;1960;x
Bohn;600044;USA;1942;1990;1990;1990;3;6;128;1;0;5;0;L60044;1942;1945;1960;x
Bolling;600045;USA;1939;1945;1990;1990;3;5;0;2;0;5;0;L60045;1939;1970;1970;x
Bolte;600046;USA;1930;1930;1942;1990;1;5;0;2;0;5;0;L60046;1930;1970;1970;x
Bonesteel jr.;600047;USA;1941;1990;1990;1990;3;5;0;1;0;5;0;L60047;1941;1970;1970;x
Booth;600048;USA;1942;1945;1990;1990;3;5;0;2;0;5;0;L60048;1942;1970;1970;x
Boudinot;600049;USA;1943;1990;1990;1990;3;4;128;1;0;5;0;L60049;1943;1945;1960;x
Bowen;600050;USA;1942;1990;1990;1990;3;6;384;1;0;5;0;L60050;1942;1970;1970;x
Bowley;600051;USA;1930;1930;1990;1990;2;6;514;1;0;5;0;L60051;1930;1939;1960;x
Bowman;600052;USA;1942;1990;1990;1990;3;5;32;1;0;5;0;L60052;1942;1970;1970;x
Boyd;600053;USA;1938;1990;1990;1990;3;4;0;1;0;5;0;L60053;1938;1970;1970;x
Bradford  K.S.;600054;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60054;1941;1946;1960;x
Bradford W.B.;600055;USA;1941;1990;1990;1990;3;5;4;1;0;5;0;L60055;1941;1970;1970;x
Bradley  J.L.;600056;USA;1940;1990;1990;1990;3;7;256;1;0;5;0;L60056;1940;1970;1970;x
Bradley  O.N.;600057;USA;1941;1943;1944;1946;1;9;37;5;0;5;0;L60057;1941;1970;1970;x
Bradshaw;600058;USA;1941;1990;1990;1990;3;4;2;1;0;5;0;L60058;1941;1970;1970;x
Brann;600059;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60059;1943;1945;1960;x
Braun;600060;USA;1941;1990;1990;1990;3;5;128;1;0;5;0;L60060;1941;1945;1960;x
Brees;600061;USA;1930;1938;1990;1990;2;6;513;2;0;5;0;L60061;1930;1941;1960;x
Brett;600062;USA;1941;1990;1990;1990;3;4;128;1;0;5;0;L60062;1941;1943;1960;x
Brewer C.B.;600063;USA;1941;1990;1990;1990;3;6;128;1;0;5;0;L60063;1941;1970;1970;x
Britton;600064;USA;1943;1990;1990;1990;3;5;32;1;0;5;0;L60064;1943;1947;1960;x
Brooks;600065;USA;1942;1946;1990;1990;3;7;128;2;0;5;0;L60065;1942;1970;1970;x
Brougher W.E.;600066;USA;1930;1990;1990;1990;3;4;1;1;0;5;0;L60066;1930;1965;1965;x
Brown A.E.;600067;USA;1942;1990;1990;1990;3;5;4;1;0;5;0;L60067;1942;1970;1970;x
Bruce;600068;USA;1938;1942;1990;1990;2;5;128;2;0;5;0;L60068;1938;1970;1970;x
Brush;600069;USA;1930;1990;1990;1990;3;4;0;1;0;5;0;L60069;1930;1945;1960;x
Bryden;600070;USA;1937;1990;1990;1990;3;6;576;1;0;5;0;L60070;1937;1944;1960;x
Bucher O.B.;600071;USA;1942;1990;1990;1990;3;4;64;1;0;5;0;L60071;1942;1962;1962;x
Buckmaster;600072;USA;1941;1955;1990;1990;3;5;4096;1;0;5;1;L60072;1941;1970;1970;x
Buckner S.B.;600073;USA;1940;1944;1954;1990;2;7;20;2;0;5;0;L60073;1940;1945;1960;x
Buechler;600074;USA;1942;1990;1990;1990;3;5;256;1;0;5;0;L60074;1942;1990;1990;x
Bull;600075;USA;1939;1943;1990;1990;2;5;0;2;0;5;0;L60075;1939;1970;1970;x
Bullavini;600076;USA;1945;1990;1990;1990;3;4;4;1;0;5;0;L60076;1945;1970;1970;x
Burnell;600077;USA;1942;1990;1990;1990;3;5;2;1;0;5;0;L60077;1942;1970;1970;x
Burress W.A.;600078;USA;1942;1990;1990;1990;3;5;0;1;0;5;0;L60078;1942;1970;1970;x
Busbee C.M.;600079;USA;1941;1990;1990;1990;3;5;64;1;0;5;0;L60079;1941;1946;1960;x
Butler;600080;USA;1941;1990;1990;1990;3;6;36;1;0;5;0;L60080;1941;1970;1970;x
Byers;600081;USA;1943;1947;1990;1990;3;8;256;2;0;5;0;L60081;1943;1970;1970;x
Cabell C.P.;600082;USA;1942;1951;1958;1990;2;7;8192;2;0;5;2;L60082;1942;1962;1962;x
Caffey;600083;USA;1942;1990;1990;1990;3;5;256;1;0;5;0;L60083;1942;1970;1970;x
Camp;600084;USA;1941;1990;1990;1990;3;5;128;1;0;5;0;L60085;1941;1946;1960;x
Campbell;600085;USA;1942;1990;1990;1990;3;4;1;1;0;5;0;L60086;1942;1970;1970;x
Canham;600086;USA;1944;1990;1990;1990;3;6;256;1;0;5;0;L60087;1944;1970;1970;x
Canine;600087;USA;1942;1944;1990;1990;2;7;32;2;0;5;0;L60088;1942;1970;1970;x
Cannon;600088;USA;1943;1945;1990;1990;2;5;0;2;0;5;0;L60089;1943;1970;1970;x
Casey;600089;USA;1941;1990;1990;1990;3;6;33;1;0;5;0;L60090;1941;1970;1970;x
Cates C.B.;600090;USA;1941;1943;1947;1990;2;7;256;3;0;5;0;L60091;1941;1970;1970;x
Chaffee;600091;USA;1937;1990;1990;1990;3;5;0;1;0;5;0;L60092;1937;1941;1960;x
Chamberlin;600092;USA;1930;1942;1990;1990;2;4;4;2;0;5;0;L60093;1930;1970;1970;x
Chapman;600093;USA;1940;1990;1990;1990;3;5;256;1;0;5;0;L60094;1940;1943;1960;x
Chase;600094;USA;1942;1990;1990;1990;3;5;256;1;0;5;0;L60095;1942;1970;1970;x
Christiansen;600095;USA;1942;1990;1990;1990;3;6;4;1;0;5;0;L60096;1942;1970;1970;x
Chynoweth;600096;USA;1940;1990;1990;1990;3;4;2;1;0;5;0;L60097;1940;1942;1960;x
Clark;600097;USA;1941;1942;1944;1990;1;9;4;4;0;5;0;L60098;1941;1970;1970;x
Clarke;600098;USA;1944;1990;1990;1990;3;6;128;1;0;5;0;L60099;1944;1970;1970;x
Clarkson P.W.;600099;USA;1941;1990;1990;1990;2;5;0;1;0;5;0;L60100;1941;1962;1962;x
Clay L.D.;600100;USA;1941;1945;1947;1990;2;8;1;3;0;5;0;L60101;1941;1970;1970;x
Colbern;600101;USA;1942;1990;1990;1990;3;4;64;1;0;5;0;L60102;1942;1970;1970;x
Collier J.H.;600102;USA;1943;1954;1990;1990;2;5;128;2;0;5;0;L60103;1943;1970;1970;x
Collins  H.J.;600103;USA;1941;1990;1990;1990;3;6;0;1;0;5;0;L60104;1941;1970;1970;x
Collins J.L.;600104;USA;1941;1945;1948;1990;1;8;20;3;0;5;0;L60105;1941;1970;1970;x
Colson C.F.;600105;USA;1943;1990;1990;1990;3;5;4;1;0;5;0;L60106;1943;1970;1970;x
Conklin;600106;USA;1930;1990;1990;1990;3;5;1;1;0;5;0;L60107;1930;1943;1960;x
Cook G.R.;600107;USA;1941;1990;1990;1990;3;5;0;1;0;5;0;L60108;1941;1963;1963;x
Corlett;600108;USA;1943;1945;1990;1990;3;7;128;2;0;5;0;L60109;1943;1970;1970;x
Coulter J.B.;600109;USA;1940;1951;1990;1990;2;6;4;2;0;5;0;L60110;1940;1970;1970;x
Cox;600110;USA;1938;1990;1990;1990;3;4;2;1;0;5;0;L60111;1938;1944;1960;x
Craig;600111;USA;1930;1930;1930;1990;1;6;4;2;0;5;0;L60112;1930;1945;1960;x
Critten;600112;USA;1940;1990;1990;1990;3;5;64;1;0;5;0;L60113;1940;1946;1960;x
Crittenberger;600113;USA;1939;1942;1990;1990;2;7;128;2;0;5;0;L60114;1939;1970;1970;x
Cruver;600114;USA;1943;1990;1990;1990;3;4;32768;1;0;5;2;L60115;1943;1966;1966;x
Culin;600115;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60116;1941;1946;1960;x
Cummins;600116;USA;1930;1990;1990;1990;3;5;0;1;0;5;0;L60117;1930;1942;1960;x
Dager;600117;USA;1941;1990;1990;1990;3;5;128;1;0;5;0;L60118;1941;1947;1960;x
Dahlquist;600118;USA;1942;1943;1990;1990;2;7;128;2;0;5;0;L60119;1942;1970;1970;x
Daly C.M.;600119;USA;1938;1990;1990;1990;3;5;128;1;0;5;0;L60120;1938;1970;1970;x
Daniel;600120;USA;1942;1990;1990;1990;3;5;128;1;0;5;0;L60121;1942;1970;1970;x
Davidson;600121;USA;1939;1943;1990;1990;2;5;2;2;0;5;0;L60122;1939;1970;1970;x
Davis B.O.;600122;USA;1930;1990;1990;1990;3;6;0;1;0;5;0;L60123;1930;1970;1970;x
Davis R.G.;600123;USA;1943;1970;1971;1990;3;5;2;1;0;5;0;L60124;1943;1970;1970;x
de la Mesa Allan;600124;USA;1940;1990;1990;1990;3;5;1;1;0;5;0;L60125;1940;1946;1960;x
Dean;600125;USA;1942;1990;1990;1990;3;5;0;1;0;5;0;L60126;1942;1970;1970;x
Decker;600126;USA;1944;1952;1956;1990;2;7;4;2;0;5;0;L60127;1944;1970;1970;x
Devers;600127;USA;1940;1941;1943;1990;2;7;128;4;0;5;0;L60128;1940;1970;1970;x
Devine;600128;USA;1939;1990;1990;1990;3;6;128;1;0;5;0;L60129;1939;1970;1970;x
DeWitt;600129;USA;1930;1939;1943;1990;1;7;4;3;0;5;0;L60130;1930;1947;1960;x
Dillon;600130;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60131;1943;1970;1970;x
Doe;600131;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60132;1942;1970;1970;x
Donlon;600132;USA;1941;1990;1990;1990;3;5;64;1;0;5;0;L60133;1941;1945;1960;x
Donovan;600133;USA;1938;1990;1990;1990;3;4;2;1;0;5;0;L60134;1938;1943;1960;x
Drum;600134;USA;1930;1930;1990;1990;2;5;513;1;0;5;0;L60135;1930;1943;1960;x
DuBose T.J.;600135;USA;1943;1990;1990;1990;3;6;32768;1;0;5;2;L60136;1943;1970;1970;x
Dulaney;600136;USA;1945;1990;1990;1990;3;4;0;1;0;5;0;L60137;1945;1970;1970;x
Dunckel W.C.;600137;USA;1942;1990;1990;1990;3;4;64;1;0;5;0;L60138;1942;1970;1970;x
Dunkelberg;600138;USA;1943;1990;1990;1990;3;6;4;1;0;5;0;L60139;1943;1970;1970;x
Eagles;600139;USA;1943;1946;1990;1990;3;4;2;2;0;5;0;L60140;1943;1970;1970;x
Earnest H.L.;600140;USA;1942;1990;1990;1990;3;6;128;1;0;5;0;L60141;1942;1970;1970;x
Eddy;600141;USA;1942;1944;1990;1990;3;6;0;2;0;5;0;L60142;1942;1970;1970;x
Eddleman C.D.;600142;USA;1943;1955;1959;1990;3;5;4;2;0;5;0;L60143;1943;1970;1970;x
Eichelberger;600143;USA;1942;1942;1944;1990;2;6;4;3;0;5;0;L60144;1942;1947;1960;x
Eisenhower;600144;USA;1940;1942;1943;1944;0;9;5;5;0;5;0;L60145;1940;1970;1970;x
Ekman;600145;USA;1944;1990;1990;1990;3;5;128;1;0;5;0;L60146;1944;1970;1970;x
Embick;600146;USA;1938;1939;1990;1990;2;6;128;2;0;5;0;L60149;1938;1946;1960;x
Erskine G.B.;600147;USA;1942;1943;1990;1990;2;7;256;2;0;5;0;L60150;1942;1970;1970;x
Evans  C.;600148;USA;1942;1990;1990;1990;3;4;64;1;0;5;0;L60151;1942;1946;1960;x
Evans  V.;600149;USA;1942;1990;1990;1990;3;6;128;1;0;5;0;L60152;1942;1970;1970;x
Farrell;600150;USA;1943;1990;1990;1990;3;7;288;1;0;5;0;L60153;1943;1970;1970;x
Ferenbaugh;600151;USA;1944;1947;1990;1990;3;5;32;2;0;5;0;L60154;1944;1970;1970;x
Finley;600152;USA;1942;1990;1990;1990;3;5;4;1;0;5;0;L60155;1942;1946;1960;x
Fort;600153;USA;1939;1990;1990;1990;3;4;32;1;0;5;0;L60156;1939;1942;1960;x
Fortier L.J.;600154;USA;1944;1990;1990;1990;3;4;0;1;0;5;0;L60157;1944;1970;1970;x
Franke;600155;USA;1930;1990;1990;1990;3;5;64;1;0;5;0;L60158;1930;1944;1960;x
Fredendall;600156;USA;1938;1941;1990;1990;2;5;4;2;0;5;0;L60159;1938;1946;1960;x
Frederick;600157;USA;1944;1990;1990;1990;3;6;4;1;0;5;0;L60160;1944;1952;1960;x
Freeman;600158;USA;1943;1946;1990;1990;3;7;32;2;0;5;0;L60161;1943;1970;1970;x
Fry;600159;USA;1944;1990;1990;1990;3;5;0;1;0;5;0;L60162;1944;1970;1970;x
Fuller;600160;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60163;1941;1946;1960;x
Futch T.L.;600161;USA;1941;1990;1990;1990;3;5;64;1;0;5;0;L60164;1941;1970;1970;x
Gaffey;600162;USA;1943;1990;1990;1990;3;6;128;1;0;5;0;L60165;1943;1946;1960;x
Gallagher;600163;USA;1939;1990;1990;1990;3;6;1;1;0;5;0;L60166;1939;1970;1970;x
Gavin;600164;USA;1942;1944;1990;1990;2;7;256;2;0;5;0;L60167;1942;1970;1970;x
Gay;600165;USA;1941;1943;1990;1990;2;6;128;2;0;5;0;L60168;1941;1970;1970;x
Geiger R.S.;600166;USA;1942;1943;1990;1990;2;8;261;2;0;5;0;L60169;1942;1947;1960;x
Gerhardt;600167;USA;1942;1990;1990;1990;3;5;0;1;0;5;0;L60170;1942;1970;1970;x
Gerow  L.S.;600168;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60171;1942;1970;1970;x
Gerow  L.T.;600169;USA;1939;1945;1954;1990;2;7;4;3;0;5;0;L60172;1939;1970;1970;x
Gill W.H.;600170;USA;1938;1990;1990;1990;3;5;0;1;0;5;0;L60174;1938;1970;1970;x
Gillem A.C.;600171;USA;1939;1943;1990;1990;2;6;128;2;0;5;0;L60175;1939;1970;1970;x
Ginsburgh;600172;USA;1930;1990;1990;1990;3;7;16;1;0;5;0;L60176;1930;1945;1960;x
Greene;600173;USA;1938;1990;1990;1990;3;6;128;1;0;5;0;L60178;1938;1946;1960;x
Gregory;600174;USA;1930;1940;1990;1990;2;4;1;2;0;5;0;L60179;1930;1946;1960;x
Griffith;600175;USA;1938;1990;1990;1990;3;5;1;1;0;5;0;L60180;1938;1945;1960;x
Griner G.W.;600176;USA;1942;1990;1990;1990;3;5;256;1;0;5;0;L60181;1942;1970;1970;x
Griswold;600177;USA;1930;1941;1990;1990;2;5;5;2;0;5;0;L60182;1930;1947;1960;x
Groves;600178;USA;1942;1944;1990;1990;2;4;32;2;0;5;0;L60183;1942;1970;1970;x
Grow;600179;USA;1930;1990;1990;1990;3;6;128;1;0;5;0;L60184;1930;1970;1970;x
Gruenther;600180;USA;1941;1944;1990;1990;3;7;4;2;0;5;0;L60185;1941;1970;1970;x
Grunert;600181;USA;1938;1940;1990;1990;2;5;1;1;0;5;0;L60186;1938;1945;1960;x
Guthrie;600182;USA;1944;1990;1990;1990;3;6;5;1;0;5;0;L60187;1944;1970;1970;x
Haffner;600183;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60188;1941;1945;1960;x
Haines;600184;USA;1938;1990;1990;1990;3;4;0;1;0;5;0;L60189;1938;1945;1960;x
Haislip W.H.;600185;USA;1940;1945;1949;1990;1;6;4;3;0;5;0;L60190;1940;1970;1970;x
Hall C.H.;600186;USA;1939;1942;1990;1990;2;5;0;1;0;5;0;L60191;1939;1970;1970;x
Handy T.T.;600187;USA;1940;1944;1945;1990;2;7;4;3;0;5;0;L60192;1940;1970;1970;x
Hardaway;600188;USA;1938;1990;1990;1990;3;5;2;1;0;5;0;L60193;1938;1970;1970;x
Harding  E.F.;600189;USA;1938;1990;1990;1990;2;4;0;1;0;5;0;L60194;1938;1946;1960;x
Harding  N.B.;600190;USA;1942;1990;1990;1990;3;5;32768;1;0;5;2;L60195;1942;1970;1970;x
Harmon;600191;USA;1939;1946;1990;1990;3;6;128;2;0;5;0;L60196;1939;1970;1970;x
Harper;600192;USA;1930;1939;1990;1990;2;4;2;2;0;5;0;L60197;1930;1942;1960;x
Harris C.S.;600193;USA;1944;1990;1990;1990;3;5;64;1;0;5;0;L60198;1944;1970;1970;x
Harrison jr.;600194;USA;1942;1990;1990;1990;3;6;4;1;0;5;0;L60199;1942;1970;1970;x
Harrold;600195;USA;1943;1990;1990;1990;3;5;128;1;0;5;0;L60200;1943;1970;1970;x
Hart F.A.;600196;USA;1944;1946;1990;1990;3;7;260;2;0;5;0;L60201;1944;1970;1970;x
Hartness H.N.;600197;USA;1941;1990;1990;1990;3;5;0;1;0;5;0;L60202;1941;1970;1970;x
Haskell;600198;USA;1930;1930;1990;1990;2;4;0;1;0;5;0;L60203;1930;1942;1960;x
Hasbrouck;600199;USA;1942;1990;1990;1990;3;5;128;1;0;5;0;L60204;1942;1947;1960;x
Hayden;600200;USA;1944;1990;1990;1990;3;4;0;1;0;5;0;L60205;1944;1970;1970;x
Hays G.P.;600201;USA;1942;1944;1990;1990;2;5;256;2;0;5;0;L60206;1942;1970;1970;x
Hendrix R.R.;600202;USA;1942;1990;1990;1990;3;4;2;1;0;5;0;L60207;1942;1970;1970;x
Herren T.W.;600203;USA;1930;1954;1990;1990;2;4;0;1;0;5;0;L60208;1930;1970;1970;x
