Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Auuro Beujon;270000;VEN;1939;1990;1990;1990;3;6;288;0;0;5;0;L270000;1939;1944;1960;x
Betancourt Bello;270001;VEN;1939;1942;1990;1990;2;4;4;1;0;3;0;L270001;1939;1960;1960;x
Cardenas Arias;270002;VEN;1942;1990;1990;1990;3;3;0;0;0;5;0;L270002;1942;1960;1960;x
Contreras Villalobos;270003;VEN;1944;1946;1990;1990;2;4;4;1;0;3;0;L270003;1944;1960;1960;x
Delgado Chalbaud;270004;VEN;1944;1945;1990;1990;2;4;1;1;0;4;0;L270004;1944;1950;1960;x
de la Piríe;270005;VEN;1930;1990;1990;1990;3;3;1;0;0;5;0;L270005;1930;1942;1960;x
Elías Guiterrez;270006;VEN;1930;1930;1941;1990;1;4;2;2;0;5;0;L270006;1930;1945;1960;x
Fernandez Ortiz;270007;VEN;1930;1990;1990;1990;3;4;256;0;0;5;0;L270007;1930;1941;1960;x
Garcia Mendoza;270008;VEN;1942;1990;1990;1990;3;3;1;0;0;4;0;L270008;1942;1960;1960;x
Gonzalez Lopez;270009;VEN;1944;1946;1990;1990;2;4;128;2;0;4;0;L270009;1944;1960;1960;x
Guilarte Figueroa;270010;VEN;1939;1942;1990;1990;2;3;4;1;0;4;0;L270010;1939;1946;1960;x
Larrazabal Ugueto;270011;VEN;1945;1950;1952;1990;1;5;128;2;0;2;0;L270011;1945;1960;1960;x
Leoni Otero;270012;VEN;1942;1944;1990;1990;2;3;0;1;0;3;0;L270012;1942;1960;1960;x
Lopez Contreras;270013;VEN;1930;1930;1930;1990;1;6;513;1;0;5;0;L270013;1930;1944;1960;x
Lopez Henriques;270014;VEN;1930;1990;1990;1990;3;3;64;0;0;4;0;L270014;1930;1940;1960;x
Lopez Marino;270015;VEN;1930;1939;1990;1990;3;4;0;1;0;5;0;L270015;1930;1943;1960;x
Lopez Pérez;270016;VEN;1942;1990;1990;1990;3;3;256;0;0;4;0;L270016;1942;1947;1960;x
