Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abalan;542000;VIE;1939;1990;1990;1990;3;3;128;0;0;5;0;L542000;1939;1960;1960;x
Baucheron de Boissoudy;542001;VIE;1943;1990;1990;1990;3;3;2;0;0;5;0;L542001;1943;1960;1960;x
Bao Dai;542002;VIE;1930;1930;1930;1930;0;1;0;0;0;5;0;L542002;1930;1960;1960;x
Bernardino;542003;VIE;1941;1990;1990;1990;3;4;256;0;0;5;0;L542003;1941;1960;1960;x
Chavanac;542004;VIE;1941;1990;1990;1990;3;3;64;0;0;5;0;L542004;1941;1960;1960;x
Decoux;542005;VIE;1930;1940;1990;1990;2;3;4;1;0;5;0;M542006;1930;1946;1960;x
de Beauharné;542006;VIE;1930;1930;1990;1990;2;4;514;1;0;5;0;M542008;1930;1940;1960;x
d'Hers;542007;VIE;1940;1990;1990;1990;3;2;1;0;0;5;0;L542007;1940;1960;1960;x
de la Poype;542008;VIE;1943;1990;1990;1990;3;3;32;0;0;5;0;L542008;1943;1960;1960;x
Duc Dat;542009;VIE;1944;1990;1990;1990;3;2;1;0;0;5;0;L542009;1944;1960;1960;x
Duong Van Minh;542010;VIE;1943;1947;1990;1990;3;3;128;1;0;5;0;M542046;1943;1960;1960;x
Fabrichet;542011;VIE;1930;1990;1990;1990;3;4;514;1;0;5;0;L542011;1930;1946;1960;x
Fourcaud;542012;VIE;1941;1990;1990;1990;3;4;5;0;0;5;0;L542012;1941;1960;1960;x
Germain;542013;VIE;1940;1990;1990;1990;3;3;4;0;0;5;0;L542013;1940;1960;1960;x
Hasey;542014;VIE;1943;1990;1990;1990;3;3;32;0;0;5;0;L542014;1943;1960;1960;x
Hoang Minh Chao;542015;VIE;1939;1943;1990;1990;2;4;16;1;0;5;0;L542015;1939;1960;1960;x
Ho Chi Minh;542016;VIE;1930;1930;1930;1990;1;6;3;3;0;5;0;M542047;1930;1960;1960;x
Iehlé;542017;VIE;1940;1943;1990;1990;2;4;256;1;0;5;0;M542037;1940;1960;1960;x
Jore;542018;VIE;1930;1939;1940;1990;1;4;64;3;0;5;0;M542021;1930;1960;1960;x
le Cocq;542019;VIE;1938;1990;1990;1990;3;4;256;0;0;5;0;L542019;1938;1945;1960;x
le Coniac de la Longrays;542020;VIE;1941;1943;1946;1990;2;5;5;3;0;5;0;L542020;1941;1960;1960;x
Le Duan;542021;VIE;1930;1940;1945;1990;1;6;1;3;0;5;0;L542021;1930;1960;1960;x
Le Van Kim;542022;VIE;1944;1990;1990;1990;3;2;1;0;0;5;0;L542022;1944;1960;1960;x
Livry-Level;542023;VIE;1940;1944;1990;1990;2;4;4;2;0;5;0;L542023;1940;1960;1960;x
Magné;542024;VIE;1938;1944;1990;1990;2;4;64;1;0;5;0;L542024;1938;1960;1960;x
Ne Van Chinh;542025;VIE;1945;1990;1990;1990;3;2;128;0;0;5;0;L542025;1945;1960;1960;x
Nguyen Cao The;542026;VIE;1945;1990;1990;1990;3;2;0;0;0;5;0;L542026;1945;1960;1960;x
