Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ahmad al Hamid;320000;YEM;1939;1943;1990;1990;2;1;0;1;0;5;0;L320000;1939;1960;1960;x
al Qader al Husseini;320001;YEM;1940;1943;1945;1990;2;3;16;2;0;2;0;L320001;1940;1960;1960;x
al Zakari;320002;YEM;1937;1990;1990;1990;3;2;0;0;0;4;0;L320002;1937;1944;1960;x
Buckley;320003;YEM;1930;1990;1990;1990;3;3;32;0;0;5;0;L320003;1930;1940;1960;x
Fawzi al Kaukji;320004;YEM;1930;1990;1990;1990;3;2;4;0;0;3;0;L320004;1930;1941;1960;x
Hackett;320005;YEM;1930;1938;1990;1990;3;3;256;1;0;5;0;L320005;1930;1942;1960;x
Husseini al Hamid;320006;YEM;1930;1930;1990;1990;2;2;0;0;0;5;0;L320006;1930;1943;1960;x
Leggatt;320007;YEM;1930;1930;1990;1990;2;2;1;0;0;4;0;L320007;1930;1940;1960;x
Mansur al Badr;320008;YEM;1943;1946;1990;1990;2;2;1;1;0;5;0;L320008;1943;1960;1960;x
Montgomerie-Clives;320009;YEM;1930;1930;1990;1990;2;3;2;0;0;5;0;L320009;1930;1940;1960;x
Mousa Ahmed;320010;YEM;1938;1990;1990;1990;3;2;4;0;0;4;0;L320010;1938;1943;1960;x
Pointer;320011;YEM;1941;1943;1990;1990;2;3;128;1;0;5;0;L320011;1941;1960;1960;x
Rassi;320012;YEM;1930;1990;1990;1990;3;2;64;0;0;3;0;L320012;1930;1942;1960;x
Shuqeri;320013;YEM;1930;1930;1930;1990;1;2;513;1;0;4;0;L320013;1930;1939;1960;x
Spinls Pasha;320014;YEM;1930;1930;1990;1990;2;3;1;1;0;5;0;L320014;1930;1941;1960;x
Yahya al Hamid;320015;YEM;1930;1930;1930;1930;0;2;513;1;0;5;0;L320015;1930;1960;1960;x
Trelawny;320016;YEM;1930;1939;1942;1990;2;3;0;2;0;5;1;L320016;1930;1960;1960;x
Dixon;320017;YEM;1941;1990;1990;1990;3;3;4096;0;0;5;2;L320017;1941;1946;1960;x
Gibbes;320018;YEM;1939;1990;1990;1990;3;3;0;0;0;5;2;L320018;1939;1946;1960;x
Halukeh;320019;YEM;1939;1941;1990;1990;3;2;0;1;0;3;2;L320019;1939;1960;1960;x
Pointer;320020;YEM;1941;1943;1990;1990;2;2;0;1;0;5;2;L320020;1941;1960;1960;x
Spinls Pasha;320021;YEM;1930;1930;1990;1990;2;2;0;0;0;5;2;L320021;1930;1941;1960;x
Commander;320900;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320901;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320902;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320903;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320904;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320905;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320906;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320907;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320908;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320909;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320910;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320911;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320912;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320913;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320914;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320915;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320916;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320917;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320918;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320919;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320920;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320921;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320922;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320923;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320924;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320925;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320926;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320927;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320928;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320929;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320930;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320931;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320932;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320933;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320934;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320935;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320936;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320937;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;320938;YEM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
