Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adamocic;46000;YUG;1930;1938;1990;1990;2;5;0;0;0;3;0;L46000;1930;1960;1960;x
Bajolasic;46001;YUG;1942;1990;1990;1990;3;6;16;0;0;2;0;L46001;1942;1960;1960;x
Bozovic;46002;YUG;1939;1990;1990;1990;3;5;64;0;0;3;0;L46002;1939;1960;1960;x
Brasic;46003;YUG;1930;1930;1930;1990;1;5;514;1;0;5;0;L46003;1930;1960;1960;x
Broz Tito;46004;YUG;1930;1930;1943;1944;0;9;16;3;0;1;0;L46004;1942;1960;1960;x
Cincar-Markovic;46005;YUG;1930;1930;1990;1990;2;4;2;0;0;4;0;L46005;1930;1960;1960;x
Djujic;46006;YUG;1942;1990;1990;1990;3;6;16;0;0;3;0;L46006;1942;1946;1960;x
Dragicevic;46007;YUG;1930;1930;1990;1990;2;5;514;1;0;2;0;L46007;1930;1940;1960;x
Glisic;46008;YUG;1940;1943;1990;1990;3;6;4;1;0;4;0;L46008;1940;1960;1960;x
Glokovac;46009;YUG;1930;1990;1990;1990;3;4;64;0;0;5;0;L46009;1930;1943;1960;x
Ilic;46010;YUG;1930;1930;1941;1990;2;5;2;1;0;4;0;L46010;1930;1960;1960;x
Ivetic;46011;YUG;1939;1990;1990;1990;3;4;32;0;0;4;0;L46011;1939;1960;1960;x
Jankovic;46012;YUG;1940;1945;1990;1990;3;5;0;1;0;4;0;L46012;1940;1960;1960;x
Joksimovic;46013;YUG;1930;1990;1990;1990;3;4;0;0;0;3;0;L46013;1930;1960;1960;x
Jovanovic;46014;YUG;1942;1943;1944;1990;2;7;16;3;0;3;0;L46014;1942;1960;1960;x
Kosic;46015;YUG;1930;1930;1930;1990;1;5;2;1;0;4;0;L46015;1930;1960;1960;x
Kovac;46016;YUG;1942;1990;1990;1990;3;5;16;0;0;3;0;L46016;1942;1960;1960;x
Kukavicic;46017;YUG;1930;1938;1990;1990;2;5;0;1;0;3;0;L46017;1930;1960;1960;x
Laxa;46018;YUG;1930;1930;1930;1990;1;7;514;1;0;2;0;L46018;1930;1960;1960;x
Ljotie;46019;YUG;1940;1990;1990;1990;3;4;0;0;0;1;0;L46019;1940;1945;1960;x
Lukic;46020;YUG;1930;1939;1990;1990;2;5;0;1;0;3;0;L46020;1930;1960;1960;x
Majstorovic;46021;YUG;1940;1990;1990;1990;3;4;0;0;0;3;0;L46021;1940;1960;1960;x
