Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Belovsky;5810000;CYN;1930;1990;1990;1990;3;2;0;0;0;5;0;L501000;1930;1960;1960;x
Golpurchin;5810001;CYN;1930;1930;1930;1990;1;2;0;1;0;5;0;L501001;1930;1960;1960;x
Krustin;5810002;CYN;1930;1990;1990;1990;3;2;128;0;0;5;0;L501002;1930;1960;1960;x
Kurukikov;5810003;CYN;1930;1990;1990;1990;3;2;8;0;0;5;0;L501003;1930;1960;1960;x
Liu Wen-hui;5810004;CYN;1930;1938;1990;1990;2;3;2;1;0;2;0;L50218;1930;1960;1960;x
Lu Han;5810005;CYN;1930;1930;1990;1990;2;2;2;0;0;3;0;L50228;1930;1943;1960;x
Long Yun;5810006;CYN;1930;1930;1930;1990;1;3;16;1;0;2;0;L50232;1930;1960;1960;x
Mozh-Rüttel;5810007;CYN;1930;1990;1990;1990;3;2;4;0;0;5;0;L501007;1930;1960;1960;x
Putelkin;5810008;CYN;1930;1930;1990;1990;2;2;256;0;0;5;0;L501008;1930;1960;1960;x
Shaposchirtin;5810009;CYN;1930;1930;1990;1990;2;2;1;0;0;5;0;L501009;1930;1960;1960;x
von Hesselkammer;5810010;CYN;1930;1930;1990;1990;2;3;2;0;0;5;0;L501010;1930;1960;1960;x
Kurukikov;5810011;CYN;1930;1990;1990;1990;3;1;0;0;0;5;1;L501003;1930;1960;1960;x
Long Yun;5810012;CYN;1930;1930;1930;1990;1;1;0;0;0;2;1;L50232;1930;1960;1960;x
Putelkin;5810013;CYN;1930;1930;1990;1990;2;2;0;0;0;5;1;L501008;1930;1960;1960;x
Bozenkov;5810014;CYN;1930;1990;1990;1990;2;2;4096;0;0;5;2;L501014;1930;1960;1960;x
Krelnikov;5810015;CYN;1930;1990;1990;1990;3;2;0;0;0;5;2;L501015;1930;1960;1960;x
Lu Han;5810016;CYN;1930;1930;1990;1990;2;1;0;0;0;3;2;L50228;1930;1943;1960;x
Zhaprosenkov;5810017;CYN;1930;1990;1990;1990;3;2;0;0;0;5;2;L501017;1930;1960;1960;x
Eberhard;5810018;CYN;1930;1930;1990;1990;2;4;518;1;0;5;0;L501018;1930;1945;1960;x
Kattner;5810019;CYN;1930;1930;1990;1990;2;1;2;1;0;5;0;L501019;1945;1960;1960;x
Chen Shufan;5810021;CYN;1910;1935;1935;1935;3;7;2;3;0;1;0;unknownleader;1908;1935;1999;x
Chen Jiongming;5810022;CYN;1910;1935;1935;1935;3;7;2;3;0;1;0;2130;1908;1935;1999;x
Cai E;5810023;CYN;1910;1911;1914;1935;3;7;2;3;0;1;0;2131;1908;1935;1999;x
Tang Jiyao;5810024;CYN;1910;1914;1917;1935;3;5;0;3;0;1;0;2132;1908;1935;1999;x
Yin Cheng;5810025;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;2133;1908;1935;1999;x
Li Liejun;5810026;CYN;1910;1914;1935;1935;3;5;4;2;0;5;0;2134;1908;1917;1999;x
Lu Rongting;5810027;CYN;1910;1917;1935;1935;3;5;0;2;0;1;0;2135;1908;1935;1999;x
Chen Huan;5810028;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;2136;1908;1935;1999;x
Liu Hsien-Shih;5810029;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;unknownleader;1908;1935;1999;x
Xiong Kewu;5810030;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;unknownleader;1908;1935;1999;x
Hu Jingyi;5810031;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;unknownleader;1908;1935;1999;x
Zhang Jingyao;5810032;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;2137;1908;1917;1999;x
Zhang Peijue;5810033;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;unknownleader;1908;1935;1999;x
Pu Dianjun;5810034;CYN;1910;1935;1935;1935;3;5;4;1;0;5;0;unknownleader;1908;1935;1999;x
An Enpu;5810035;CYN;1931;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1931;1965;1999;x
Bai Tianmin;5810036;CYN;1936;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1936;1970;1999;x
Cheng Gang;5810037;CYN;1937;1942;1990;1990;2;3;0;1;0;4;0;6310;1937;1964;1999;x
Chen Jikai;5810038;CYN;1943;2010;2010;2010;3;2;0;0;0;4;0;unknownleader;1943;2004;2005;x
Chen Liangji;5810039;CYN;1938;1942;1990;1990;2;3;0;1;0;4;0;unknownleader;1938;1952;1999;x
Chen Yongsi;5810040;CYN;1944;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1944;1981;1999;x
Chen Zhuo;5810041;CYN;1945;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1945;1985;1999;x
Feng Chunshen;5810042;CYN;1938;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1938;1991;1999;x
Gan Fang;5810043;CYN;1928;1931;1990;1990;2;4;0;1;0;4;0;unknownleader;1928;1951;1999;x
Hui Ji;5810044;CYN;1933;1990;1990;1990;3;3;0;0;0;4;2;unknownleader;1933;1974;1999;x
Jiang Bin;5810045;CYN;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1937;1999;x
Jin Handing;5810046;CYN;1926;1927;1990;1990;2;3;0;1;0;4;0;6311;1926;1967;1999;x
Ji Yiqiao;5810047;CYN;1925;1926;1990;1990;2;2;0;0;0;4;0;unknownleader;1925;1976;1999;x
Li Shihan;5810048;CYN;1918;1990;1990;1990;3;3;0;1;0;4;0;unknownleader;1918;1958;1999;x
Liu Yaoyang;5810049;CYN;1930;1937;1990;1990;2;3;0;1;0;4;0;6312;1930;1962;1999;x
Ma Cong;5810050;CYN;1917;1936;1990;1990;2;2;0;0;0;4;0;unknownleader;1917;1961;1999;x
Ma Jiwu;5810051;CYN;1944;1990;1990;1990;3;2;0;1;0;4;0;unknownleader;1944;1962;1999;x
Ma Yin;5810052;CYN;1938;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1938;1980;1999;x
Ma Zhen;5810053;CYN;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1963;1999;x
Qiu Bingchang;5810054;CYN;1939;1945;1990;1990;2;3;0;1;0;4;0;unknownleader;1939;1978;1999;x
Tang Jilin;5810055;CYN;1937;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1937;1958;1999;x
Tian Zhongyi;5810056;CYN;1926;1943;1990;1990;2;4;0;1;0;4;0;unknownleader;1926;1972;1999;x
Wan Baobang;5810057;CYN;1938;1942;1990;1990;2;3;2;1;0;4;0;unknownleader;1938;1972;1999;x
Wang Jingxuan;5810058;CYN;1925;1933;1990;1990;2;2;0;0;0;4;0;unknownleader;1925;1956;1999;x
Wang Zhaokun;5810059;CYN;1937;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1937;1950;1999;x
Wang Zhaoxiang;5810060;CYN;1930;1990;1990;1990;3;1;0;0;0;4;0;unknownleader;1930;1952;1999;x
Xi Ziqiang;5810061;CYN;1917;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1917;1927;1999;x
Yang Chieh;5810062;CYN;1917;1917;1929;1990;1;3;0;1;0;4;0;6313;1917;1949;1999;x
Yang Hongguang;5810063;CYN;1938;1941;1990;1990;2;3;0;1;0;4;0;unknownleader;1938;1950;1999;x
Yin Longju;5810064;CYN;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1977;1999;x
Yuan Changrong;5810065;CYN;1929;1936;1990;1990;2;2;0;1;0;4;0;unknownleader;1929;1970;1999;x
Yuan Jixi;5810066;CYN;1927;1936;1990;1990;2;2;0;1;0;4;0;unknownleader;1927;1970;1999;x
Yu Jianxun;5810067;CYN;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1986;1999;x
Zhang Chong;5810068;CYN;1927;1938;1990;1990;2;3;0;1;0;4;0;6314;1927;1980;1999;x
Zhang Gongda;5810069;CYN;1939;1999;1999;1999;3;2;16;1;0;4;0;unknownleader;1939;1996;1999;x
Zhang Yougu;5810070;CYN;1931;1990;1990;1990;3;3;0;1;0;4;2;unknownleader;1931;1970;1999;x
Zhang Yuren;5810071;CYN;1926;1941;1990;1990;3;4;0;1;0;4;0;unknownleader;1926;1961;1999;x
Zhang Jiliang;5810072;CYN;1921;1990;1990;1990;3;4;0;1;0;4;0;unknownleader;1921;1952;1999;x
Hu Ruoyu;5810073;CYN;1917;1927;1990;1990;2;3;0;0;0;4;0;unknownleader;1917;1949;1999;x
Commander;5810900;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810901;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810902;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810903;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810904;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810905;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810906;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810907;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810908;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810909;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810910;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810911;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810912;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810913;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810914;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810915;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810916;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810917;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810918;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810919;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810920;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810921;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810922;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810923;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810924;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810925;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810926;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810927;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810928;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810929;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;5810930;CYN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
