U24;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
935001;Head of State;Dwight D. Eisenhower;1933;1964;1964;SL;Popular Figurehead;Very High;M6137;X
935002;Head of Government;Lucius D. Clay;1933;1964;1964;SL;Old General;Very High;L60101;X
935003;Foreign Minister;Robert D. Murphy;1933;1964;1964;SL;Ideological Crusader;Very High;1002;X
935004;Minister of Armament;William H. Draper;1933;1964;1964;SL;Administrative Genius;Very High;998;X
935005;Minister of Security;Ernest N. Harmon;1933;1964;1964;SL;Crime Fighter;Very High;999;X
935006;Head of Military Intelligence;Robert A. McClure;1933;1964;1964;SL;Political Specialist;Very High;1000;X
935007;Chief of Staff;Joseph T. McNarney;1933;1964;1964;SL;School of Manoeuvre;Very High;1001;X
935008;Chief of Army;Lucian K. Truscott;1933;1964;1964;SL;Decisive Battle Doctrine;Very High;L60352;X
935009;Chief of Navy;Robert L. Ghormley;1933;1964;1964;SL;Base Control Doctrine;Very High;L60406;X
935010;Chief of Air Force;John K. Cannon;1933;1964;1964;SL;Air Superiority Doctrine;Very High;L60495;X
