U31;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X;
970001;Minister of Armament;Rudolf Slanský;1933;1953;1983;ST;Theoretical Scientist;Medium;M24024;X;
970002;Head of Military Intelligence;Zdenek Fierlinger;1933;1977;1977;ST;Political Specialist;Very High;M24026;X;
970003;Head of State;Edouard Benes;1945;1948;1948;ST;Pig-headed Isolationist;High;2379;X;
970005;Head of State;Klement Gottwald;1933;1953;1953;ST;Barking Buffoon;High;M24021;X;
970007;Head of Government;Gustav Husak;1933;1964;1964;ST;Political Protege;High;M24022;X;
970008;Foreign Minister;Vladimir Clementis;1933;1964;1964;ST;Great Compromiser;Medium;M24023;X;
970009;Foreign Minister;Gustav Husak;1941;1964;1964;ST;Iron Fisted Brute;High;M24022;X;
970010;Foreign Minister;Rudolf Slanský;1943;1953;1983;ST;the cloak n dagger schemer;High;M24024;X;
970011;Minister of Armament;Bohumil Stepanec;1933;1964;1964;ST;Tank Proponent;Medium;M24079;X;
970012;Minister of Armament;Karel Olmanec;1941;1964;1964;ST;laissez-faire capitalist;Medium;M24080;X;
970013;Minister of Armament;Rudolf Slanský;1945;1964;1964;ST;Theoretical Scientist;Medium;M24024;X;
970014;Minister of Security;Prokop Drtina;1933;1964;1964;ST;Man of the People;High;M24025;X;
970016;Minister of Security;Kristoph Emmerich;1941;1964;1964;ST;Silent Lawyer;Very High;M24097;X;
970017;Minister of Security;Jozef Zeman;1945;1964;1964;ST;Back Stabber;Very High;M24098;X;
970018;Head of Military Intelligence;Elias Kohn;1933;1964;1964;ST;Technical Specialist;High;M24041;X;
970019;Head of Military Intelligence;Rudolf Slanský;1940;1953;1983;ST;Political Specialist;High;M24024;X;
970020;Head of Military Intelligence;Zdenek Fierlinger;1945;1977;1977;ST;Dismal Enigma;Very High;M24026;X;
970021;Chief of Staff;Ludvik Svoboda;1933;1964;1964;ST;School of Mass Combat;High;M24027;X;
970022;Chief of Army;Ludvik Svoboda;1933;1964;1964;ST;Static Defence Doctrine;High;M24027;X;
970023;Chief of Navy;Klement Gottwald;1933;1964;1964;ST;Base Control Doctrine;High;M24021;X;
970024;Chief of Air Force;Jan Prokop;1933;1964;1964;ST;Vertical Envelopment Doctrine;High;M24030;X;
970025;Head of Government;Klement Gottwald;1945;1964;1964;ST;Backroom Backstabber;High;M24021;X;
970026;Head of State;Antonin Zapotocky;1953;1957;1957;ST;Pig-headed Isolationist;High;M24151;X;
970027;Head of Government;Antonin Novotny;1953;1976;1976;ST;Corporate Suit;High;M24152;X;
970028;Foreign Minister;Viliam Sirocky;1950;1972;1972;ST;Iron Fisted Brute;Medium;M24153;X;
970029;Minister of Armament;Ludvik Svoboda;1933;1964;1964;ST;Military Entrepreneur;Medium;M24027;X;
970030;Minister of Armament;Alexej Cepicka;1950;1964;1964;ST;Infantry Proponent;Medium;M24155;X;
970031;Minister of Security;Vaclav Nosek;1945;1964;1964;ST;Efficient Sociopath;Very High;M24156;X;
970032;Head of Military Intelligence;Prokop Drtina;1945;1964;1964;ST;Political Specialist;High;M24025;X;
970033;Head of Military Intelligence;Alexej Cepicka;1948;1964;1964;ST;Logistics Specialist;High;M24155;X;
970034;Head of Military Intelligence;Stefan Rais;1950;1964;1964;ST;Dismal Enigma;High;M24158;X;
970100;Head of Government;Zdenek Fierlinger;1944;1977;1977;ST;Old General;Very High;M24026;X;
970101;Head of Government;Viliam Sirocky;1953;1972;1972;ST;Ambitious Union Boss;Medium;M24153;X;
970102;Foreign Minister;Ján Masaryk;1945;1948;1960;ML;Great Compromiser;Very High;M24055;X;
970103;Head of Government;Antonin Zapotocky;1948;1957;1957;ST;Ambitious Union Boss;High;M24151;X;
970104;Head of State;Antonin Novotny;1957;1976;1976;LE;Benevolent Gentleman;High;M24152;X;
970105;Head of Government;Jozef Lenart;1963;2005;2005;LE;Backroom Backstabber;High;M970105;X;
970106;Head of State;Gustáv Husák;1985;2013;2013;LE;Weary Stiffneck;Very High;CZE1;X;
970107;Head of Government;Lubomír Štrougal;1985;2013;2013;LE;Ambitious Union Boss;Very High;CZE2;X;
970108;Foreign Minister;Bohuslav Chnoupek;1985;2013;2013;LE;Biased Intellectual;Very High;CZE3;X;
970109;Minister of Armament;Milán Václavík;1985;2013;2013;ST;Infantry Proponent;Very High;CZE4;X;
970110;Minister of Security;Josef Jung;1985;2013;2013;LE;Crime Fighter;Very High;M120163;X;
970111;Head of Military Intelligence;Josef Jung;1985;2013;2013;LE;Political Specialist;Very High;M120163;X;
970112;Chief of Staff;Milán Václavík;1985;2013;2013;ST;School of Fire Support;Very High;CZE4;X;
970113;Chief of Army;Milán Václavík;1985;2013;2013;ST;Armoured Spearhead Doctrine;Very High;CZE4;X;
970114;Chief of Navy;Milán Václavík;1985;2013;2013;ST;Indirect Approach Doctrine;Very High;CZE4;X;
970115;Chief of Air Force;Milán Václavík;1985;2013;2013;ST;Army Aviation Doctrine;Very High;CZE4;X;
