U98;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
900800;Head of State;Sir Arthur Fletcher;1936;1964;1964;ML;Insignificant Layman;Very High;tobago1;x
900801;Head of Government;Albert Gomes;1936;1964;1964;SL;Happy Amateur;Very High;tobago2;x
900802;Foreign Minister;Maurice Henry Dorman;1936;1964;1964;ML;Apologetic Clerk;Very High;tobago3;x
900803;Minister of Armament;Sir Arthur Fletcher;1936;1964;1964;SL;Theoretical Scientist;Very High;tobago1;x
900804;Head of State;Sir Hubert Winthrop Young;1936;1964;1964;SC;Resigned Generalissimo;Very High;M900822;x
900805;Head of Government;Tubal Uriah Butler;1936;1964;1964;LWR;Ambitious Union Boss;Very High;tobago4;x
900806;Head of State;C. L. R. James;1936;1964;1964;LE;Die-hard Reformer;Very High;tobago5;x
900807;Head of Government;C. L. R. James;1936;1964;1964;LE;Backroom Backstabber;Very High;tobago5;x
900808;Foreign Minister;George Padmore;1936;1964;1964;LE;Iron Fisted Brute;Very High;tobago6;x
900809;Minister of Armament;Tubal Uriah Butler;1936;1964;1964;LWR;Administrative Genius;Very High;tobago4;x
900810;Minister of Security;C. L. R. James;1936;1964;1964;LE;Man of the People;Very High;tobago5;x
900811;Head of Military Intelligence;Arthur Andrew Cipriani;1936;1964;1964;SD;Logistics Specialist;Very High;tobago7;x
900812;Chief of Staff;Arthur Andrew Cipriani;1936;1964;1964;SD;School of Mass Combat;Very High;tobago7;x
900813;Chief of Army;Arthur Andrew Cipriani;1936;1964;1964;SD;Elastic Defence Doctrine;Very High;tobago7;x
900814;Chief of Navy;Arthur Andrew Cipriani;1936;1964;1964;SD;Base Control Doctrine;Very High;tobago7;x
900815;Chief of Air Force;Hubert Julian;1936;1964;1964;SD;Air Superiority Doctrine;Very High;unknown;x
900816;Minister of Security;Noor Hassanali;1947;1964;1964;SL;Silent Lawyer;Very High;unknown;x
900817;Minister of Security;Patrick V.J. Solomon;1945;1964;1964;ML;Compassionate Gentleman;Very High;unknown;x
900818;Head of Government;Eric Williams;1944;1964;1964;SD;Happy Amateur;Very High;unknown;x
900819;Head of State;Sir Alfred Hollis;1936;1964;1964;SC;Resigned Generalissimo;Very High;M900819;x
900820;Head of Government;Sir Alfred Hollis;1936;1964;1964;SC;Political Protege;Very High;M900819;x
900821;Head of Government;Sir Arthur Fletcher;1937;1964;1964;SC;Naive Optimist;Very High;tobago1;x
900822;Head of Government;Sir Hubert Winthrop Young;1938;1964;1964;SC;Smiling Oilman;Very High;M900822;x
900823;Head of State;Sir Bede Clifford;1942;1964;1964;SC;Weary Stiffneck;Very High;M900823;x
900824;Head of Government;Sir Bede Clifford;1942;1964;1964;SC;Happy Amateur;Very High;M900823;x
900825;Head of State;Sir John Shaw;1947;1964;1964;SC;Insignificant Layman;Very High;M900825;x
900826;Head of Government;Sir John Shaw;1947;1964;1964;SC;Flamboyant Tough Guy;Very High;M900825;x
900827;Head of State;Sir Hubert Rance;1950;1964;1964;SC;Weary Stiffneck;Very High;M900827;x
900828;Head of Government;Sir Hubert Rance;1950;1964;1964;SC;Flamboyant Tough Guy;Very High;M900827;x
900829;Head of State;Sir Edward Beetham;1955;1980;1980;SC;Resigned Generalissimo;Very High;M900829;x
900830;Head of Government;Sir Edward Beetham;1955;1980;1980;SC;Naive Optimist;Very High;M900829;x
900831;Head of State;Sir Solomon Hochoy;1960;1984;1984;SC;Autocratic Charmer;Very High;M900831;x
