AFG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
155001;Head of State;Muhammed Zahir;1933;2008;2008;FA;Autocratic Charmer;Very High;M54001;X
155002;Head of Government;Muhammed Hashim;1933;1964;1964;FA;Happy Amateur;High;M54002;X
155003;Foreign Minister;Haji Faiz Muhammed Zikeria;1933;1964;1964;FA;Ideological Crusader;High;M54003;X
155004;Minister of Armament;Abdul Majid Zabuli;1933;1964;1964;FA;Laissez-Faire Capitalist;High;M54004;X
155005;Minister of Security;Muhammed Hashim;1933;1964;1964;FA;Crooked Kleptocrat;Medium;M54002;X
155006;Head of Military Intelligence;Shah Mahmud Ghazi;1933;1964;1964;FA;Dismal Enigma;Medium;M54006;X
155007;Chief of Staff;Mohammed Daoud;1933;1964;1964;FA;School of Psychology;High;M54007;X
155008;Chief of Army;Mohammed Daoud;1933;1964;1964;FA;Elastic Defence Doctrine;Medium;M54007;X
155009;Chief of Navy;Muhammed Zahir;1933;2008;2008;FA;Indirect Approach Doctrine;Medium;M54009;X
155010;Chief of Air Force;Mohammed Daoud;1933;1964;1964;FA;Army Aviation Doctrine;Medium;M54007;X
155011;Head of State;Muhammed Zahir;1939;2008;2008;SC;Benevolent Gentleman;High;M54001;X
155012;Head of State;Muhammed Zahir;1954;2008;2008;PA;Autocratic Charmer;Very High;M155012;X
155013;Head of Government;Muhammed Hashim;1939;1964;1964;SC;Happy Amateur;High;M54002;X
155014;Head of Government;Shah Mahmud Ghazi;1946;1964;1964;PA;Old General;High;M54006;X
155015;Foreign Minister;Abdul Hadi Dawai;1937;1964;1964;FA;Apologetic Clerk;High;M54013;X
155016;Foreign Minister;Amanullah;1933;1964;1964;FA;Ideological Crusader;Low;M54011;X
155017;Foreign Minister;Mohammed Daoud;1939;1964;1964;SC;Great Compromiser;Medium;M54007;X
155018;Foreign Minister;Wazir Akbar Khan;1942;1964;1964;SC;General Staffer;Medium;M54018;X
155019;Foreign Minister;Ali Muhammed Khan;1939;1964;1964;SC;Biased Intellectual;Medium;M54020;X
155020;Foreign Minister;Mohammed Etemadi Khan;1944;1964;1964;SC;The Cloak N Dagger Schemer;Medium;M54016;X
155021;Foreign Minister;Asadullah Seraj Khan;1945;1964;1964;PA;Iron Fisted Brute;High;M54031;X
155022;Minister of Armament;Mohammed Daoud;1937;1964;1964;FA;Air to Ground Proponent;Medium;M54007;X
155023;Minister of Armament;Italo Sergente;1938;1964;1964;FA;Tank Proponent;Low;M54033;X
155024;Minister of Armament;Bortolo Berlotti;1939;1964;1964;FA;Administrative Genius;Low;M54034;X
155025;Minister of Armament;Asadullah Seraj Khan;1939;1964;1964;SC;Infantry Proponent;Medium;M54031;X
155026;Minister of Armament;Haji Faiz Muhammed Zikeria;1940;1964;1964;SC;laissez-faire capitalist;High;M54003;X
155027;Minister of Armament;Nasirullah Husain;1940;1964;1964;SC;Battle Fleet Proponent;Medium;M54019;X
155028;Minister of Armament;Feruccio Serafini;1940;1964;1964;SC;Air Superiority Proponent;Medium;M54038;X
155029;Minister of Armament;Amanullah;1933;1964;1964;SC;Corrupt Kleptocrat;Low;M54011;X
155030;Minister of Armament;Massimo Pilotti;1941;1964;1964;SC;Theoretical Scientist;Medium;M54040;X
155031;Minister of Armament;Pompeo Aloisi;1943;1964;1964;SC;Military Entrepreneur;Medium;M54041;X
155032;Minister of Armament;Shah Wali Khan;1944;1964;1964;SC;Strategic Air Proponent;Medium;M54042;X
155033;Minister of Armament;Mohammed Etemadi Khan;1945;1964;1964;PA;Submarine Proponent;Medium;M54016;X
155034;Minister of Armament;Muhammed Nowroz;1946;1964;1964;PA;Resource Industrialist;High;M54044;X
155035;Minister of Armament;Ali Muhammed Khan;1947;1964;1964;PA;Air to Sea Proponent;Medium;M54020;X
155036;Minister of Security;Carlo Garbasso;1938;1964;1964;FA;Prince of Terror;High;M54046;X
155037;Minister of Security;Ghulam Faruq Usman;1939;1964;1964;FA;Crime Fighter;High;M54047;X
155038;Minister of Security;Ali Muhammed Khan;1939;1964;1964;SC;Efficient Sociopath;Medium;M54020;X
155039;Minister of Security;Muhammed Zahir;1941;1964;1964;SC;Man of the People;Medium;M54009;X
155040;Minister of Security;Ricci A. Busatti;1943;1964;1964;SC;Silent Lawyer;High;M54050;X
155041;Minister of Security;Abdul Majid Zabuli;1945;1964;1964;PA;Crooked Kleptocrat;High;M54004;X
155042;Minister of Security;Muhammed Ghobar;1946;1964;1964;PA;Back Stabber;Medium;M54015;X
155043;Minister of Security;Asadullah Seraj Khan;1947;1964;1964;PA;Compassionate Gentleman;High;M54031;X
155044;Head of Military Intelligence;Pietro Stoppani;1937;1964;1964;FA;Industrial Specialist;Medium;M54054;X
155045;Head of Military Intelligence;Carlo Schanzer;1938;1964;1964;FA;Technical Specialist;Medium;M54055;X
155046;Head of Military Intelligence;Carlo Enrico Barduzzi;1939;1964;1964;SC;Political Specialist;Medium;M54056;X
