AZB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
460001;Head of State;Nizham Narimanov;1933;1964;1964;LWR;Stern Imperialist;High;M516001;X
460002;Head of Government;Faraz Guzeinov;1933;1964;1964;LWR;Backroom Backstabber;High;M516002;X
460003;Foreign Minister;Suleyman Rustam;1933;1964;1964;LWR;The Cloak N Dagger Schemer;High;M516003;X
460004;Minister of Armament;Ilyas Afandiev;1933;1964;1964;LWR;Theoretical Scientist;Medium;M516004;X
460005;Minister of Security;Arash Bulbul;1933;1964;1964;LWR;Compassionate Gentleman;Medium;M516005;X
460006;Head of Military Intelligence;Rasul Reza;1933;1964;1964;LWR;Industrial Specialist;Medium;M516006;X
460007;Chief of Staff;Mahmud Nuri Berköz;1933;1964;1964;LWR;School of Mass Combat;Medium;M516007;X
460008;Chief of Army;Khalil Mamedov;1933;1964;1964;LWR;Elastic Defence Doctrine;Medium;M516008;X
460009;Chief of Navy;Kambiz Krasnoshapka;1933;1964;1964;LWR;Open Seas Doctrine;High;M516009;X
460010;Chief of Air Force;Gurgen Voskan Kamalyan;1933;1964;1964;LWR;Air Superiority Doctrine;Medium;M516010;X
460011;Head of State;Rajib Kulbenzhian;1933;1964;1964;ML;Barking Buffoon;High;M516011;X
460012;Head of Government;Suleyman Rustam;1933;1964;1964;SD;Smiling Oilman;High;M516003;X
460013;Head of Government;Arash Bulbul;1933;1964;1964;ML;Flamboyant Tough Guy;Medium;M516005;X
460014;Foreign Minister;Khaslatam Narimanov;1933;1964;1964;LWR;General Staffer;High;M516014;X
460015;Foreign Minister;Mammad Amin Rasulzade;1933;1964;1964;LWR;Biased Intellectual;High;M516015;X
460016;Foreign Minister;Arash Bulbul;1933;1964;1964;SD;Great Compromiser;Medium;M516005;X
460017;Foreign Minister;Mahammad Rahman;1933;1964;1964;ML;Iron Fisted Brute;Medium;M516017;X
460018;Minister of Armament;Mehdi Husein;1933;1964;1964;LWR;Tank Proponent;Medium;M516018;X
460019;Minister of Armament;Dr. Mahmood Ghasbalatam;1933;1964;1964;LWR;laissez-faire capitalist;Medium;M516019;X
460020;Minister of Armament;Amin Aziz;1933;1964;1964;LWR;Infantry Proponent;Medium;M516020;X
460021;Minister of Armament;Rajib Kulbenzhian;1933;1964;1964;SD;Corrupt Kleptocrat;High;M516011;X
460022;Minister of Armament;Ismayl Shikhali;1933;1964;1964;ML;Military Entrepreneur;High;M516022;X
460023;Minister of Security;Nigar Rafibelyi;1933;1964;1964;LWR;Crime Fighter;Medium;M516023;X
460024;Minister of Security;Sabat Rahman;1933;1964;1964;LWR;Silent Lawyer;Medium;M516024;X
460025;Minister of Security;Rasul Reza;1933;1964;1964;SD;Man of the People;Medium;M516006;X
460026;Minister of Security;Mirza Ibrahimov;1933;1964;1964;ML;Back Stabber;Medium;M516026;X
460027;Head of Military Intelligence;Nariman Narimanov;1933;1964;1964;LWR;Naval Intelligence Specialist;Medium;M516027;X
460028;Head of Military Intelligence;Soultanov Khosrov Ebk;1933;1964;1964;SD;Logistics Specialist;Medium;M516028;X
460029;Head of Military Intelligence;Rahmud Azizbayob;1933;1964;1964;ML;Dismal Enigma;Medium;M516029;X
460030;Chief of Staff;Samed Bey Mehmandarov;1933;1964;1964;SD;School of Defence;Medium;M516030;X
460031;Chief of Staff;Khalil Mamedov;1933;1964;1964;ML;School of Fire Support;Medium;M516008;X
460032;Chief of Army;Mahmud Nuri Berköz;1933;1964;1964;SD;Elastic Defence Doctrine;Medium;M516007;X
460033;Chief of Army;Soureb Hakop Gasparyan;1933;1964;1964;ML;Armoured Spearhead Doctrine;Medium;M516033;X
460034;Chief of Navy;Samed Bey Mehmandarov;1933;1964;1964;SD;Base Control Doctrine;High;M516030;X
460035;Chief of Navy;Ysmail Makhov;1933;1964;1964;ML;Indirect Approach Doctrine;High;M516035;X
460036;Chief of Air Force;Kambiz Krasnoshapka;1933;1964;1964;SD;Naval Aviation Doctrine;High;M516009;X
460037;Chief of Air Force;Andronik Abram Kazaryan;1933;1964;1964;ML;Army Aviation Doctrine;High;M516037;X
460038;Chief of Army;Mirza Husseynov;1920;1933;1964;LE;Elastic Defence Doctrine;Medium;5949;X
460039;Chief of Army;Narim Narimanov;1920;1933;1964;LE;Armoured Spearhead Doctrine;Medium;5950;X
460040;Chief of Staff;Mirza Husseynov;1920;1933;1964;LE;School of Defence;Medium;5949;X
460041;Chief of Staff;Narim Narimanov;1920;1933;1964;LE;School of Fire Support;Medium;5950;X
460042;Foreign Minister;Alimardanbey Topchubashov;1918;1933;1964;SL;Biased Intellectual;Medium;5951;X
460043;Head of Government;Fath Ali Khan Khoiski;1914;1933;1964;ML;Happy Amateur;Medium;5952;X
460044;Head of Government;Nasibbey Yusifbeyli;1919;1933;1964;ML;Happy Amateur;Medium;5953;X
460045;Head of Government;Mirza Husseynov;1920;1933;1964;ST;Backroom Backstabber;Medium;5949;X
460046;Head of Government;Narim Narimanov;1921;1933;1964;ST;Political Protege;Medium;5950;X
460047;Head of Government;Mukhtar Hajiyev;1921;1933;1964;ST;Flamboyant Tough Guy;Medium;unknown;X
460048;Head of Government;Samad Aliyev;1922;1933;1964;ST;Backroom Backstabber;Medium;5954;X
460049;Head of State;Memmed Resulzade;1914;1933;1964;ML;Insignificant Layman;Medium;5955;X
460050;Head of State;Alimardanbey Topchubashov;1918;1933;1964;ML;Insignificant Layman;Medium;5951;X
460051;Head of State;Mirza Husseynov;1920;1933;1964;ST;Popular Figurehead;Medium;5949;X
460052;Head of State;Narim Narimanov;1921;1933;1964;ST;Ruthless Powermonger;Medium;5950;X
460053;Head of State;Mukhtar Hajiyev;1921;1933;1964;ST;Stern Imperialist;Medium;unknown;X
460054;Head of State;Samad Aliyev;1922;1933;1964;ST;Weary Stiffneck;Medium;5954;X
460055;Minister of Security;Amir Aslan Khan Khoiski;1914;1933;1964;SL;Crime Fighter;Medium;unknown;X
460056;Minister of Security;Narim Narimanov;1921;1933;1964;LE;Silent Lawyer;Medium;5950;X
460057;Minister of Security;Gazanfar Musabekov;1922;1933;1964;LE;Man of the People;Medium;5956;X
460100;Head of State;Dzhafar Bagirov;1936;1964;1964;ST;Weary Stiffneck;Medium;M460100;X
460101;Head of Government;Huseyn Rakhmanov;1936;1964;1964;ST;Political Protege;Medium;M460101;X
460102;Head of Government;Teymur Kuliyev;1937;1964;1964;ST;Old Admiral;Medium;M460102;X
460103;Head of State;Teymur Yaqubov;1953;1964;1964;LE;Autocratic Charmer;Medium;M460103;X
460104;Head of State;Dashdemir Mustafayev;1954;1964;1964;LE;Barking Buffoon;Medium;M460104;X
460105;Head of Government;Sadykh Ragimov;1954;1964;1964;LE;Corporate Suit;Medium;M460105;X
460106;Head of Government;Veli Akhdunov;1958;1964;1964;LE;Naive Optimist;Medium;M460106;X
460107;Head of State;Veli Akhundov;1959;1964;1964;LE;Barking Buffoon;Medium;M460106;X
460108;Head of Government;Mamed Iskenderov;1959;1964;1964;LE;Corporate Suit;Medium;M460108;X
460109;Head of Government;Enver Alikhanov;1961;1964;1964;LE;Old Airmarshal;Medium;M460109;X
460110;Head of State;Heydar Aliyev;1969;2004;2004;LE;Stern Imperialist;Medium;M460110;X
460111;Head of Government;Ali Ibrahimov;1970;1981;1981;LE;Old General;Medium;M460111;X
460112;Head of Government;Hasan Seyidov;1981;1991;1991;LE;Old General;Medium;M460112;X
460113;Head of State;Kamran Baghirov;1982;2001;2001;LE;Resigned Generalissimo;Medium;M460113;X
460114;Head of State;Abdurrahman Vazirov;1988;2020;2020;LE;Insignificant Layman;Medium;M460114;X
460115;Head of Government;Ayaz Mutallibov;1989;2020;2020;LE;Old Admiral;Medium;AZB1;X
460116;Head of State;Ayaz Mutallibov;1980;2020;2020;SD;Weary Stiffneck;Very High;AZB1;X
460117;Head of Government;Hasan Hasanov;1980;2013;2013;SD;Ambitious Union Boss;Very High;AZB2;X
460118;Foreign Minister;Hasan Hasanov;1980;2013;2013;SD;Great Compromiser;Very High;AZB2;X
460119;Minister of Armament;Valeh Barshadly;1980;2013;2013;ML;Military Entrepreneur;Very High;unknown;X
460120;Minister of Security;Mahammad Asadov;1980;2013;2013;ML;Crime Fighter;Very High;unknown;X
460121;Head of Military Intelligence;Mahammad Asadov;1980;2013;2013;ML;Logistics Specialist;Very High;unknown;X
460122;Chief of Staff;Safar Abiyev;1980;2013;2013;ML;School of Fire Support;Very High;AZB3;X
460123;Chief of Army;Safar Abiyev;1980;2013;2013;ML;Decisive Battle Doctrine;Very High;AZB3;X
460124;Chief of Navy;Rafig Asgarov;1980;2013;2013;ML;Indirect Approach Doctrine;Very High;unknown;X
460125;Chief of Air Force;Rail Rzayev;1980;2013;2013;ML;Army Aviation Doctrine;Very High;AZB4;X
