DDR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
507001;Head of State;Johannes Dieckmann;1933;1970;1970;ST;Pig-headed Isolationist;High;M507001;X
507002;Head of Government;Otto Grotewohl;1933;1961;1961;ST;Political Protege;High;M507021;X
507003;Foreign Minister;Georg Dertinger;1933;1954;1954;LE;Ideological Crusader;High;M507003;X
507004;Minister of Armament;Wilhelm Pieck;1933;1960;1960;ST;Theoretical Scientist;High;M507016;X
507005;Minister of Security;Karl Steinhoff;1933;1954;1954;ST;Crooked Kleptocrat;Low;DDR_Karl Steinhoff;X
507006;Head of Military Intelligence;Wilhelm Zaisser;1933;1958;1958;ST;Political Specialist;Very High;M507006;X
507007;Chief of Staff;Ernst Friedrich Wollweber;1933;1958;1958;ST;School of Mass Combat;Very High;M27;X
507008;Chief of Army;Hans Kahle;1933;1947;1947;ST;Decisive Battle Doctrine;Very High;M28;X
507009;Chief of Navy;Waldemar Verner;1933;1979;1979;ST;Base Control Doctrine;Very High;DDR_Waldemar Verner;X
507010;Chief of Air Force;Walter Lehweß-Litzmann;1933;1971;1971;LE;Naval Aviation Doctrine;Very High;DDR_WalterLehweßLitzmann;X
507011;Head of State;Walther von Seydlitz-Kurzbach;1933;1949;1949;LWR;Resigned Generalissimo;Medium;DDR_WaltherKurzbach;X
507012;Head of State;Erich Weinert;1933;1949;1949;LWR;Insignificant Layman;Medium;M152;X
507013;Head of State;Wilhelm Pieck;1949;1960;1960;ST;Insignificant Layman;High;M507016;X
507014;Head of State;Walter Ulbricht;1960;1974;1974;LE;Ruthless Powermonger;Medium;DDR_Walter Ulbricht;X
507015;Head of State;Willi Stoph;1973;1990;1990;ST;Resigned Generalissimo;Medium;M507004;X
507016;Head of State;Friedrich Ebert;1973;1980;1980;ST;Insignificant Layman;Medium;DDR_Friedrich Ebert;X
507017;Head of State;Erich Honecker;1976;1990;1990;ST;Pig-headed Isolationist;Medium;DDR_Erich Honecker;X
507018;Head of State;Egon Krenz;1989;2004;2012;ST;Stern Imperialist;Medium;DDR_Egon Krenz;X
507019;Head of State;Manfred Gerlach;1989;2012;2012;SD;Insignificant Layman;Medium;DDR_Manfred Gerlach;X
507020;Head of State;Sabine Bergmann-Pohl;1990;2012;2012;SD;Popular Figurehead;Medium;DDR_Sabine Bergmann-Pohl;X
507021;Head of Government;Heinrich Graf von Einsiedel;1933;1948;1948;LWR;Old Airmarshal;Medium;DDR_HeinrichGrafEinsiedel;X
507022;Head of Government;Walter Ulbricht;1933;1972;1972;ST;Ambitious Union Boss;High;M53;X
507023;Head of Government;Willi Stoph;1964;1990;1990;ST;Old General;Medium;M507004;X
507024;Head of Government;Horst Sindermann;1973;1991;1991;LE;Naive Optimist;Medium;DDR_Horst Sindermann;X
507025;Head of Government;Hans Modrow;1989;2012;2012;LE;Ambitious Union Boss;Medium;DDR_Hans Modrow;X
507026;Head of Government;Lothar de Maiziere;1990;2012;2012;SD;Silent Workhorse;Medium;DDR_Lothar de Maiziere;X
507027;Foreign Minister;Anton Ackermann;1933;1949;1949;LWR;Great Compromiser;Medium;M507012;X
507028;Foreign Minister;Heinrich Graf von Einsiedel;1933;1948;1948;LWR;General Staffer;Medium;DDR_HeinrichGrafEinsiedel;X
507029;Foreign Minister;Walter Ulbricht;1933;1953;1953;ST;The Cloak N Dagger Schemer;High;M53;X
507030;Foreign Minister;Anton Ackermann;1953;1954;1954;LE;Great Compromiser;High;M507012;X
507031;Foreign Minister;Lothar Bolz;1953;1966;1966;LE;Biased Intellectual;Medium;DDR_Lothar Bolz;X
507032;Foreign Minister;Otto Winzer;1965;1976;1976;ST;Biased Intellectual;Medium;DDR_Otto Winzer;X
507033;Foreign Minister;Oskar Fischer;1975;1991;1991;ST;General Staffer;Medium;DDR_Oskar Fischer;X
507034;Foreign Minister;Markus Meckel;1990;2012;2012;SD;Great Compromiser;Medium;DDR_Markus Meckel;X
507035;Foreign Minister;Lothar de Maiziere;1990;2012;2012;SD;Great Compromiser;Medium;DDR_Lothar de Maiziere;X
507036;Minister of Armament;Luitpold Steidle;1933;1958;1958;LWR;Resource Industrialist;Medium;DDR_LuitpoldSteidle;X
507037;Minister of Armament;Albert Schreiner;1933;1949;1949;LE;Military Entrepreneur;Medium;DDR_AlbertSchreiner;X
507038;Minister of Armament;Heinrich Rau;1933;1961;1961;LE;Resource Industrialist;Medium;DDR_HeinrichRau;X
507039;Minister of Armament;Jakob Kaiser;1933;1957;1957;LE;Military Entrepreneur;High;M507014;X
507040;Minister of Armament;Franz Dahlem;1933;1982;1982;LE;Theoretical Scientist;Medium;DDR_FranzDahlem;X
507041;Minister of Armament;Wilhelm Zaisser;1949;1953;1953;LE;Infantry Proponent;Medium;M507006;X
507042;Minister of Armament;Heinz Zorn;1950;1956;1956;LE;Air to Ground Proponent;Medium;unknown;X
507043;Minister of Armament;Heinz Hoffmann;1950;1986;1986;LE;Military Entrepreneur;Medium;DDR_Heinz Hoffmann;X
507044;Minister of Armament;Willi Stoph;1956;1960;1960;ST;laissez-faire capitalist;High;M507004;X
507045;Minister of Armament;Erich Apel;1958;1966;1966;LE;Resource Industrialist;Medium;DDR_Erich Apel;X
507046;Minister of Armament;Heinz Kessler;1985;1991;1991;ST;Air to Ground Proponent;Medium;DDR_Heinz Kessler;X
507047;Minister of Armament;Theodor Hoffmann;1989;1991;1991;ST;Battle Fleet Proponent;Medium;DDR_Theodor Hoffmann;X
507048;Minister of Armament;Rainer Eppelmann;1990;2012;2012;SD;laissez-faire capitalist;Medium;DDR_Rainer Eppelmann;X
507049;Minister of Security;Friedrich-Wilhelm Krummacher;1933;1949;1949;LWR;Efficient Sociopath;Medium;DDR_FriedrichWilhelmKrummacher;X
507050;Minister of Security;Luitpold Steidle;1933;1949;1949;LWR;Man of the People;Medium;DDR_LuitpoldSteidle;X
507051;Minister of Security;Franz Dahlem;1933;1982;1982;LE;Efficient Sociopath;Medium;DDR_FranzDahlem;X
507052;Minister of Security;Wilhelm Külz;1933;1948;1948;LE;Crime Fighter;High;M507019;X
507053;Minister of Security;Otto Nuschke;1933;1957;1957;LE;Silent Lawyer;High;M507020;X
507054;Minister of Security;Otto Grotewohl;1933;1961;1961;LE;Efficient Sociopath;High;M507021;X
507055;Minister of Security;Walter Ulbricht;1933;1950;1950;ST;Prince of Terror;High;M53;X
507056;Minister of Security;Vincenz Muller;1949;1958;1958;ST;Prince of Terror;Medium;DDR_Vincenz Muller;X
507057;Minister of Security;Wilhelm Zaisser;1950;1958;1958;ST;Back Stabber;Medium;M507006;X
507058;Minister of Security;Willi Stoph;1952;1955;1955;ST;Prince of Terror;Medium;M507004;X
