KAZ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
485001;Head of State;Nikolay Skvortsov;1933;1964;1964;LWR;Die-hard Reformer;High;M520001;X
485002;Head of Government;Zhumabay Shayakmetov;1933;1964;1964;LWR;Silent Workhorse;High;M520002;X
485003;Foreign Minister;Levon Mirzoyan;1933;1964;1964;LWR;The Cloak N Dagger Schemer;High;M520003;X
485004;Minister of Armament;Azilkhan Nurshaykov;1933;1964;1964;LWR;Air to Ground Proponent;Medium;M520004;X
485005;Minister of Security;Sherkan Murtaza;1933;1964;1964;LWR;Crime Fighter;Medium;M520005;X
485006;Head of Military Intelligence;Sholpan Zhandarbekova;1933;1964;1964;LWR;Dismal Enigma;Medium;M520006;X
485007;Chief of Staff;Ivan Susaikov;1933;1964;1964;LWR;School of Manoeuvre;Medium;M520007;X
485008;Chief of Army;Talgat Bigeldinov;1933;1964;1964;LWR;Decisive Battle Doctrine;Medium;M520008;X
485009;Chief of Navy;Ivan Sergeev;1933;1964;1964;LWR;Decisive Naval Battle Doctrine;Medium;M520009;X
485010;Chief of Air Force;Arbuz Khan Arsen;1933;1964;1964;LWR;Vertical Envelopment Doctrine;Medium;M520010;X
485011;Head of State;Dmitriy Snegin;1933;1964;1964;ML;Insignificant Layman;High;M520011;X
485012;Head of State;Ali Khan Bukaiklianov;1933;1964;1964;PA;Resigned Generalissimo;High;M520012;X
485013;Head of Government;Kakimbek Salykov;1933;1964;1964;ML;Political Protege;High;M520013;X
485014;Head of Government;Aleksandr Dutov;1933;1964;1964;PA;Old General;High;M520014;X
485015;Foreign Minister;Dimitrij Kunayev;1933;1964;1964;LWR;Apologetic Clerk;High;M520015;X
485016;Foreign Minister;Shota Ualikhanov;1933;1964;1964;ML;Great Compromiser;High;M520016;X
485017;Foreign Minister;Zaurbek Raibayev;1933;1964;1964;PA;Iron Fisted Brute;High;M520017;X
485018;Minister of Armament;Mazhit Begaliyevm;1933;1964;1964;LWR;laissez-faire capitalist;Medium;M520018;X
485019;Minister of Armament;Mukhtar Shakhanov;1933;1964;1964;ML;Military Entrepreneur;Medium;M520019;X
485020;Minister of Armament;Gabiden Mustafin;1933;1964;1964;PA;Tank Proponent;Medium;M520020;X
485021;Minister of Security;Sergey Oksanur;1933;1964;1964;LWR;Silent Lawyer;Medium;M520021;X
485022;Minister of Security;Itgabit Musrepov;1933;1964;1964;ML;Back Stabber;Medium;M520022;X
485023;Minister of Security;Asanbey Askarov;1933;1964;1964;PA;Prince of Terror;Medium;M520023;X
485024;Minister of Security;Azerbayzhan Mambetov;1933;1964;1964;PA;Silent Lawyer;Medium;M520024;X
485025;Head of Military Intelligence;Gabiden Mustafin;1933;1964;1964;LWR;Industrial Specialist;Medium;M520020;X
485026;Head of Military Intelligence;Aizat Temirbek;1933;1964;1964;ML;Dismal Enigma;Medium;M520026;X
485027;Head of Military Intelligence;Raushan Baglanova;1933;1964;1964;PA;Political Specialist;Medium;M520027;X
485028;Chief of Staff;Gulzhan Aneshan;1933;1964;1964;LWR;School of Defence;Medium;M520028;X
485029;Chief of Staff;Nikolai Suchkov;1933;1964;1964;ML;School of Fire Support;Medium;M520029;X
485030;Chief of Staff;Aleksandr Dutov;1933;1964;1964;PA;School of Mass Combat;Medium;M520030;X
485031;Chief of Army;Nikolai Starkov;1933;1964;1964;LWR;Armoured Spearhead Doctrine;Medium;M520031;X
485032;Chief of Army;Nikolai Starostin;1933;1964;1964;ML;Static Defence Doctrine;Medium;M520032;X
485033;Chief of Army;Ali Khan Bukaiklianov;1933;1964;1964;PA;Guns and Butter Doctrine;Medium;M520012;X
485034;Chief of Navy;Dimitriy Samarski;1933;1964;1964;LWR;Power Projection Doctrine;Medium;M520034;X
485035;Chief of Navy;Sarafin Sarkisyan;1933;1964;1964;ML;Base Control Doctrine;Medium;M520035;X
485036;Chief of Navy;Manas Gulimbayzyl;1933;1964;1964;PA;Indirect Approach Doctrine;Medium;M520036;X
485037;Chief of Air Force;Manas Gulimbayzyl;1933;1964;1964;LWR;Naval Aviation Doctrine;Medium;M520036;X
485038;Chief of Air Force;Aleksandr Skvortsov;1933;1964;1964;ML;Air Superiority Doctrine;Medium;M520038;X
485039;Chief of Air Force;Sarafin Sarkisyan;1933;1964;1964;PA;Vertical Envelopment Doctrine;Medium;M520035;X
485100;Head of State;Uzakbay Kulumbetov;1936;1964;1964;ST;Ruthless Powermonger;Medium;M485100;X
485101;Head of Government;Uraz Isayev;1936;1964;1964;ST;Silent Workhorse;Medium;M485101;X
485102;Head of State;Levon Mirzoyan;1937;1964;1964;ST;Weary Stiffneck;Medium;M520003;X
485103;Head of Government;Ibragim Tazhiyev;1937;1964;1964;ST;Ambitious Union Boss;Medium;M485103;X
485104;Head of Government;Nurtas Undasynov;1938;1964;1964;ST;Smiling Oilman;Medium;M485104;X
485105;Head of State;Zhumabay Shayakmetov;1946;1964;1964;ST;Powerhungry Demagogue;Medium;M485105;X
485106;Head of State;Panteleimon Ponomarenko;1954;1964;1964;LE;Ruthless Powermonger;Medium;M485106;X
485107;Head of Government;Elubay Taibekov;1954;1964;1964;LE;Political Protege;Medium;M485107;X
485108;Head of State;Leonid Brezkhnev;1955;1964;1964;LE;Powerhungry Demagogue;Medium;3026;X
485109;Head of Government;Dinmukhamed Kunayev;1955;1964;1964;LE;Naive Optimist;Medium;M485109;X
485110;Head of State;Ivan Yakovlev;1956;1964;1964;LE;Weary Stiffneck;Medium;M485110;X
