MEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
170001;Head of State;Lázaro Cárdenas;1933;1964;1964;SD;Autocratic Charmer;High;M36001;X
170002;Head of Government;Lázaro Cárdenas;1933;1964;1964;SD;Flamboyant Tough Guy;High;M36001;X
170003;Foreign Minister;Eduardo Hay;1933;1964;1964;SD;Great Compromiser;Medium;M36003;X
170004;Minister of Armament;Enrique Estrada Reynoso;1933;1964;1964;SD;Infantry Proponent;High;M36004;X
170005;Minister of Security;Francisco U. Benavides;1933;1964;1964;SD;Man of the People;Medium;M36005;X
170006;Head of Military Intelligence;Plutarco E.Calles;1933;1964;1964;SD;Political Specialist;Medium;M36006;X
170007;Chief of Staff;Benjamin G. Hill;1933;1964;1964;SD;School of Defence;Very High;M36007;X
170008;Chief of Army;Pablo Quiroga Escamillo;1933;1964;1964;SD;Static Defence Doctrine;Medium;M36008;X
170009;Chief of Navy;Hector Meixueiro;1933;1964;1964;SD;Open Seas Doctrine;Medium;M36009;X
170010;Chief of Air Force;Gustavo Salinas Camina;1933;1964;1964;SD;Air Superiority Doctrine;Medium;M36010;X
170011;Head of State;Manuel Avila Camacho;1940;1964;1964;SD;Stern Imperialist;High;M36032;X
170012;Head of State;Miguel Aleman Valdes;1946;1964;1964;SD;Benevolent Gentleman;High;M36033;X
170013;Head of State;Manuel M. Marquez;1940;1964;1964;SC;Insignificant Layman;High;M36034;X
170014;Head of State;Luis Bustamanté Benítez;1946;1964;1964;SC;Powerhungry Demagogue;High;M36035;X
170015;Head of State;Pino G. Calles;1940;1964;1964;PA;Resigned Generalissimo;High;M36011;X
170016;Head of State;Juan Andrew Almazan;1946;1964;1964;PA;Popular Figurehead;High;M36014;X
170017;Head of State;Vicente Lombardo Toledano;1940;1964;1964;LE;Barking Buffoon;High;M36021;X
170018;Head of State;Procopio Herrera;1946;1964;1964;LE;Die-hard Reformer;High;M36025;X
170019;Head of Government;Manuel Avila Camacho;1940;1964;1964;SD;Corporate Suit;High;M36032;X
170020;Head of Government;Miguel Aleman Valdes;1946;1964;1964;SD;Smiling Oilman;High;M36033;X
170021;Head of Government;Manuel M. Marquez;1940;1964;1964;SC;Old General;High;M36034;X
170022;Head of Government;Luis Bustamanté Benítez;1946;1964;1964;SC;Silent Workhorse;High;M36035;X
170023;Head of Government;Luis G. Quintana;1940;1964;1964;FA;Political Protege;High;M36012;X
170024;Head of Government;Juan Andrew Almazan;1946;1964;1964;PA;Happy Amateur;High;M36014;X
170025;Head of Government;Vicente Lombardo Toledano;1940;1964;1964;LE;Happy Amateur;High;M36021;X
170026;Head of Government;Procopio Herrera;1946;1964;1964;LE;Naive Optimist;High;M36025;X
170027;Foreign Minister;Ezequiel Padilla Peñaloza;1940;1964;1964;SD;Iron Fisted Brute;Medium;M36050;X
170028;Foreign Minister;Francisco Castillo Najera;1945;1964;1964;SD;General Staffer;Medium;M36051;X
170029;Foreign Minister;Jaime Torres Bodet;1946;1964;1964;SD;Apologetic Clerk;Medium;M36052;X
170030;Foreign Minister;Alesso Melecio;1940;1964;1964;SC;Biased Intellectual;Medium;M36053;X
