MLY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
500001;Head of State;Sir Stenton Thomas;1933;1964;1964;ML;Weary Stiffneck;High;M565001;X
500002;Head of Government;Sir Gerald W.R. Templer;1933;1964;1964;ML;Old General;High;M565002;X
500003;Foreign Minister;Sir Henry Goldsworthy Gurney;1933;1964;1964;ML;General Staffer;High;M565003;X
500004;Minister of Armament;Sir Hugh Stein Fraser;1933;1964;1964;ML;Tank Proponent;Medium;M565004;X
500005;Minister of Security;Charles Hicks;1933;1964;1964;ML;Back Stabber;Medium;M565005;X
500006;Head of Military Intelligence;Sir Gerald E.J. Gent;1933;1964;1964;ML;Technical Specialist;Medium;M565006;X
500007;Chief of Staff;Sir William Dobbie;1933;1964;1964;ML;School of Psychology;Medium;M565007;X
500008;Chief of Army;Arthur Percival;1933;1964;1964;ML;Static Defence Doctrine;Medium;M565008;X
500009;Chief of Navy;John Atcherley;1933;1964;1964;ML;Decisive Naval Battle Doctrine;Medium;M565009;X
500010;Chief of Air Force;G.T. Jarman;1933;1964;1964;ML;Air Superiority Doctrine;Medium;M565010;X
500011;Head of State;Tunku Abdul Rahman;1933;1964;1964;SD;Popular Figurehead;High;M565011;X
500012;Head of State;H.R.H. Iskander I of Perak;1933;1964;1964;PA;Pig-headed Isolationist;High;M565012;X
500013;Head of Government;David S. Marshall;1933;1964;1964;SD;Corporate Suit;High;M565013;X
500014;Head of Government;H.H. Ibrahim IV of Kelantan;1933;1964;1964;PA;Backroom Backstabber;High;M565014;X
500015;Foreign Minister;Tan Cheng Lock;1933;1964;1964;SD;Great Compromiser;High;M565015;X
500016;Foreign Minister;Hamza ul-Lail;1933;1964;1964;PA;The Cloak N Dagger Schemer;High;M565016;X
500017;Minister of Armament;Abdul Rahman Shah;1933;1964;1964;SD;Military Entrepreneur;Medium;M565017;X
500018;Minister of Armament;Thomas Ashton of Hyde;1941;1964;1964;ML;Resource Industrialist;Medium;M565018;X
500019;Minister of Armament;H.R.H. Yahya ul-Naim;1933;1964;1964;PA;laissez-faire capitalist;Medium;M565019;X
500020;Minister of Security;Lim Yew Hock;1933;1964;1964;SD;Prince of Terror;Medium;M565020;X
500021;Minister of Security;Arthur E. Young;1942;1964;1964;ML;Crime Fighter;Medium;M565021;X
500022;Minister of Security;Tuanku Muhammed of Negri Sembilan;1933;1964;1964;PA;Efficient Sociopath;Medium;M565022;X
500023;Minister of Security;Abdul Hamid Ahmad;1942;1964;1964;PA;Silent Lawyer;Medium;M565023;X
500024;Head of Military Intelligence;Muhammed Yang Besar;1933;1964;1964;SD;Dismal Enigma;Medium;M565024;X
500025;Head of Military Intelligence;Lee Kuan Yew;1943;1964;1964;SD;Industrial Specialist;Medium;M565025;X
500026;Head of Military Intelligence;Sir Gerald W.R. Templer;1943;1964;1964;ML;Logistics Specialist;Medium;M565026;X
500027;Head of Military Intelligence;Abdul Manap bin Tolok;1933;1964;1964;PA;Political Specialist;Medium;M565027;X
500028;Head of Military Intelligence;Idrus bin Tunka of Tampin;1941;1964;1964;PA;Naval Intelligence Specialist;Medium;M565028;X
500029;Chief of Staff;Abdul Hamid Shah;1933;1964;1964;SD;School of Defence;Medium;M565029;X
500030;Chief of Staff;Tun Abdul Rahman;1944;1964;1964;SD;School of Manoeuvre;Medium;M565030;X
500031;Chief of Staff;Ibrahim al-Mansur;1933;1964;1964;PA;School of Mass Combat;Medium;M565031;X
500032;Chief of Army;Muhib Sultan Badlishah;1933;1964;1964;SD;Guns and Butter Doctrine;Medium;M565032;X
500033;Chief of Army;Robert Brooke-Popham;1942;1964;1964;ML;Elastic Defence Doctrine;Medium;L1051;X
500034;Chief of Army;Sir Gerald W.R. Templer;1945;1964;1964;ML;Decisive Battle Doctrine;Medium;M565034;X
500035;Chief of Army;Harun Putra of Perlis;1933;1964;1964;PA;Armoured Spearhead Doctrine;Medium;M565035;X
500036;Chief of Navy;Mohammed Rahman Ali;1933;1964;1964;SD;Base Control Doctrine;Medium;M565036;X
500037;Chief of Navy;Syed ul-Lail of Perlis;1933;1964;1964;PA;Open Seas Doctrine;Medium;M565037;X
500038;Chief of Air Force;Wan Suleiman;1933;1964;1964;SD;Carpet Bombing Doctrine;Medium;M565038;X
500039;Chief of Air Force;Hisam II of Selangor;1933;1964;1964;PA;Naval Aviation Doctrine;Medium;M565039;X
500100;Head of State;Yusuf Izzuddin of Perak;1948;1964;1964;ML;Weary Stiffneck;Medium;M500100;X
500101;Head of Government;Sir Edward Gent;1948;1964;1964;ML;Backroom Backstabber;Medium;M500101;X
500102;Head of Government;Sir Henry Gurney;1949;1964;1964;ML;Old General;Medium;M500102;X
500103;Head of State;Badlishah of Kedah;1951;1964;1964;ML;Autocratic Charmer;Medium;M500103;X
500104;Head of State;Ibrahim Muhammad of Kelantan;1954;1964;1964;ML;Barking Buffoon;Medium;M500104;X
500105;Head of Government;Sir Donald MacGillivray;1954;1964;1964;ML;Happy Amateur;Medium;M500105;X
500106;Head of State;Abdul Rahman of Negeri Sembilan;1957;1960;1960;ML;Die-Hard Reformer;Medium;M500106;X
500107;Head of Government;Tunku Abdul Rahman;1957;1991;1991;ML;Happy Amateur;Medium;M500106;X
500108;Head of State;Hisamuddin Alam of Selangor;1960;1961;1961;ML;Resigned Generalissimo;Medium;M500108;X
500109;Head of State;Tuanku Syed Putra of Perlis;1961;2001;2001;ML;Insignificant Layman;Medium;M500109;X
500110;Head of State;Ismail Nasiruddin of Terengganu;1965;1980;1980;SC;Pig-Headed Isolationist;Medium;M500110;X
500111;Head of State;Tuanku Abdul Halim of Kedah;1970;2020;2020;SC;Popular Figurehead;Medium;M500111;X
500112;Head of Government;Abdul Razak Hussein;1970;1977;1977;SC;Silent Workhorse;Medium;M500112;X
500113;Head of State;Yahya Petra of Kelantan;1975;1980;1980;SC;Powerhungry Demagogue;Medium;M500113;X
500114;Head of Government;Hussein Onn;1976;1991;1991;SC;Smiling Oilman;Medium;M500114;X
500115;Head of State;Ahmad Shah of Pahang;1979;2020;2020;SC;Autocratic Charmer;Medium;M500115;X
500116;Head of Government;Mahathir Mohamad;1981;2020;2020;SC;Naive Optimist;Medium;M500116;X
500117;Head of State;Iskandar of Johor;1984;2011;2011;SC;Popular Figurehead;Medium;M500117;X
500118;Head of State;Azlan Muhibbuddin of Perak;1989;2020;2020;SC;Stern Imperialist;Medium;M500118;X
