NIG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
715001;Head of State;Sir Bernard H. Bourdillon;1933;1964;1964;ML;Powerhungry Demagogue;High;M552001;X
715002;Head of Government;John E. Shuckburgh;1933;1964;1964;ML;Political Protege;High;M552002;X
715003;Foreign Minister;Sir Allan C.M. Burns;1933;1964;1964;ML;Great Compromiser;High;M551002;X
715004;Minister of Armament;Sir Arthur F. Richards;1933;1964;1964;ML;Resource Industrialist;Medium;M552004;X
715005;Minister of Security;William Baker-Morris;1933;1964;1964;ML;Man of the People;Medium;M552005;X
715006;Head of Military Intelligence;Richard McManus;1933;1964;1964;ML;Naval Intelligence Specialist;Medium;M552006;X
715007;Chief of Staff;D.T. Banks-MacDonald;1933;1964;1964;ML;School of Fire Support;Medium;L1021;X
715008;Chief of Army;William P.S. de L'Isle;1933;1964;1964;ML;Elastic Defence Doctrine;Medium;L1097;X
715009;Chief of Navy;W.B. Manners;1933;1964;1964;ML;Power Projection Doctrine;Medium;L1369;X
715010;Chief of Air Force;W.L. Brill;1933;1964;1964;ML;Army Aviation Doctrine;Medium;L1419;X
715011;Head of State;Dr. Nnamdi Azikiwe;1933;1964;1964;SD;Benevolent Gentleman;High;M552011;X
715012;Head of State;Thomas Ironside;1933;1964;1964;PA;Weary Stiffneck;High;M552012;X
715013;Head of Government;Sir Abubabar Tafawa Balewa;1933;1964;1964;SD;Silent Workhorse;High;M552013;X
715014;Head of Government;Leon Bouchard;1933;1964;1964;PA;Ambitious Union Boss;High;M552014;X
715015;Foreign Minister;Stuart McMorris;1933;1964;1964;SD;Ideological Crusader;High;M552015;X
715016;Foreign Minister;W.E.B. Dubois;1933;1964;1964;PA;Iron Fisted Brute;High;M552016;X
715017;Minister of Armament;Yahu Awko-Iditti;1933;1964;1964;SD;Battle Fleet Proponent;Medium;M552017;X
