AST;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
225022;Victorian Railways;TT225022;4;1850;1983;mechanics;general_equipment;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225005;New South Wales State Railways;T504;5;1900;2054;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225004;Ford Motors Australia;T503;6;1925;2000;mechanics;industrial_engineering;management;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225015;CSIRO;T514;9;1949;2050;mathematics;electronics;chemistry;mechanics;nuclear_physics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225027;Pre Federation Defence Establishments;100022;3;1850;1905;technical_efficiency;general_equipment;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225001;Army Inventions Directorate;T500;10;1942;2000;technical_efficiency;general_equipment;mechanics;training;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225002;Chullora Tank Assembly Shops;T501;6;1900;2000;mechanics;munitions;artillery;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225020;Australian Army Factories;100015;7;1905;2050;technical_efficiency;general_equipment;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225006;Vickers-Armstrong Ltd.;T505;6;1908;1977;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225014;Cockatoo Island Shipyard;T513;7;1897;2050;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225023;Williamstown Dockyards;100018;6;1880;2000;naval_engineering;naval_artillery;technical_efficiency;electronics;carrier_design;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;x
225003;de Havilland;T502;6;1912;1964;bomber_design;aeronautics;avionics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
